surveyName	g_age	PercPop
Netherlands	F_55_64	0.084229643
Netherlands	M_over_65	0.1117304
Netherlands	F_over_65	0.129485509
Norway	M_18_24	0.07
Norway	F_18_24	0.07
Norway	M_25_34	0.08
Norway	F_25_34	0.07
Norway	M_35_44	0.09
Norway	F_35_44	0.08
Norway	M_45_54	0.09
Norway	F_45_54	0.08
Norway	M_55_64	0.09
Norway	F_55_64	0.09
Norway	M_over_65	0.09
Norway	F_over_65	0.1
Singapore	M_18_24	0.050667551
Singapore	F_18_24	0.048714359
Singapore	M_25_34	0.085787723
Singapore	F_25_34	0.089991983
Singapore	M_35_44	0.085413196
Singapore	F_35_44	0.094577985
Singapore	M_45_54	0.089295231
Singapore	F_45_54	0.093401802
Singapore	M_55_64	0.088501089
Singapore	F_55_64	0.08898022
Singapore	M_over_65	0.08474079
Singapore	F_over_65	0.09992807
South Africa	M_18_24	0.087333922
South Africa	F_18_24	0.08611114
South Africa	M_25_34	0.144123261
South Africa	F_25_34	0.139055084
South Africa	M_35_44	0.104539978
South Africa	F_35_44	0.104176439
South Africa	M_45_54	0.066151508
South Africa	F_45_54	0.076650532
South Africa	M_55_64	0.043256672
South Africa	F_55_64	0.058509336
South Africa	M_over_65	0.033503124
South Africa	F_over_65	0.056589006
Spain	M_18_24	0.042695453
Spain	F_18_24	0.040572718
Spain	M_25_34	0.069149632
Spain	F_25_34	0.068847384
Spain	M_35_44	0.096664648
Spain	F_35_44	0.095585522
Spain	M_45_54	0.096888323
Spain	F_45_54	0.096171211
Spain	M_55_64	0.077038745
Spain	F_55_64	0.080494669
Spain	M_over_65	0.102349032
Spain	F_over_65	0.133542663
U.K.	M_18_24	0.055124525
U.K.	F_18_24	0.052095655
U.K.	M_25_34	0.08608594
U.K.	F_25_34	0.084994251
U.K.	M_35_44	0.079181283
U.K.	F_35_44	0.080580584
U.K.	M_45_54	0.084768938
U.K.	F_45_54	0.087293836
U.K.	M_55_64	0.076084731
U.K.	F_55_64	0.078852825
U.K.	M_over_65	0.107345082
U.K.	F_over_65	0.127592348
U.S.	M_18_24	0.060939978
U.S.	F_18_24	0.058043699
U.S.	M_25_34	0.090489058
U.S.	F_25_34	0.088059791
U.S.	M_35_44	0.081954685
U.S.	F_35_44	0.082242281
U.S.	M_45_54	0.078956496
U.S.	F_45_54	0.081120398
U.S.	M_55_64	0.080273027
U.S.	F_55_64	0.086091309
U.S.	M_over_65	0.094190924
U.S.	F_over_65	0.117638354
UAE	M_18_24	0.074269214
UAE	F_18_24	0.037988923
UAE	M_25_34	0.285172795
UAE	F_25_34	0.10131797
UAE	M_35_44	0.207368393
UAE	F_35_44	0.076599595
UAE	M_45_54	0.108421965
UAE	F_45_54	0.034914547
UAE	M_55_64	0.045654964
UAE	F_55_64	0.01432134
UAE	M_over_65	0.009207432
UAE	F_over_65	0.004762861
