start,finish,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
2020/5/1 12:08,2020/5/1 12:33,CHINA,CHN,10,0,9,10,10,10,10,9,7,10,10,10,9,10,9,80,20,0,8,8,0,4,8,10,10,1,0,3,0,6,8,8,9,3,4,7,8,9,8,8,9,8,7,6,9,6,7,9,9,8,2,2,8,6,8,6,5,6,7,8,8,7,2,8,8,3,8,8,7,0,10,8,7,8,25,3,7,1,,30,2,0,1,,4,1,1,1,213,0
2020/5/1 12:10,2020/5/1 12:26,CHINA,CHN,9,1,8,9,10,9,9,7,9,9,9,8,9,8,9,60,20,20,10,10,8,8,10,10,10,1,0,2,1,3,8,9,9,1,1,7,7,6,9,7,7,8,8,9,8,8,9,10,8,9,1,1,10,3,7,4,6,8,2,9,10,10,1,8,9,2,8,8,10,10,0,5,9,9,25,3,7,2,,62,3,1,1,,5,1,1,1,213,0
2020/5/1 12:15,2020/5/1 12:44,CHINA,CHN,7,2,5,6,7,7,5,7,6,6,7,7,6,6,6,40,20,40,7,7,7,6,7,10,6,7,6,7,6,7,6,7,6,6,6,7,5,7,6,6,5,7,6,6,7,6,7,7,6,5,6,6,5,7,5,7,6,6,6,7,6,6,6,6,5,2,7,5,6,10,60,6,9,7,25,3,7,2,,66,3,1,5,,4,1,1,1,213,0
2020/5/1 12:19,2020/5/1 12:44,CHINA,CHN,10,1,10,9,8,10,9,8,9,9,10,10,9,8,8,50,30,20,9,9,7,5,8,10,10,0,1,2,1,1,9,9,9,0,1,6,10,10,9,6,10,10,7,8,9,9,8,10,10,8,1,1,8,1,9,5,9,7,0,10,9,10,0,10,8,1,7,10,9,10,80,5,10,10,50,300,2,2,,62,3,1,3,,3,1,1,1,213,0
2020/5/1 12:28,2020/5/1 12:54,CHINA,CHN,10,1,7,8,6,10,7,8,9,10,9,10,7,9,9,30,35,35,8,9,8,9,7,9,10,5,2,0,2,4,3,4,5,1,2,1,6,10,9,8,7,1,10,9,8,9,10,10,8,9,1,3,5,2,3,1,5,4,3,5,7,3,2,4,6,2,7,3,8,20,40,5,8,9,50,3,4,1,,60,3,1,5,,5,1,1,1,213,0
2020/5/1 12:30,2020/5/1 13:03,CHINA,CHN,9,0,9,9,8,10,9,9,8,10,10,8,9,10,9,45,35,20,8,8,6,10,10,10,9,0,1,1,0,2,9,8,9,1,0,4,6,7,8,6,8,8,10,8,8,9,8,10,8,9,1,1,8,7,8,10,10,9,0,10,8,6,1,7,7,0,8,9,7,0,10,0,2,8,50,1,4,2,,35,3,1,1,,6,1,1,1,213,0
2020/5/1 12:40,2020/5/1 13:11,CHINA,CHN,9,2,9,9,10,7,9,10,8,10,9,9,6,10,10,10,80,10,6,6,5,3,7,10,10,5,4,5,4,6,7,7,7,7,8,9,9,10,10,9,10,10,6,7,8,6,6,8,4,4,6,6,6,6,7,7,8,8,8,7,7,7,3,5,6,4,6,7,7,0,10,4,6,9,25,3,6,2,,29,2,0,1,,5,1,1,1,213,0
2020/5/1 12:42,2020/5/1 13:13,CHINA,CHN,10,0,10,9,9,8,9,8,7,10,10,10,9,10,9,80,20,0,6,5,5,7,7,10,10,2,0,0,0,3,9,7,6,2,4,3,5,6,7,2,4,6,7,6,9,9,8,9,8,8,7,3,7,4,8,6,8,7,2,9,7,7,0,6,6,2,7,8,9,40,40,4,7,9,25,3,7,2,,37,3,1,1,,3,1,1,2,213,0
2020/5/1 12:51,2020/5/1 13:14,CHINA,CHN,8,1,9,8,10,8,8,10,6,10,5,9,10,8,8,50,20,30,6,7,6,6,7,10,9,1,1,0,2,5,7,8,8,2,8,6,5,7,7,6,6,6,6,6,6,6,6,7,7,6,3,1,6,5,6,5,6,5,6,6,7,6,5,6,8,2,8,7,7,20,50,5,12,8,50,3,4,2,,41,3,1,1,,6,1,1,1,213,0
2020/5/1 12:54,2020/5/1 13:27,CHINA,CHN,9,2,7,10,10,7,9,10,10,10,9,3,3,7,8,98,1,1,7,7,9,6,9,10,10,6,5,4,5,3,8,7,10,2,2,7,7,8,8,4,8,4,8,5,5,8,6,10,6,10,7,4,6,3,6,4,7,7,8,8,8,9,8,7,8,3,5,5,8,10,10,6,12,7,50,3,4,1,,32,3,1,1,,2,1,1,1,213,0
2020/5/1 12:56,2020/5/1 13:29,CHINA,CHN,8,2,7,8,8,8,8,6,8,8,8,9,9,8,9,50,30,20,6,4,5,8,8,9,9,6,4,3,3,7,8,6,7,4,1,4,6,7,7,7,8,8,6,8,8,7,7,8,7,7,3,2,7,4,6,5,6,6,4,7,7,4,3,6,7,3,6,7,8,30,60,4,4,7,25,3,7,2,,32,3,1,1,,5,1,1,1,213,0
