RecordDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1_1;psych_wellbeing2_1;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;conspiracy_theories_4;open_mindness_1;open_mindness_2;open_mindness_3;open_mindness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self_control_1;trait_self_control_2;trait_self_control_3;trait_self_control_4;self_esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;moral_identity_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;ladder;urban;tested_positive;know_tested_positive;Attcheck_nobots;Attcheck2
02/05/20;275;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;9;10;10;10;9;35;35;30;10;10;9;10;9;9;9;10;10;9;10;10;10;10;10;10;10;9;9;8;9;9;9;10;10;10;10;10;10;10;9;9;10;9;10;10;10;8;8;9;9;10;8;7;7;10;8;10;10;8;7;100;100;9;6;10; ; ; ;2; ;34;3;2;1; ;6;1;1;1;213;0
02/05/20;804;TURKEY;Turkish;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;30;50;20;10;10;10;10;10;10;10;10;9;10;9;7;10;10;10;0;1;10;10;10;10;9;9;9;10;10;10;10;10;9;3;10;10;1;10;2;3;0;9;8;0;10;10;9;0;10;10;0;9;9;10;10;10;10;14;10; ; ; ;2; ;45;3;3;1; ;3;1;1;1;213;0
02/05/20;836;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;35;35;30;8;9;10;10;10;10;10;10;10;10;10;10;9;9;9;10;10;7;8;8;7;6;9;10;9;6;8;8;10;9;10;10;9;9;10;8;8;8;8;1;1;9;10;9;8;9;9;9;8;8;10;50;50;8;6;10; ; ; ;2; ;32;3;2;1; ;1;1;1;1;213;0
01/05/20;1051;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;30;40;30;6;7;10;6;8;10;10;5;5;5;5;7;7;7;7;7;4;6;6;6;5;6;7;6;9;8;10;10;10;10;8;8;0;0;8;4;6;3;7;7;0;6;6;7;7;7;5;7;6;7;6;50;50;4;9;9; ; ; ;2; ;34;3;3;1; ;1;1;1;1;213;0
02/05/20;555;TURKEY;Turkish;10;2;4;7;8;8;8;4;6;2;0;10;6;10;10;50;25;25;10;10;10;8;6;10;10;9;3;8;8;4;6;4;7;3;9;9;8;7;9;4;0;10;10;0;3;7;8;3;7;3;7;6;10;8;4;2;10;3;7;9;8;6;2;3;9;1;7;4;8;100;20;6;9;10; ; ; ;1; ;18;2;0;4; ;5;3;1;1;213;5
01/05/20;352;TURKEY;Turkish;4;4;6;8;9;8;3;10;0;10;8;7;4;6;6;30;50;20;6;6;8;1;7;6;8;7;1;3;7;6;6;8;4;3;10;4;6;6;4;2;8;8;4;7;3;4;6;4;6;7;9;7;10;7;6;3;3;8;8;10;8;6;7;7;8;9;10;7;6;20;80;8;13;10; ; ; ;1; ;35;3;0;1; ;6;1;1;2;213;6
08/05/20;576;TURKEY;Turkish;10;0;10;10;10; ; ; ; ; ; ; ; ; ; ;25;25;50;10;10;7;3;6;8;8;8;9;3;3;10;9;10;3;7;3;8;8;9;10;7;8;7;7;7;7;2;7;7; ; ; ; ; ;6;4;6;3;6;3;6;7;4;6;7;3;6;3;6;4; ; ;4;13;9; ; ; ;1; ;13;1;0;4; ;8;3;1;2;213;10
08/05/20;292;TURKEY;Turkish;9;8;8;9;9;8;9;10;10;9;9;9;9;8;8;25;35;40;10;10;9;10;10;8;9;10;10;10;10;8;9;10;10;10;10;10;10;10;9;9;9;10;8;8;8;9;10;9;10;9;9;9;9;10;9;8;7;7;7;10;10;10;10;9;9;9;9;9;9;90;80; ;12;10; ; ; ;2; ;32;3;2;1; ;6;1;1;1;213;10
04/05/20;263;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;25;25;50;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;9;8;5;10;10;9;10;10;10;9;10;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;100;100;10;5;10; ; ; ;2; ;34;3;2;1; ;6;1;1;1;213;10
03/05/20;382;TURKEY;Turkish;7;2;6;9;7;10;8;9;8;10;9;8;6;10;9;10;30;60;8;3;8;9;8;7;2;3;10;7;7;9;10;9;2;9;1;7;1;8;8;2;9;8;9;1;9;9;9;1;9;9;10;2;10;10;8;8;0;8;0;8;2;10;9;2;9;2;8;1;10;80;90;8;8;9; ; ; ;1; ;35;3;4;1; ;8;2;2;2;213;10
02/05/20;3522;TURKEY;Turkish;10;10;10;10;9;9;9;9;9;9;9;9;9;10;9;0;100;0;10;10;10;10;9;10;10;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;8;10;8;8;9;9;9;8;9;8;8;9;9;9;9;9;9;8;10;10;10;10;9;9;9;9;9;8;40;40;9;2;9; ; ; ;2; ;50;3;2;1; ;1;1;2;1;213;10
02/05/20;2928;TURKEY;Turkish;7;7;5;5;5;10;10;10;10;10;5;5;5;5;5;86;9;5;10;10;7;6;6;6;8;10;10;10;10;8;8;8;8;8;5;7;7;7;5;5;5;5;0;0;10;10;10;10;7;6;2;10;9;10;9;10;9;10;9;3;10;10;10;10;10;4;6;7;6;100;100;7;15;10; ; ; ;1; ;26;1;0;1; ;1;1;2;2;213;10
08/05/20;1514;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;7;8;8;8;8;0;100;0;6;10;7;7;6;5;5;7;0;0;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;10;5;10;10;10;10;4;10;10;6;0;5;5;0;10;10;10;0;70;8;5;10;50;300;12;1; ;18;1;0;4; ;1;2;1;1;213;0
02/05/20;3238;TURKEY;Turkish;10;0;9;10;10;10;10;10;10;10;10;10;10;10;10;90;5;5;8;9;10;8;10;10;10;7;7;7;8;7;10;10;10;10;3;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;3;0;10;10;8;8;10;10;6;10;10;10;0;10;10;0;10;10;10;100;100;5;16;9;50;300;4;2; ;32;3;2;1; ;4;1;1;2;213;0
02/05/20;880;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;100;0;0;9;9;10;0;10;10;10;10;10;10;10;10;10;10;10;0;0;10;10;9;10;9;8;10;10;0;10;10;10;10;10;10;10;10;10;10;9;0;10;9;0;10;10;10;10;10;10;10;10;10;9;100;100;0;12;7;25;300;7;2; ;51;3;2;1; ;1;1;1;1;213;9
06/05/20;1404;TURKEY;Turkish;10;6;10;10;10;5;5;5;5;5;5;6;4;7;4;100;0;0;7;6;0;5;0;6;4;4;6;4;6;6;4;6;4;5;4;3;6;4;6;4;6;3;10;5;5;5;5;5;6;6;6;3;5;6;4;6;4;6;4;6;4;6;4;6;4;6;4;5;5;40;40;5;3;6;0;0;0;1; ;99;1;0;5; ;1;1;2;1;213;5
02/05/20;1726;TURKEY;Turkish;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;50;25;25;6;8;10;10;10;10;10;0;0;0;0;4;10;10;6;0;0;10;10;10;10;10;10;10;10;2;10;10;10;10;10;10;0;0;10;0;10;1;10;10;0;10;10;10;0;10;10;0;10;10;10;20;20;10;16;10;25;3;1;2; ;45;3;3;1; ;3;1;1;1;213;0
02/05/20;520;TURKEY;Turkish;10;7;2;8;4;9;10;8;7;7;0;10;3;9;10;30;40;30;3;7;9;2;9;8;2;6;0;7;10;3;8;10;3;8;3;7;2;7;1;6;2;8;10;10;9;3;6;3;9;3;7;3;9;7;4;3;7;6;0;8;3;7;3;8;3;8;2;7;8;30;40;8;7;9;50;3;1;1; ;35;3;2;2; ;4;1;1;2;sefsdfdafs;10
03/05/20;762;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;20;30;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;0;0;10;10;10;10;10;10;6;9;9;7;9;9;9;0;9;9;9;70;100;10;1;10;250;1;1;2; ;51;3;3;1; ;1;1;1;2;213;10
03/05/20;367;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;20;30;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;10;10;10;10;10;10;0;10;10;10;10;10;10;10;10;10;10;90;80;10;1;10;250;1;1;2; ;27;3;1;1; ;1;1;1;2;213;0
