RecordDate;Duration_sec;Country;Language;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_contact_5;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;physical_hygiene_5;policy_support_1;policy_support_2;policy_support_3;policy_support_4;policy_support_5;generosity_1;generosity_2;generosity_3;psych_wellbeing1_1;psych_wellbeing2_1;collective_narcis_1;collective_narcis_2;collective_narcis_3;national_identity_1;national_identity_2;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;conspiracy_theories_4;open_mindness_1;open_mindness_2;open_mindness_3;open_mindness_4;open_mindness_5;open_mindness_6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging_1;social_belonging_2;social_belonging_3;social_belonging_4;trait_self_control_1;trait_self_control_2;trait_self_control_3;trait_self_control_4;self_esteem_1;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;narcissism_6;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;moral_identity_10;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;ladder;urban;tested_positive;know_tested_positive;Attcheck_nobots;Attcheck2 
02/05/20;1809;TURKEY;Turkish;8;2;7;9;10;10;10;10;8;9;7;9;6;10;10;20;80;0;5;8;2;6;4;3;3;7;3;2;1;3;4;7;6;0;2;2;3;5;6;7;6;6;6;6;6;4;6;6;9;6;5;10;7;7;5;5;6;4;5;8;8;3;3;6;9;6;4;4;5;30;60;0;13;6;125;3;4;2; ;45;3;1;5; ;3;1;2;2;213;2
08/05/20;1544;TURKEY;Turkish;10;2;8;10;8;10;10;10;10;10;10;10;10;10;10;50;25;25;1;3;0;1;1;10;10;2;0;2;2;10;10;10;0;5;6;10;10;9;10;4;9;10;5;9;1;0;2;1;7;3;10;10;10;10;10;8;10;10;5;10;10;10;0;10;7;0;0;7;10;70;60;3;6;6;25;3;4;1; ;19;1;0;4; ;2;1;1;2;213;4
08/05/20;1138;TURKEY;Turkish;10;3;9;10;9;7;9;8;6;9;7;9;7;9;10;50;25;25;6;6;4;6;6;10;9;4;4;2;6;6;7;6;8;2;4;7;7;3;6;3;6;8;6;7;7;6;8;6;9;6;2;0;7;4;6;3;7;8;5;8;9;7;2;6;6;3;4;3;9;30;50;5;16;6;25;3;4;1; ;55;3;1;5; ;4;1;1;1;213;4
02/05/20;1466;TURKEY;Turkish;5;5;5;5;6;5;6;6;6;6;6;6;6;6;7;100;0;0;7;7;5;5;5;6;6;6;6;6;5;6;6;6;5;6;6;5;5;5;5;6;6;5;5;5;5;6;6;5;5;5;5;7;6;5;5;5;5;5;5;5;6;5;5;5;6;5;5;5;6;70;70;6;2;5;25;3;4;2; ;74;1;2;5; ;6;1;1;1;213;5
02/05/20;407;TURKEY;Turkish;10;3;8;7;4;10;10;10;10;10;8;9;2;6;5;100;0;0;3;6;10;10;10;10;10;8;4;7;3;8;5;5;5;8;6;2;9;10;0;4;7;10;10;0;7;8;4;6;8;2;7;3;8;10;10;10;10;10;10;10;8;3;0;10;2;8;3;9;2;40;80;5;1;5;50;3;4;1; ;19;1;0;4; ;1;1;1;1;213;5
05/05/20;1561;TURKEY;Turkish;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10;50;40;10;3;7;5;5;5;7;7;9;6;6;6;4;10;10;10;7;7;10;10;10;10;10;5;3;8;10;9;9;9;10;9;9;9;2;6;8;6;5;8;8;5;8;8;8;0;8;8;3;8;8;2;70;70;7;16;8;50;3;4;1; ;65;3;2;1; ;6;2;1;1;213;6
08/05/20;1633;TURKEY;Turkish;10;3;7;9;9;7;8;7;4;7;8;10;10;9;10;50;25;25;4;4;2;2;2;0;0;5;5;6;6;3;8;8;8;1;1;5;6;5;5;5;5;5;8;10;6;6;7;8;7;5;3;5;8;10;10;1;10;7;1;9;10;9;0;8;9;0;6;7;10;50;40;1;16;7;25;3;4;1; ;22;1;0;4; ;6;1;1;1;213;7
08/05/20;659;TURKEY;Turkish;10;0;0;10;10;8;9;10;8;10;9;8;9;10;9;10;70;20;8;10;10;10;5;10;10;8;4;6;8;4;10;8;10;3;9;7;8;7;8;8;10;8;8;7;7;9;5;7;7;9;6;5;7;6;7;4;8;8;5;10;8;8;0;9;7;0;2;8;10;10;70;5;15;9;50;3;4;1; ;19;1;0;4; ;6;1;1;1;213;7
02/05/20;402;TURKEY;Turkish;8;3;8;2;8;2;8;4;8;4;8;3;7;2;7;60;25;15;3;7;7;8;9;9;3;7;2;7;2;10;3;6;2;7;7;8;9;10;8;10;9;10;8;7;7;3;7;3;7;3;7;7;7;6;4;8;3;6;7;9;3;8;3;7;10;2;4;7;8;70;40;4;9;7;25;3;4;2; ;27;3;1;1; ;5;1;1;2;213;7
02/05/20;866;TURKEY;Turkish;9;2;8;9;9;9;9;10;9;9;7;7;8;8;9;100;0;0;2;4;7;6;4;10;10;4;4;4;4;7;6;8;8;2;2;7;4;4;3;3;3;4;3;5;7;7;7;7;8;8;3;1;8;5;6;6;7;8;4;6;6;6;5;5;7;3;7;7;9;60;60;8;9;7;50;3;4;2; ;48;3;1;5; ;8;1;1;2;213;7
02/05/20;574;TURKEY;Turkish;8;8;7;7;7;9;8;7;7;9;9;8;10;10;10;80;19;1;7;6;7;8;8;6;7;7;7;8;8;6;9;9;6;8;8;7;8;7;8;8;9;8;8;8;8;8;9;7;10;8;3;2;9;9;8;9;7;8;8;9;7;8;9;8;8;8;7;7;7;60;70;10;1;9;50;3;4;1; ;28;1;0;1; ;5;1;1;1;213;7
02/05/20;763;TURKEY;Turkish;8;0;10;9;8;10;10;10;10;8;10;10;10;10;10;50;0;50;0;6;0;0;1;10;8;0;0;0;0;10;10;10;10;0;1;8;8;10;8;8;8;9;8;8;9;9;10;6;8;8;9;6;8;1;7;10;8;8;7;10;10;6;0;7;3;6;3;7;8;80;90;1;14;7;50;3;4;1; ;46;3;2;1; ;5;1;1;1;213;8
02/05/20;1355;TURKEY;Turkish;10;2;7;10;10;9;10;10;9;8;10;10;10;10;10;30;50;20;9;7;10;10;10;10;10;6;10;8;4;8;3;8;9;2;7;7;8;9;9;8;9;8;9;8;8;9;9;6;6;8;4;3;8;8;10;5;10;9;9;7;9;8;5;6;7;9;9;8;6;60;90;8;2;8;50;3;4;2; ;64;3;2;5; ;7;1;1;1;213;8
01/05/20;703;TURKEY;Turkish;9;8;9;9;9;9;9;9;9;9;8;9;8;9;9;25;40;35;8;9;9;9;9;9;9;8;9;9;2;8;8;8;8;8;9;8;9;9;9;8;9;8;8;8;9;9;9;9;9;8;4;2;9;8;9;9;9;9;9;9;9;8;9;9;9;9;9;8;8;90;30;2;10;8;50;3;4;2; ;62;3;3;1; ;3;1;1;1;213;8
01/05/20;1076;TURKEY;Turkish;9;2;8;8;9;9;9;9;8;9;9;9;9;8;8;70;10;20;7;8;8;8;8;10;9;9;8;7;8;8;9;9;9;3;5;7;8;8;7;8;8;8;9;9;8;9;8;8;10;9;2;2;9;3;9;2;8;8;9;8;9;7;7;7;8;8;9;8;8;40;50;8;6;8;504;3;4;2; ;27;3;2;3; ;3;1;1;2;213;8
08/05/20;1115;TURKEY;Turkish;9;1;6;10;10;9;9;9;9;9;9;9;9;9;10;30;40;30;7;8;8;5;5;9;9;0;0;0;0;3;2;8;8;0;0;6;6;8;8;8;3;8;9;9;8;8;8;8;9;9;3;2;10;5;8;3;9;8;1;9;8;5;2;7;9;7;6;10;9;10;50;3;2;9;40;3;4;2; ;50;3;2;1; ;4;1;1;2;213;9
02/05/20;651;TURKEY;Turkish;8;8;9;7;8;8;9;9;9;9;5;6;7;7;9;60;25;15;6;6;9;8;9;9;8;8;8;7;8;6;7;8;7;5;7;5;7;5;8;7;8;6;7;8;9;8;8;10;7;7;8;6;9;8;2;2;9;8;2;6;6;7;5;7;8;8;8;5;5;30;70;7;8;9;25;3;4;2; ;44;3;2;1; ;3;1;1;2;213;9
01/05/20;1024;TURKEY;Turkish;9;9;8;9;9;8;8;8;9;8;8;9;9;9;9;20;20;60;9;8;10;10;10;7;7;9;9;8;9; ; ; ;9;8;9;9;9;9;8;9;9;9;8;8;8;8;8;9;9;9;2;1;9;8;8;9;8;8;8;8;9;8;9;9;8;9;8;8;9;80;60;1;12;9;50;3;4;2; ;36;3;2;1; ;3;1;1;1;213;9
01/05/20;1168;TURKEY;Turkish;8;2;9;8;9;8;9;8;8;8;9;8;8;9;9;70;10;20;7;8;8;9;9;10;9;8;8;8;7;7;9;8;9;2;2;8;8;8;8;8;8;8;8;8;9;10;9;9;9;9;9;2;10;7;7;2;8;8;2;8;8;8;2;8;7;4;7;8;7;40;60;8;6;9;50;3;4;2; ;27;3;2;3; ;3;1;1;2;213;9
08/05/20;1265;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;100;0;0;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;9;10;10;10;10;9;10;10;10;10;10;10;0;10;10;10;10;9;9;10;10;9;9;10;10;10;10;8;10;9;100;100;0;3;10;24;3;4;2; ;48;3;2;1; ;1;1;1;1;213;10
02/05/20;3716;TURKEY;Turkish;10;10;10;10;10;10;9;9;10;9;10;10;10;10;10;20;20;60;10;10;8;9;8;10;10;9;8;1;1;8;8;9;10;8;9;10;9;10;10;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;4;10;9;3;9;9;9;10;9;8;8;7;8;7;100;100;10;4;10;1000;3;4;2; ;27;3;2;3; ;4;1;1;1;213;10
02/05/20;822;TURKEY;Turkish;7;2;7;7;7;7;8; ;7;7;8;9;9;8;8;20;70;10;4;7;7;7;7;7;8;8;6;6;7;4;3;6;7;6;8;7;8;8;8;8;7;7;6;8;7;7;7;8;7;8;2;3;8;6;7;3;6;6;6;7;7;8;8;8;8;8;7;7;8;60;70;7;10;8;50;200;4;2; ;35;3;2;1; ;3;1;1;1;İkiyuzonuc;7
08/05/20;440;TURKEY;Turkish;5;5;5;9;7;5;5;5;5;5;5;5;5;5;5;5;75;20;9;7;6;8;5;3;5;6;5;5;5;5;5;5;5; ;5;5;6;6;7;6;4;4;6;6;5;5;5;5;5;5;9;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;20;50;5;6;6;100;20;4;1; ;18;1;0;1; ;2;1;1;2;213;5
02/05/20;2992;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0;50;50;5;8;10;10;7;10;10;5;3;2;3;6;10;10;10;0;3;5;6;10;9;8;9;6;7;10;10;10;10;10;10;9;3;0;10;6;6;3;6;8;1;10;10;10;0;8;6;0;7;7;8;40;30;6;10;6;50;1;4;2; ;37;3;1;2; ;6;1;1;1;213;0
08/05/20;1320;TURKEY;Turkish;9;7;9;8;8;7;7;8;8;8;8;9;9;8;8;80;10;10;7;7;7;7;8;10;10;9;2;8;7;2;2;7;7;2;2;9;8;8;8;8;7;8;4;8;9;8;9;9;7;8;2;1;8;3;8;2;7;8;7;8;7;8;8;8;8;8;8;7;7;20;70;7;3;8;50;18;4;2; ;56;3;3;1; ;6;1;1;1;213;8
02/05/20;2518;TURKEY;Turkish;10;1;9;10;10;10;10;10;10;10;10;10;10;10;10;40;40;20;2;3;6;7;6;10;10;6;6;7;7;8;1;9;10;1;4;6;8;7;10;3;2;0;6;9;8;9;9;10;10;9;2;1;10;2;6;2;6;8;7;10;10; ;1;8;7;1;6;7;10;20;60;3;14;8;50;15;4;1; ;31;3;1;3; ;6;1;1;1;213;0
02/05/20;881;TURKEY;Turkish;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;90;10;0;10;10;10;10;10;10;10;10;10;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;7;10;10;10;10;10;10;10;10;10;10;6;10;10;10;10;10;10;100;90; ;13;10;150;15;4;2; ;35;3;2;1; ;2;1;1;1;213;10
08/05/20;306;TURKEY;Turkish;7;3;9;7;6;7;8;3;8;4;7;9;2;7;6;20;51;29;4;8;8;7;4;7;7;7;8;3;6;7;3;7;7;4;7;8;3;8;4;8;2;7;8;3;7;3;8;4;8;4;6;8;6;7;3;8;6;8;3;3;8;3;7;3;8;3;8;3;9;70;30;8;9;7;65;14;4;1; ;28;1;1;1; ;4;2;1;2;213;8
04/05/20;701;TURKEY;Turkish;8;0;7;9;9;9;9;9;8;8;7;8;8;8;8;20;40;40;7;7;10;9;7;9;10;6;1;2;1;6;6;6;6;7;7;8;7;7;7;7;7;7;8;8;8;8;8;9;9;8;0;0;9;3;8;2;7;7;0;7;6;8;0;8;9;0;7;8;8;40;40;7;8;9;50;1200;4;2; ;35;3;2;1; ;2;1;1;1;İkiyuzonuc;6
02/05/20;1178;TURKEY;Turkish;10;6;9;10;10;9;10;10;10;10;10;10;10;10;8;20;40;40;9;9;9;9;9;10;9;8;7;8;9;9;9;9;9;9;9;8;9;8;9;8;8;8;10;10;10;10;9;10;9;9;8;7;10;9;10;9;10;10;7;10;10;10;7;9;10;7;10;9;10;70;80;6;10;9;50;10;4;2; ;36;3;3;1; ;6;1;2;2;213;9
08/05/20;1282;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;25;25;7;9;10;3;8;10;10;9;7;8;5;8;10;9;10;0;0;10;10;10;10;8;2;2;10;10;10;10;10;10;10;9;1;0;10;3;7;1;10;9;0;10;10;7;0;8;8;1;5;7;8;50;50;8;1;9;50;100;4;2; ;56;3;3;1; ;3;1;1;2;213;0
06/05/20;2084;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;25;25;10;10;10;7;10;10;10;8;10;8;8;6;0;10;10;0;0;10;9;6;10;10;9;10;10;10;10;10;10;10;10;10;0;0;10;0;9;0;10;10;0;10;10;10;0;10;10;3;10;10;10;80;60;10;1;9;50;100;4;2; ;71;3;2;1; ;3;1;1;2;213;0
04/05/20;478;TURKEY;Turkish;8;8;9;7;8;9;8;9;7;8;9;9;9;9;9;29;18;53;10;10;9;9;9;10;10;8;7;8;4;7;6;9;10;7;7;10;10;10;10;7;8;7;10;9;6;8;7;8;9;10;10;9;10;10;9;9;10;8;9;9;10;9;10;9;9;9;9;9;10;0;80;0;14;10;50;100;4;1; ;73;1;0;1; ;1;2;1;1;213;0
03/05/20;976;TURKEY;Turkish;9;0;9;10;10;8;7;8;8;9;10;9;9;10;10;50;25;25;7;8;9;5;10;10;10;10;10;10;10;10;1;10;8;7;8;7;8;8;8;7;8;9;9;8;9;9;8;10;8;9;7;2;10;8;9;8;9;8;7;10;9;9;0;10;10;0;10;10;10;80;80;8;2;8;100;100;4;2; ;30;3;2;1; ;4;1;1;1;213;0
02/05/20;1961;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0;50;50;10;10;6;10;8;10;10;5;6;7;6;0;10;7;6;0;10;6;7;7;7;7;6;7;10;7;7;8;8;7;7;7;10;2;10;4;3;1;4;7;0;6;7;5;5;5;7;6;7;7;7;20;60;6;1;10;50;100;4;1; ;47;3;3;1; ;1;1;1;2;213;0
02/05/20;1244;TURKEY;Turkish;8;2;8;9;9;10;10;10;10;10;9;9;9;10;9;75;15;10;5;6;4;5;5;9;8;6;4;6;2;7;9;9;8;1;3;9;8;9;9;6;9;9;7;6;8;8;8;8;10;10;2;3;7;5;7;6;8;6;3;10;10;7;0;8;9;0;8;9;10;80;80;3;16;6;25;100;4;2; ;64;3;2;1; ;4;1;1;2;213;0
02/05/20;824;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;0;0;0;0;0;25;50;25;0;10;10;10;10;10;10;10;10;10;10;0;0;10;10;0;0;10;10;10;10;10;10;10;10;0;10;10;10;10;0;10;0;0;10;10;10;10;10;10;0;10;10;10;10;10;10;10;10;10;10;0;0;10;16;10;50;100;4;1; ;18;1;0;3; ;11;1;1;2;213;0
02/05/20;1971;TURKEY;Turkish;10;2;10;10;10;10;10;10;10;10;9;10;10;10;10;50;0;50;8;7;0;10;4;5;0;10;10;10;10;9;10;10;10;0;0;4;6;7;6;8;7;8;9;8;2;4;2;0;10;10;0;2;10;10;0;0;0;2;0;9;7;2;3;2;3;5;3;1;4;50;50;0;16;10;50;100;4;1; ;31;1;0;2; ;4;1;1;1;213;0
02/05/20;1064;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;30;20;8;9;10;10;10;10;10;8;9;8;7;7;0;10;10;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;10;0;8;0;10;10;0;10;10;5;0;9;10;0;10;8;10;50;50;8;7;9;50;100;4;2; ;39;3;3;1; ;3;1;1;2;213;0
02/05/20;2170;TURKEY;Turkish;9;2;8;10;10;10;10;10;8;9;10;10;10;10;10;95;0;5;7;6;6;6;9;10;10;9;7;6;7;3;10;10;10;6;1;8;9;8;9;8;8;6;7;10;9;8;8;10;7;9;9;0;7;10;8;0;6;4;6;10;10;7;0;7;9;0;9;8;10;70;90;0;16;10;50;100;4;1; ;47;3;2;3; ;7;1;1;2;213;0
02/05/20;1145;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;20;30;7;7;10;10;10;10;10;5;5;0;0;5;10;10;10;0;0;9;8;6;7;7;8;7;7;10;8;9;8;10;10;10;8;0;10;8;8;8;10;9;3;10;10;10;0;7;9;0;7;10;10;30;60;2;10;7;50;100;4;2; ;48;3;2;1; ;6;1;1;2;213;0
02/05/20;868;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;70;20;10;2;5;10;10;10;10;10;10;10;10;10;6;4;10;9;3;8;10;8;5;8;10;9;8;9;9;10;7;8;10;8;10;2;0;10;8;8;10;9;9;0;8;8;10;0;9;9;10;10;10;9;60;30;5;14;10;50;100;4;2; ;35;3;3;1; ;4;1;1;1;213;0
02/05/20;945;TURKEY;Turkish;9;1;10;10;10;9;9;9;7;9;9;9;9;9;10;90;5;5;2;6;0;0;0;4;0;2;2;2;0;8;9;9;10;0;2;8;8;9;8;1;3;0;0;4;2;3;8;7;10;7;8;7;8;2;9;4;7;4;10;8;8;3;2;4;8;2;8;8;8;20;10;1;9;2;50;100;4;1; ;39;3;1;1; ;5;1;1;2;213;0
01/05/20;903;TURKEY;Turkish;9;2;8;10;10;10;10;10;10;10;9;9;9;9;9;10;70;20;3;3;9;9;8;10;10;8;8;10;9;2;10;10;10;1;1;10;10;10;10;10;1;1;3;10;9;9;9;10;8;9;1;0;10;2;8;1;9;8;2;10;10;7;0;8;8;1;8;8;10;20;70;3;16;9;50;100;4;1; ;62;3;2;1; ;5;1;1;1;213;0
03/05/20;689;TURKEY;Turkish;10;7;7;8;7;8;7;10;9;10;10;10;6;7;7;50;20;30;8;8;7;9;8;7;8;10;10;10;10;10;10;10;10;10;10;6;6;9;10;7;8;8;8;9;8;8;8;9;10;10;10;10;7;8;8;9;10;8;9;8;8;8;8;9;8;9;7;8;9;100;100;7;1;7;40;100;4;2; ;23;3;2;1; ;1;1;1;2;213;6
03/05/20;1533;TURKEY;Turkish;9;1;10;10;10;9;10;9;10;10;8;9;8;8;9;80;10;10;6;6;8;9;9;10;10;7;8;6;7;3;8;10;9;10;1;6;9;9;6;6;4;4;8;9;9;9;9;10;3;7;7;2;10;8;8;5;10;9;7;9;10;9;1;7;10;9;2;3;8;70;50;6;8;7;100;100;4;2; ;30;3;2;1; ;6;1;1;1;213;7
02/05/20;1108;TURKEY;Turkish;10;3;10;10;10;10;10;10;8;10;8;10;10;10;10;30;35;35;7;8;10;10;10;10;10;5;0;1;2;8;10;10;10;9;6;9;8;9;10;9;5;10;9;10;10;10;10;10;10;10;10;2;10;3;6;3;7;7;1;10;7;9;1;8;9;2;8;10;10;30;40;5;12;10;250;100;4;1; ;35;3;3;1; ;6;1;1;1;213;7
02/05/20;336;TURKEY;Turkish;9;10;9;8;8;9;9;9;9;8;8;8;10;10;10;30;40;30;9;9;9;8;9;9;9;9;10;9;8;8;10;9;8;8;9;9;10;10;8;8;9;9;9;10;10;10;10;9;9;8;8;9;8;9;10;8;9;9;8;10;9;9;9;8;9;8;8;9;9;90;90;9;9;8;100;100;4;2; ;26;3;2;6;Ev hanimi;3;1;1;1;213;8
02/05/20;777;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;9;10;10;10;10;70;25;5;8;10;10;10;10;10;10;5;0;0;0;5;5;7;7;0;0;7;5;7;7;7;0;7;10;10;8;8;8;8;8;10;7;0;9;8;5;8;5;5;0;10;10;5;0;0;10;0;10;10;10;10;30;10;1;8;150;10;4;1; ;40;3;2;1; ;3;1;1;1;213;0
02/05/20;1054;TURKEY;Turkish;10;0;3;10;10;10;10;10;10;10;10;10;10;10;10;55;20;25;2;5;0;0;0;7;0;7;0;7;5;8;1;10;10;0;0;8;9;10;8;2;10;10;8;8;7;4;4;8;8;10;7;2;8;3;7;8;9;6;1;9;9;9;0;8;8;1;5;6;7;70;70;3;6;3;50;1;4;2; ;34;3;0;1; ;6;1;1;1;213;9
08/05/20;1794;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;7;7;10;10;98;1;1;4;6;10;6;10;10;10;6;0;1;1;6;10;10;10;0;0;0;5;10;0;10;0;10;10;10;10;8;8;10;10;10;9;0;10;6;6;0;7;10;0;10;10;0;0;1;1;10;1;0;10;70;80;4;15;10;50;1;4;1; ;60;3;2;3; ;10;1;1;1;213;0
08/05/20;937;TURKEY;Turkish;10;0;4;10;10;9;9;10;10;10;10;10;10;10;10;0;60;40;4;6;3;5;2;10;10;0;0;0;0;9;0;9;8;0;0;7;7;3;8;3;3;6;3;7;7;6;8;10;9;9;1;6;8;10;3;0;2;6;0;8;5;6;2;6;5;8;6;6;6;40;70;5;1;10;50;1;4;1; ;18;1;0;4; ;4;1;1;2;213;0
02/05/20;1075;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;0;50;7;8;0;10;8;7;10;7;7;7;7;10;10;10;10;0;10;10;10;10;10;10;10;10;7;7;10;10;10;10;6;7;10;0;10;0;3;2;7;6;3;10;10;0;0;10;10;0;10;10;10;20;100;0;1;3;25;1;4;2; ;23;2;1;3; ;6;1;1;1;213;0
01/05/20;606;TURKEY;Turkish;9;2;9;8;10;8;8;10;5;8;8;7;9;8;7;100;0;0;6;7;3;8;5;9;9;0;1;0;0;8;2;7;8;1;4;8;7;9;9;9;7;9;3;8;8;9;9;9;8;2;7;8;8;2;2;7;6;7;6;9;9;7;1;8;7;2;7;7;7;0;60;3;16;8;25;1;4;1; ;31;1;0;1; ;5;1;1;2;213;0
02/05/20;945;TURKEY;Turkish;8;3;7;7;8;7;7;7;8;8;5;5;5;5;5;85;10;5;3;3;8;8;7;10;10;6;6;7;7;5;5;5;7;7;7;7;7;7;7;8;8;8;5;5;7;6;7;8;5;5;5;1;7;5;5;5;5;5;5;7;7;8;8;5;5;5;7;7;7;50;50;3;3;3;50;1;4;2; ;60;3;1;1; ;7;1;1;1;213;8
06/05/20;356;TURKEY;Turkish;10;10;10;10;10;8;8;8;8;8;10;10;10;10;10;52;25;23;10;10;9;9;10;8;8;8;8;9;9;10;10;10;10;10;10;8;9;8;8;10;8;9;9;9;10;9;8;8;8;8;7;9;7;10;10;10;10;10;10;5;6;7;10;8;8;9;1;9;10;90;90;10;7;9;50;1;4;1; ;25;1;0;1; ;3;2;2;1;213;10
02/05/20;872;TURKEY;Turkish;9;9;8;8;8;9;9;9;9;9;9;9;10;10;10;50;0;50;8;8;8;8;8;10;10;10;10;9;9;10;9;9;9;8;7;8;9;10;10;10;9;10;9;9;9;9;10;10;9;9;4;7;9;8;8;9;10;10;10;10;8;8;9;9;10;10;9;9;9;60;80;9;16;9;50;1;4;2; ;40;3;2;1; ;3;1;1;1;213;10
05/05/20;385;TURKEY;Turkish; ; ; ; ; ;5;5;5;5;5;9;9;9;10;10;0;90;10;10;9;5;5;5;10;10;0;6;2;0;8;5;5;5;5;5;5;5;5;5;5;5;5;10;8;5;5;5;5;10;7;0;0;5;4;9;10;9;7;10;5;5;5;5;5;5;5;5;5;5;0;20;5;1;10; ; ;4;1; ;18;1;0; ; ;1;3;1;1; ;5
08/05/20;3272;TURKEY;Turkish;9;1;10;10;10;10;10;10;10;10;10;10;10;10;10;20;60;20;10;8;4;8;6;8;10;10;8;8;8;9;0;9;10;0;0;8;10;9;10;10;2;0;10;9;9;10;10;10;3;10;0;0;9;0;3;0;10;8;0;10;10;10;0;10;10;0;10;9;8;30;70;5;14;10;50;300;4;1; ;19;1;0;1; ;7;1;1;2;213;0
04/05/20;2075;TURKEY;Turkish;10;1;10;10;10;10;10;10;10;10;10;10;10;10;10;100;0;0;0;4;9;10;10;10;10;10;1;1;3;9;9;8;9;1;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;0;0;10;0;7;8;8;6;0;10;10;7;0;8;9;0;8;8;8;30;50;0;16;10;25;900;4;2; ;65;1;2;5; ;6;1;1;1;213;0
02/05/20;1356;TURKEY;Turkish;4;5;1;5;4;7;7;9;8;9;2;4;4;7;3;90;1;9;7;5;5;5;6;10;10;9;6;10;6;7;2;8;9;5;5;5;4;4;3;7;3;3;0;7;7;7;8;9;7;8;5;2;6;5;6;3;6;7;8;8;7;5;3;6;6;5;3;5;4;80;90;4;2;6;50;900;4;1; ;54;3;1;1; ;6;1;1;1;213;0
08/05/20;1369;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;50;0;50;7;8;7;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;3;8;8;10;10;10;0;10;10;10;10;10;10;10;8;10;9;2;0;9;10;10;10;8;10;100;100;0;16;10;25;900;4;1; ;63;3;2;5; ;6;1;1;2;213;9
02/05/20;1742;TURKEY;Turkish;10;0;10;10;10;5;6;4;5;10;8;10;4;7;10;25;18;57;7;7;4;10;4;10;10;3;2;0;4;6;7;10;5;0;7;4;6;8;5;3;7;5;6;5;7;4;8;8;2;7;0;8;10;10;10;10;10;7;0;10;10;6;0;5;8;0;7;10;9;10;70;5;1;10; ;5;4;1; ;21;1;0;4; ;4;2;1;1;213;0
02/05/20;2506;TURKEY;Turkish;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;60;20;20;6;6;6;6;6;10;10;7;7;7;7;9;6;6;6;2;4;6;6;10;6;10;3;0;4;10;4;4;4;10;10;10;0;9;9;2;3;2;4;4;1;10;10;9;0;8;4;3;4;3;10;60;60;7;9;7;25;5;4;1; ;35;1;0;3; ;6;1;1;1;213;0
02/05/20;1108;TURKEY;Turkish;10;0;10;10;10;10;10;8;8;10;10;10;8;10;10;40;35;25;5;6;6;6;6;7;3;0;0;0;0;3;10;10;10;0;0;6;7;7;6;6;4;3;3;7;5;6;7;7;7;6;3;5;7;6;5;6;6;5;4;7;8;6;1;6;6;4;5;6;7;40;30;5;14;7;25;300;4;1; ;20;1;0;1; ;7;2;1;1;213;9
02/05/20;1166;TURKEY;Turkish;10;1;10;9;9;8;9;8;9;8;9;9;9;9;9;20;40;40;9;9;8;8;5;8;8;3;2;8;8;8;4;8;8;2;1;7;8;9;8;8;8;5;9;8;9;8;9;9;8;8;6;8;9;5;8;4;8;8;1;8;8;8;8;8;9;1;8;8;8;80;80;8;12;8;50;300;4;2; ;32;3;3;1; ;1;1;1;1;Teşekkürler;9
