screening,Q109,physical_contact1,physical_contact2,physical_contact3,physical_contact4,physical_contact5,physical_hygiene1,physical_hygiene2,physical_hygiene3,physical_hygiene4,physical_hygiene5,policy_support1,policy_support2,policy_support3,policy_support4,policy_support5,generosity1,generosity2,generosity3,generosity4,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity1,national_identity2,conspiracy_theories1,conspiracy_theories2,conspiracy_theories3,conspiracy_theories4,open-mindedness1,open-mindedness2,open-mindedness3,open-mindedness4,open-mindedness5,open-mindedness6,morality_as_cooperation1,morality_as_cooperation2,morality_as_cooperation3,morality_as_cooperation4,morality_as_cooperation5,morality_as_cooperation6,morality_as_cooperation7,trait_optimism1,trait_optimism2,social_belonging1,social_belonging2,social_belonging3,social_belonging4,trait_self-control1,trait_self-control2,trait_self-control3,trait_self-control4,self_esteem,Q108,narcissism1,narcissism2,narcissism3,narcissism4,narcissism5,narcissism6,moral_identity1,moral_identity2,moral_identity3,moral_identity4,moral_identity5,moral_identity6,moral_identity7,moral_identity8,moral_identity9,moral_identity10,risk_perception1,risk_perception2,political_ideology,moral_circle,moral_circle1,health,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,sex,Other (please specify),age,marital,children,employment,Other (please specify),ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q110
1,1,,,,,,100,100,100,100,80,,,,,,,,,,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,50,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,10,100,100,100,,,,,,,,,,,,,,,,,8,9,10,10,10,5,0,0,0,0,10,10,10,0,0,7,7,8,10,8,6,8,10,10,,,,,6,7,10,0,,,,,,,,,10,10,0,0,7,9,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,80,80,100,80,100,90,90,90,100,100,65,30,5,100,70,60,5,5,5,10,4,5,0,0,0,1,9,9,10,1,1,8,8,8,9,6,8,10,8,8,8,8,8,9,7,7,7,3,9,,5,5,0,8,2,0,10,10,6,0,8,8,0,8,8,10,60,70,,,16,7,50,300,4,4,26,20,2,,36,3,2,1,,,,4,1,1,1,213,
1,1,100,0,100,100,100,60,80,100,100,80,100,100,0,100,100,90,9,,,50,50,,8,,9,9,5,0,0,0,3,10,10,8,0,5,5,8,8,8,5,10,10,7,8,6,8,7,10,5,7,6,9,7,,5,5,6,6,0,10,10,10,8,0,10,5,2,10,10,10,80,80,7,,11,8,50,3,7,4,25,15,1,,40,1,0,1,,,,3,1,1,1,213,
1,1,,,,,,50,90,90,100,90,,,,,,,,,,,,,,,9,10,5,1,1,2,5,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,80,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,10,100,100,100,60,40,70,30,50,10,10,10,30,20,10,10,0,10,20,30,1,9,5,10,8,10,10,2,7,4,10,10,10,0,0,7,7,8,7,6,7,3,8,7,6,7,7,9,6,8,7,4,7,,2,8,1,8,6,1,10,8,5,1,6,7,3,7,7,9,20,30,5,,16,8,50,3,7,4,26,20,2,,37,3,2,2,,,,5,1,1,2,213,
1,1,,,,,,20,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,80,80,70,60,80,70,70,70,100,80,100,0,0,,20,40,5,3,2,10,6,3,0,0,0,3,7,8,10,0,0,5,5,5,5,7,6,5,5,4,6,6,5,6,7,6,7,7,4,,2,5,1,3,1,0,9,7,3,3,3,5,4,2,4,6,40,60,5,,14,5,50,300,4,4,1,15,2,,29,1,0,6,Self-employed,,,4,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,30,60,100,,30,90,100,80,100,100,70,100,,,60,60,,,,8,,2,0,1,1,3,10,10,10,0,0,6,6,6,10,6,10,10,,8,8,8,8,10,3,7,8,1,8,,1,7,0,,,0,10,9,,0,,,2,3,,10,80,80,5,,14,8,503,3,4,226,26,20,2,,56,1,2,1,,,,3,1,1,1,213,
1,1,100,60,70,100,100,60,60,100,80,100,70,50,0,100,100,50,51,0,,50,50,5,5,5,10,10,9,1,0,0,5,10,10,10,0,0,10,10,10,10,7,5,5,8,10,10,10,10,10,7,9,1,0,8,,5,5,0,5,5,0,10,10,5,0,5,5,0,5,5,9,100,100,5,,16,8,50,300,4,4,26,20,2,,42,3,3,1,,,,6,1,1,1,213,
1,1,100,100,100,100,100,100,100,100,100,100,100,100,60,100,100,4,99,50,,50,50,0,5,5,10,10,5,5,5,5,9,10,10,10,0,0,10,10,10,10,7,3,0,5,5,7,8,10,10,10,5,5,2,9,,0,0,0,5,0,1,10,10,5,0,5,5,5,10,5,9,50,60,5,,16,5,504,,4,8,26,10,2,,70,2,2,1,,,,7,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,50,50,20,50,80,50,50,50,50,50,0,0,0,0,0,100,0,0,0,80,80,0,0,0,10,5,5,5,5,0,0,10,10,10,0,1,5,0,0,0,0,9,10,7,5,8,8,8,10,5,10,5,5,9,,5,5,1,5,7,2,10,10,10,0,5,5,10,10,10,10,80,80,6,,11,8,25,3,7,4,25,15,1,,52,3,1,1,,,,3,1,1,1,213,
1,1,70,40,70,70,70,70,70,50,40,70,80,80,80,80,80,50,71,31,70,70,70,8,8,8,8,8,,,,,,8,8,8,,,,8,8,8,,,4,8,10,7,7,,,,,,,8,,,,,,,,,,,,,,,,,,,60,7,,16,5,50,,8,,13,180,2,,47,1,2,1,,,,6,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,80,80,,,,9,,,,,,0,10,10,10,0,2,,,,,,,,,,,,,,,10,,,,,,,,,,0,,,,,,,,,,,80,80,7,,,,,,,,,,,,,,,,,,,,,,,,
1,1,80,100,80,100,100,100,100,100,100,100,20,100,0,40,40,,100,,,20,20,0,2,2,2,2,2,10,7,2,1,10,10,10,0,0,8,3,8,7,3,7,10,2,7,3,6,6,7,3,3,3,3,0,,2,2,2,7,7,1,10,8,8,2,7,10,2,3,2,10,30,70,2,,16,10,50,300,7,4,1320,20,2,,51,3,1,1,,,,4,1,1,1,213,
1,1,100,0,90,100,100,100,100,100,80,90,70,70,80,80,80,50,50,,50,40,60,4,1,1,8,7,3,1,1,2,1,9,9,9,0,0,3,4,,7,3,7,7,4,4,8,7,,6,8,7,4,1,,,1,0,0,0,1,0,10,9,,1,7,7,2,,6,8,90,70,2,,14,9,50,3,4,4,26,20,2,,38,3,2,1,,,,4,1,1,1,213,
1,1,100,0,90,100,100,100,100,90,60,100,80,100,40,100,100,50,100,10,10,50,50,5,5,5,10,10,1,1,0,2,3,1,9,10,0,2,8,9,9,9,6,2,9,8,8,9,7,7,8,7,8,4,9,8,,5,5,5,5,2,1,10,10,9,1,8,9,10,10,8,9,70,80,3,,14,8,50,300,4,4,25,20,2,,68,1,3,6,Self-employed ,,,7,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,70,,,14,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,30,50,100,30,70,100,100,100,100,100,40,60,60,600,30,70,7,5,7,10,5,7,6,9,7,6,10,10,10,0,0,10,10,10,10,9,10,9,10,8,7,8,6,10,7,7,5,0,9,,5,4,7,7,4,0,10,10,5,0,4,10,0,10,10,10,20,80,0,,16,6,50,300,16,4,2525,25,1,,21,1,0,4,,,,4,1,1,1,213,
1,1,60,30,80,60,50,50,60,60,30,50,70,90,80,80,70,84,10,5,,60,60,5,5,5,8,5,2,0,0,0,2,10,9,8,2,2,2,6,2,6,1,0,6,8,9,2,5,5,3,7,8,8,6,8,,5,6,6,7,6,3,7,3,3,2,3,2,6,2,2,4,50,70,3,,7,4,25,3,7,4,25,15,1,,27,2,0,1,,,,6,1,1,1,213,
1,1,80,60,40,60,80,70,80,70,60,90,70,60,30,60,100,50,50,,,70,70,8,8,9,7,4,0,0,0,0,3,8,10,10,0,0,10,8,7,10,9,6,6,9,8,6,8,6,7,,6,8,3,4,,,6,6,8,6,2,10,10,9,0,8,7,10,6,7,10,100,100,2,,16,9,50,300,4,4,26,,2,,24,2,0,1,,,,4,1,1,1,213,
1,1,100,0,70,100,100,30,80,80,50,60,30,30,10,80,80,50,51,0,,70,60,8,9,5,7,8,0,0,0,2,8,8,10,8,0,7,8,8,,8,,7,7,6,7,6,6,6,8,5,4,7,4,7,,7,8,7,9,6,3,9,9,4,2,4,7,1,9,7,10,40,40,0,,16,,50,,,,,,2,,35,3,2,1,,,,2,1,1,1,213,
1,1,100,10,20,90,90,60,60,100,0,50,100,100,70,100,80,80,20,0,,80,70,0,8,2,8,,5,8,5,1,0,10,10,10,0,0,0,0,9,2,0,8,10,9,9,10,8,8,9,9,9,3,2,9,,0,3,5,7,2,0,8,9,5,0,8,8,0,7,7,5,30,70,4,,16,9,50,100,4,4,27,20,2,,58,1,3,6,Sustainably blogger with no income from this yet!,,,4,1,1,1,213,
1,1,90,20,90,100,100,80,80,100,70,,,,0,100,100,20,80,,,50,50,7,8,8,10,9,1,1,1,1,5,10,10,6,0,1,5,8,10,10,10,10,10,6,7,4,8,8,9,3,6,8,,,,,5,3,3,5,1,10,10,10,0,10,8,0,10,10,10,50,70,0,,16,3,50,300,4,4,25,20,2,,38,1,0,1,,,,4,1,1,1,213,
1,1,100,100,100,100,100,,,,,,60,,0,100,,,,,,,,,,,10,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,70,50,,,,,,0,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,,,,,,,0,0,,,,,,,10,,,,,10,10,10,5,,,,10,10,10,0,0,10,10,10,10,5,10,10,,,,,,,,10,,,,,,,0,,0,0,,,,,,,,,,,80,80,,,16,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,0,0,100,100,100,100,100,100,100,100,50,50,,,,,0,0,0,10,,0,0,0,0,,10,10,10,0,10,7,7,7,,,,3,,,5,,,10,3,,10,,2,,2,0,0,0,0,0,10,10,,0,5,0,0,0,0,10,50,50,,,4,5,50,100,4,4,26,20,2,,37,1,0,1,,,,5,1,1,1,123,
1,1,,,,,,,,,,,,,,,,,,,,60,60,6,6,6,,,,,,,,,,,,,,,,,,,,7,8,,,,,10,8,7,7,,,7,10,0,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,90,60,100,50,100,100,100,100,50,100,100,50,50,50,150,50,,5,5,5,10,10,5,1,5,5,5,5,10,10,0,0,10,5,10,10,5,6,5,5,5,5,5,10,10,10,10,6,0,5,,5,10,1,10,5,0,5,5,5,5,5,5,1,5,5,5,0,30,5,,16,10,,,,,,,,,,,,,,,,,,,,,
1,1,90,10,90,90,90,70,70,100,100,100,90,90,90,90,90,,100,0,,60,60,5,7,5,10,10,3,3,3,2,1,9,9,9,0,0,5,6,7,8,7,7,7,7,5,7,5,5,8,8,7,1,3,5,,2,2,2,2,1,1,9,10,5,1,5,5,1,5,5,7,70,70,2,,3,8,50,300,7,8,25,20,2,,24,2,0,1,,,,3,1,1,1,213,
1,1,,,,,,60,70,70,40,70,70,80,40,80,70,0,50,50,,,,,,,,,,,,,4,7,8,7,3,5,7,7,7,5,5,6,6,5,5,,,,,,,,,,,5,5,5,3,3,2,,,,,,,,,,,50,50,5,,16,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,9,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
1,1,90,10,100,100,100,80,70,100,60,70,70,70,70,70,70,19,80,,,40,60,3,7,5,10,10,1,1,1,3,8,7,8,7,4,4,7,7,8,7,4,3,1,6,6,3,4,4,4,7,7,3,2,6,,3,6,4,6,3,4,9,7,6,1,6,3,3,4,6,7,100,90,5,,16,7,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,30,90,100,100,,,,,,100,100,100,100,100,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,80,70,90,60,70,50,70,30,70,100,50,40,10,100,80,20,0,2,2,5,4,4,2,3,3,3,8,8,10,5,1,,,,,,,,8,9,8,8,8,10,5,8,6,2,6,,4,7,1,1,1,0,6,6,,3,7,7,7,7,,7,30,50,3,,16,10,,300,,,,,1,,38,2,1,1,,,,7,1,1,1,213,
1,1,100,0,90,90,100,70,100,100,60,100,40,100,100,100,100,80,20,,,,,2,10,1,10,9,1,0,0,0,1,9,10,10,1,0,8,7,5,,4,5,9,,,,,,,7,8,6,5,4,,,1,0,1,0,0,10,7,3,3,6,8,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,80,60,100,100,100,80,,100,100,80,80,100,70,100,70,78,22,,100,70,50,,7,,8,8,,,,,4,8,10,10,0,0,10,10,10,10,,8,,6,7,10,8,4,8,6,7,8,7,,,0,0,0,8,0,2,10,8,,0,,,0,,8,10,100,100,,,16,6,50,3,4,4,25,,2,,39,3,2,2,,,,6,1,1,1,213,
1,1,100,10,100,100,100,80,80,100,80,50,100,100,100,100,100,10,60,30,,70,60,5,5,5,10,5,10,10,10,10,0,10,10,10,0,0,,10,10,10,5,10,0,7,7,10,9,5,10,9,9,1,0,10,,0,0,0,0,5,0,10,10,5,0,5,5,0,5,5,5,70,80,0,,16,10,50,3,4,2,13,,2,,41,1,1,6,Self employed,,,7,1,1,1,213,
1,1,80,0,30,30,40,70,100,80,70,80,20,70,30,80,80,0,100,,,30,70,2,8,8,10,10,0,0,0,0,2,8,8,8,2,2,8,7,8,8,3,7,2,,7,0,0,2,4,0,4,10,8,,,1,0,8,,0,0,7,7,,0,,,3,,,9,100,100,,,4,7,50,300,4,4,25,20,2,,27,2,0,1,,,,2,1,1,1,213,
1,1,70,70,90,70,100,80,90,90,60,100,90,70,10,90,70,70,25,5,,70,60,,6,7,10,10,,,,,2,10,10,10,0,1,8,9,9,9,5,3,1,6,7,8,8,9,9,4,6,8,8,9,,,3,1,1,1,0,10,10,,0,8,,0,6,6,9,90,90,8,,11,7,50,300,4,4,25,45,2,,23,2,0,1,,,,6,1,1,1,213,
1,1,100,0,100,100,100,80,100,100,100,100,100,100,100,100,100,50,50,,100,60,60,10,9,3,7,2,0,0,0,0,2,8,9,8,0,2,8,7,7,4,3,8,7,7,7,2,1,2,3,2,8,8,4,2,,7,3,7,7,2,7,8,8,2,0,8,1,0,2,8,7,60,70,4,,1,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,70,70,60,,80,70,60,100,80,70,30,30,30,90,,30,0,,0,,1,,6,,,4,6,6,8,2,6,3,3,,,6,6,7,3,6,3,,4,,5,3,,,3,,3,3,0,0,0,4,6,7,,0,0,,2,5,0,6,20,80,,,5,,50,300,7,4,26,20,2,,27,1,0,3,,,,6,2,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,70,70,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,70,10,70,80,90,90,90,90,90,90,40,40,10,80,70,80,20,0,100,60,40,4,6,2,10,10,3,3,2,1,3,8,9,8,0,4,8,4,8,8,4,4,4,4,4,7,6,6,9,3,4,8,8,4,,4,1,4,5,5,3,9,8,5,1,5,8,1,7,7,9,70,70,4,,9,7,50,3,4,4,26,10,2,,42,1,3,1,,,,7,2,1,1,213,
1,1,80,30,80,90,80,80,70,100,60,100,30,20,30,0,0,20,81,70,80,60,60,6,10,9,10,10,10,10,10,9,0,10,9,9,2,10,10,8,9,10,10,10,3,9,10,8,8,10,10,10,8,9,2,10,,4,7,3,10,10,5,10,9,9,0,9,9,1,9,10,10,0,20,9,,8,8,50,300004,4,4,13,0,1,,26,1,0,4,,,,4,1,1,1,213,
1,1,,,,,,,,,,,,,,,,70,20,11,,60,50,5,5,5,,,7,5,2,2,,,,,,,7,7,10,4,6,7,3,,,,,,,,,,,7,,,,,,,,8,8,5,2,3,6,2,6,6,7,,,,,11,7,,,,,,,,,,,,,,,,,,,,,
1,1,90,0,80,80,100,80,80,80,80,80,100,100,100,100,80,75,20,5,100,40,20,8,9,10,10,10,0,0,0,0,6,3,5,7,1,3,6,7,7,5,9,2,2,9,10,6,7,6,8,5,5,5,7,8,,5,5,5,7,7,3,9,8,9,0,5,5,0,7,5,5,50,70,8,,8,7,50,300,4,8,33,10,2,,48,2,2,6,6 months contract ,,,8,1,1,1,213,
1,1,,,,,,,,,,,100,60,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,90,10,100,100,100,70,70,100,60,70,90,100,100,100,100,4,93,0,,70,70,5,5,5,9,5,10,0,0,9,5,10,9,10,0,1,0,0,0,0,0,6,10,5,5,7,6,7,9,9,10,5,1,8,,2,3,3,6,3,4,10,10,,1,10,5,1,5,5,5,70,70,3,,3,3,503,3,7,4,26,15,2,,57,3,3,1,,,,4,1,1,2,213,
1,1,100,0,100,100,100,100,100,100,100,,90,100,80,100,70,19,50,,,60,,4,,,8,,4,2,1,1,2,10,10,10,1,0,,7,7,7,,,9,7,7,7,6,6,9,7,8,8,3,9,,3,7,0,,3,10,10,10,,1,7,7,1,8,7,10,20,60,6,,16,8,50,300,7,4,25,15,2,,57,2,0,1,,,,4,1,1,1,213,
1,1,70,0,70,100,100,100,100,100,100,50,100,100,100,90,100,50,50,0,100,60,60,0,5,0,10,8,6,0,0,6,4,8,9,9,0,0,7,7,10,7,7,7,9,10,5,8,7,7,7,8,10,4,6,7,,0,5,0,5,0,0,10,10,0,0,6,0,0,4,4,10,80,80,7,,16,7,50,3,4,4,13,2,2,,29,3,2,4,,,,5,1,1,1,213,
1,1,100,0,100,100,100,50,100,100,100,100,100,100,0,100,100,70,30,,100,90,70,5,5,5,5,5,2,0,0,0,1,9,9,9,0,0,5,5,,,,,,8,8,10,10,10,10,5,10,6,0,7,,0,7,0,0,0,0,10,10,7,0,9,8,2,5,7,7,0,50,5,,11,7,50,300,7,4,26,15,2,,34,3,1,1,,,,1,1,1,1,213,
1,1,90,0,100,100,100,70,60,60,90,90,80,100,100,100,100,80,20,,100,30,40,5,7,5,5,5,7,5,7,5,5,7,7,7,3,3,6,7,9,8,5,8,8,7,7,5,3,5,5,8,7,2,2,4,,6,7,5,8,5,4,10,8,8,10,6,6,1,6,5,9,70,70,5,,9,7,25,300,8,4,26,15,2,,37,3,2,2,,,,4,1,1,1,213,
1,1,90,50,100,100,50,100,100,100,100,90,100,100,100,100,100,100,0,0,,50,50,10,9,10,9,9,2,2,3,2,10,0,5,10,0,0,,,,,,,,10,10,10,8,5,10,5,10,0,5,10,,3,3,0,2,5,3,8,3,10,5,5,5,5,5,5,5,100,100,0,,4,10,,,,,,,,,,,,,,,,,,,,,
1,1,70,60,60,,100,100,100,70,80,100,60,60,60,80,90,0,100,0,,70,70,5,6,,8,9,6,2,0,3,4,9,10,10,0,1,7,8,7,8,7,2,0,8,8,7,7,7,8,6,8,6,2,7,,2,6,1,6,1,0,9,8,6,0,7,7,0,7,8,7,30,50,7,,14,8,50,300,4,8,26,20,2,,26,2,0,1,,,,4,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,80,40,100,80,100,80,80,70,60,60,70,100,40,60,100,70,90,10,,30,30,4,5,5,8,7,10,10,10,10,4,10,10,10,0,4,7,10,10,10,4,3,0,6,4,4,8,7,9,7,8,8,3,8,,6,8,5,8,6,4,10,8,8,0,7,4,0,4,4,7,60,60,6,,14,7,25,300,4,4,13,15,1,,53,1,2,6,Self employed ,,,6,1,1,2,213,
1,1,100,0,100,100,100,70,70,100,80,100,100,100,100,100,100,0,80,20,,80,70,3,3,3,10,10,10,5,3,7,5,10,10,10,0,0,7,6,9,7,7,7,7,10,10,8,9,9,9,7,7,8,2,10,,6,5,0,3,2,3,10,10,8,0,10,10,0,0,8,10,50,50,8,,4,8,50,100,4,8,25,15,2,,39,3,3,1,,,,5,1,1,1,213,
1,1,,,,,,,,,,,100,100,100,80,100,20,40,40,100,70,60,5,5,5,10,5,,,,,5,8,8,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,80,90,100,70,60,100,70,90,100,100,100,100,100,70,15,15,,100,100,,,,5,,0,0,0,0,0,10,10,10,0,0,5,8,8,8,7,9,9,9,10,10,10,10,10,7,7,7,6,7,,3,0,0,0,0,0,10,10,1,0,7,,0,7,7,10,80,90,,,16,7,0,300,4,4,26,20,2,,35,3,2,6,Stay home mom ,,,3,1,1,2,213,
1,1,100,0,100,100,100,80,80,100,100,100,100,100,100,100,100,0,100,0,,30,,4,4,4,9,8,1,1,2,2,3,10,10,10,0,0,7,6,8,7,,7,7,5,5,4,2,1,8,7,7,3,3,2,,1,1,0,3,0,0,9,10,,0,7,8,0,0,0,10,,60,,,14,8,125,900,4,4,,15,2,,39,3,2,6,House exec,,,6,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,80,10,100,80,100,60,70,100,70,60,100,90,30,100,50,76,20,4,100,50,60,5,5,0,7,7,0,5,0,0,2,9,10,10,0,1,2,5,9,8,1,2,3,7,5,8,8,7,9,7,7,6,4,6,,0,0,0,0,0,0,9,9,0,0,6,7,0,7,7,8,60,40,4,,16,7,50,900,2,4,24,15,1,,47,3,0,1,,,,6,1,1,2,213,
1,1,80,,80,80,80,,,,,,,,,,,51,50,,,,80,,,,8,8,7,7,7,7,,,,,,,8,,8,7,7,,,7,7,7,7,8,8,,,,,7,,,,,,,,,,,,,,,,,,10,10,,,14,,,,,,,,,,,,,,,,,,,,,,
1,1,90,0,90,90,100,70,70,100,100,100,70,70,70,80,80,35,65,,,20,20,5,5,5,10,6,0,4,2,3,3,8,8,8,2,2,5,5,5,7,5,2,2,5,4,3,3,3,4,4,4,7,7,3,,4,4,2,2,0,2,7,8,5,2,5,5,3,5,5,7,30,40,3,,11,5,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,80,100,100,100,100,100,100,100,60,60,40,100,70,,,,,40,60,,,,9,7,4,1,0,2,1,10,10,9,1,1,7,6,8,8,3,1,0,,4,7,7,4,7,8,7,1,1,7,,3,1,0,0,3,0,,,,,,,,,,,90,80,,,14,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,75,25,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,90,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,100,0,100,100,100,100,100,100,100,80,90,100,100,100,100,60,30,10,,80,90,8,9,6,5,5,0,1,2,0,0,10,10,10,0,0,9,9,10,10,6,5,10,9,9,9,9,8,9,6,6,6,5,7,,2,5,0,3,2,0,10,10,5,0,6,5,0,5,5,10,80,70,2,,12,8,50,300,7,4,25,15,2,,38,3,2,2,,,,1,1,1,2,213,
1,1,100,0,100,100,100,100,100,100,70,100,100,100,70,100,80,85,25,,,60,40,5,5,5,9,8,1,1,0,0,7,10,9,8,0,2,5,5,9,8,8,3,9,4,,5,5,6,7,9,9,4,5,,,1,0,5,,0,0,10,10,0,0,7,5,2,5,5,5,60,60,,,4,5,50,1,7,4,25,15,2,,52,1,2,6,self-employed,,,4,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,60,60,100,100,50,,,,,,,,,,,,,,,,,,,,,5,10,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,0,7,7,0,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10,50,50,100,100,90,100,90,10,50,10,10,10,100,10,70,20,10,30,10,10,10,,5,,1,10,1,5,1,0,10,9,9,5,9,10,10,1,10,5,1,10,0,5,1,5,1,5,5,10,5,1,10,,5,1,5,1,5,5,5,10,1,1,5,1,9,9,9,5,10,10,1,,3,10,50,3,8,2,1,0,1,,49,3,3,1,,,,7,2,2,2,213,
1,1,90,80,80,90,90,90,90,100,100,100,100,30,20,100,100,98,0,,,50,50,5,5,5,10,5,5,3,0,1,0,10,9,10,1,0,5,5,10,10,5,0,0,10,10,10,10,10,10,10,10,0,10,5,,5,2,0,10,0,1,10,10,5,0,10,10,1,9,5,9,100,100,7,,2,10,50,300,,4,26,20,1,,53,3,3,6,Bussiness owner,,,7,1,1,2,213,
1,1,100,0,100,100,100,70,100,100,100,100,100,70,70,100,70,50,20,30,,30,30,0,8,0,0,0,8,10,3,2,0,10,10,10,0,0,10,8,10,10,3,10,10,0,2,0,6,2,10,3,3,7,6,0,,0,1,0,0,0,0,10,10,3,0,10,10,0,10,10,10,20,70,5,,16,7,50,300,4,4,86,20,2,,26,3,1,1,,,,6,1,1,1,213,
1,1,80,40,50,80,100,60,70,80,70,100,70,100,70,100,100,20,40,40,100,70,60,4,5,4,10,5,5,5,5,5,5,8,10,9,5,4,5,5,5,8,,5,5,8,8,8,7,7,8,8,8,4,4,8,,4,5,0,5,5,3,10,9,6,3,7,9,5,5,5,5,50,50,5,,14,8,50,300,4,4,27,60,,,,,,,,,,,,,,,
