screening,Q109,physical_contact1,physical_contact2,physical_contact3,physical_contact4,physical_contact5,physical_hygiene1,physical_hygiene2,physical_hygiene3,physical_hygiene4,physical_hygiene5,policy_support1,policy_support2,policy_support3,policy_support4,policy_support5,generosity1,generosity2,generosity3,generosity4,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity1,national_identity2,conspiracy_theories1,conspiracy_theories2,conspiracy_theories3,conspiracy_theories4,open-mindedness1,open-mindedness2,open-mindedness3,open-mindedness4,open-mindedness5,open-mindedness6,morality_as_cooperation1,morality_as_cooperation2,morality_as_cooperation3,morality_as_cooperation4,morality_as_cooperation5,morality_as_cooperation6,morality_as_cooperation7,trait_optimism1,trait_optimism2,social_belonging1,social_belonging2,social_belonging3,social_belonging4,trait_self-control1,trait_self-control2,trait_self-control3,trait_self-control4,self_esteem,Q108,narcissism1,narcissism2,narcissism3,narcissism4,narcissism5,narcissism6,moral_identity1,moral_identity2,moral_identity3,moral_identity4,moral_identity5,moral_identity6,moral_identity7,moral_identity8,moral_identity9,moral_identity10,risk_perception1,risk_perception2,political_ideology,moral_circle,moral_circle1,health,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,sex,Other (please specify),age,marital,children,employment,Other (please specify),ladder_instro,ladder_picture,ladder_answer,urban,tested_positive,know_tested_positive,no_bots,Q110
1,1,100,40,80,70,70,100,100,100,70,80,70,70,80,100,100,75,20,5,75,50,60,,,,10,10,1,0,0,0,0,8,8,7,2,2,7,9,8,8,6,4,7,6,4,7,8,4,7,4,6,10,7,4,,4,4,6,6,6,2,9,7,3,0,4,3,3,5,,10,40,60,2,,12,6,25,900,7,8,25,15,2,,32,2,0,1,,,,6,1,1,1,213,
1,1,90,20,80,30,90,50,80,90,,60,70,50,,80,100,,,100,,20,10,0,0,0,,,10,9,7,3,2,10,10,10,0,2,7,6,10,8,6,9,1,8,7,6,7,7,7,9,9,1,2,2,,7,,0,,0,0,10,8,,0,4,7,1,7,7,10,10,20,6,,14,9,50,300,4,4,25,15,1,,29,1,1,6,Self employed,,,6,1,1,1,213,
1,1,100,0,100,100,100,100,100,100,100,100,100,100,30,100,100,85,100,,,50,50,0,5,0,10,10,0,0,0,0,6,10,10,10,0,0,7,7,10,8,5,2,0,5,5,10,5,10,10,5,5,5,1,8,,3,0,5,5,5,3,10,10,5,0,5,5,0,0,0,8,20,80,5,,16,7,50,,,,,,2,,40,3,0,1,,,,3,1,1,1,213,
1,1,100,10,100,80,100,70,70,30,0,80,100,90,100,100,100,70,25,5,,50,20,3,9,,8,7,4,0,3,3,2,10,10,10,0,4,8,3,4,10,6,10,6,7,7,4,10,6,10,6,4,10,5,7,,6,8,7,7,2,0,10,10,6,0,4,,0,7,10,10,70,60,7,,7,8,50,3,4,4,26,20,1,,22,1,0,4,,,,3,1,1,1,213,
1,1,100,0,100,100,100,100,100,100,40,100,100,100,100,100,100,0,100,,,70,90,0,5,0,10,6,0,0,0,0,0,10,10,10,0,0,7,5,6,5,10,5,10,10,5,10,10,10,10,10,9,2,2,10,,0,0,0,0,0,0,9,9,0,0,3,3,5,0,4,6,70,70,4,,14,9,25,3,7,4,26,15,1,,23,2,0,4,,,,1,1,1,1,213,
1,1,90,30,90,100,100,70,90,90,40,80,70,90,40,90,60,50,50,,,60,70,6,,4,7,6,0,1,0,0,3,9,9,9,2,1,4,7,,7,4,8,9,,7,6,6,7,7,7,6,6,7,,,6,,6,4,4,6,8,8,7,0,4,3,3,7,6,8,20,30,4,,11,8,25,3,7,4,25,15,2,,32,1,0,2,,,,3,1,1,1,213,
1,1,100,0,100,100,100,90,90,100,100,90,80,100,100,100,100,85,15,,,60,70,8,5,2,10,9,2,0,0,0,1,9,10,8,0,0,8,5,8,9,8,5,7,9,9,9,10,10,10,8,7,9,8,7,,7,7,1,6,5,1,10,10,7,0,7,,0,5,7,10,90,80,4,,10,10,25,300,7,4,25,15,2,,30,3,1,4,,,,1,1,1,1,213,
1,1,100,10,100,100,100,80,80,90,90,60,80,100,30,100,100,0,70,30,100,60,50,0,0,0,2,0,0,0,0,0,3,9,9,9,0,,7,7,7,7,2,8,8,7,8,2,2,3,6,9,,,,8,,2,1,1,2,0,6,8,8,0,0,1,0,2,0,7,8,70,90,2,,16,8,50,3,7,4,25,10,1,,37,2,0,1,,,,4,1,1,1,213,
1,1,100,0,100,100,100,100,100,100,100,0,100,100,40,100,100,80,20,0,20,70,80,0,0,0,7,0,0,0,0,0,0,10,10,10,0,5,10,5,10,10,2,6,8,7,7,4,4,7,7,6,10,2,0,7,,6,0,0,10,0,5,10,10,5,0,8,8,0,0,2,10,40,90,2,,3,9,50,300,4,16,25,15,2,,54,2,0,1,,,,1,1,1,1,213,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,70,60,70,80,100,80,100,100,100,100,50,50,30,70,70,67,31,5,,50,50,2,4,5,5,5,7,7,5,6,2,8,9,9,0,3,7,5,9,9,7,7,0,7,8,8,8,8,10,8,8,4,2,7,,3,7,1,7,5,0,9,9,9,2,8,8,2,7,7,10,20,40,,,9,,50,3,4,821,26,20,2,,56,3,3,2,,,,6,2,1,1,213,
