RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,marit_status_other,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
27.04.2020 16:47:48,668,CROATIA,HR,10,9,9,5,9,7,10,10,10,10,10,10,10,10,10,10,50,40,5,5,5,5,5,10,7,5,0,0,5,5,10,10,10,0,5,8,8,5,5,5,5,5,5,7,7,7,5,10,5,6,7,5,6,3,0,0,4,4,5,5,8,0,5,0,5,5,0,5,5,50,50,5,5,3,50,1,4,2,,52,3,,2,1,,7,1,1,1,213,0
27.04.2020 16:49:08,1180,CROATIA,HR,9,9,10,9,10,10,10,10,9,10,10,10,10,10,10,0,0,100,5,5,5,9,9,10,10,5,0,5,5,10,10,10,10,10,8,10,5,5,5,8,8,9,9,9,9,9,9,10,9,9,0,0,5,0,1,0,0,5,1,10,5,5,0,5,5,5,5,5,5,20,30,5,3,5,50,300,4,2,,51,3,,1,1,,7,2,1,1,213,0
27.04.2020 16:54:32,954,CROATIA,HR,10,6,9,10,10,8,10,10,9,1,10,10,10,10,10,20,50,30,6,5,1,2,5,10,7,10,0,8,6,5,10,10,10,0,2,1,10,10,9,10,5,10,10,7,9,8,8,9,10,10,9,5,10,2,5,4,5,6,0,10,6,7,0,3,1,3,9,8,8,50,30,0,3,10,50,900,32,2,,35,3,,2,1,,6,1,1,1,213,0
27.04.2020 16:57:01,945,CROATIA,HR,10,0,10,10,10,0,0,10,5,10,10,5,0,5,10,50,50,0,2,5,5,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,6,6,10,10,5,10,10,10,10,8,10,2,5,8,5,5,2,2,2,8,8,9,8,0,10,6,NA,10,8,7,0,10,5,7,10,25,3,4,1,,47,3,,2,6,,4,1,1,1,213,10
27.04.2020 16:59:02,672,CROATIA,HR,5,3,10,8,9,5,5,10,7,10,7,10,4,10,6,0,100,0,5,5,0,0,0,10,5,1,1,1,1,2,10,10,10,0,5,7,5,10,9,5,6,5,10,9,8,10,8,7,8,10,0,0,10,2,5,1,8,8,3,9,8,5,0,8,5,5,5,9,5,10,10,3,16,10,50,100,8,2,,50,3,,0,1,,3,1,1,1,213,0
27.04.2020 17:33:23,1293,CROATIA,HR,10,1,10,10,10,10,10,10,5,10,10,10,2,5,10,50,30,20,5,3,8,5,10,10,10,10,9,8,10,1,10,10,10,0,1,9,10,10,9,9,1,9,10,10,8,5,8,5,7,10,2,5,9,0,5,8,10,5,5,10,10,5,0,5,10,0,5,1,10,50,50,7,10,2,50,3,7,2,,59,3,,1,1,,6,1,1,1,213,0
27.04.2020 17:49:46,703,CROATIA,HR,2,2,5,8,5,5,5,10,5,10,0,0,0,5,0,90,7,3,5,7,5,5,5,10,7,5,8,9,7,7,8,8,7,1,5,0,9,9,10,9,9,9,6,6,4,5,5,3,1,1,9,9,3,5,6,5,5,6,5,5,7,1,2,5,8,6,6,3,5,20,30,7,4,2,50,3,7,1,,51,3,,2,5,,4,1,1,1,213,0
27.04.2020 17:54:46,2210,CROATIA,HR,10,0,10,10,10,5,5,10,10,8,10,10,10,10,10,50,30,20,10,9,7,7,10,10,10,10,7,10,8,0,10,10,10,0,0,8,10,8,7,6,6,8,10,10,8,9,8,10,7,6,5,5,10,0,0,1,9,0,5,10,10,10,0,7,5,2,5,7,10,40,60,9,16,8,25,3,7,1,,25,3,,0,1,,4,1,1,1,213,0
27.04.2020 17:54:49,1112,CROATIA,HR,10,0,10,10,10,10,10,10,8,10,9,10,10,10,10,50,30,20,3,4,4,5,6,10,7,6,1,3,6,7,10,10,10,0,3,10,7,10,10,5,9,8,10,10,8,10,10,10,8,10,10,6,8,2,10,2,5,7,1,10,8,0,0,3,9,0,0,6,10,30,30,6,14,8,50,9000,4,2,,32,1,,0,1,,7,1,1,1,213,0
27.04.2020 17:56:24,1550,CROATIA,HR,9,0,9,9,10,8,5,10,5,9,9,5,9,7,5,0,71,29,5,7,6,4,6,10,10,10,5,9,9,5,10,7,9,5,9,7,6,7,6,5,7,7,5,5,8,10,8,10,8,5,8,5,6,7,2,5,6,2,5,6,6,8,5,5,4,5,5,7,7,50,70,5,16,8,50,30,4,2,,27,3,,2,3,,7,1,1,1,213,9
