"RecordDate","Duration_sec","Country","Language","physical_contact__1","physical_contact__2","physical_contact__3","physical_contact__4","physical_contact__5","physical_hygiene__1","physical_hygiene__2","physical_hygiene__3","physical_hygiene__4","physical_hygiene__5","policy_support__1","policy_support__2","policy_support__3","policy_support__4","policy_support__5","generosity__1","generosity__2","generosity__3","psych_wellbeing1","psych_wellbeing2","collective_narcis__1","collective_narcis__2","collective_narcis__3","national_identity__1","national_identity__2","Conspiracy_theories__1","Conspiracy_theories__2","Conspiracy_theories__3","Conspiracy_theories__4","open_mindedness__1","open_mindedness__2","open_mindedness__3","open_mindedness__4","open_mindedness__5","open_mindedness__6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging__1","social_belonging__2","social_belonging__3","social_belonging__4","trait_self.control__1","trait_self.control__2","trait_self.control__3","trait_self.control__4","Self.esteem","Narcissism__1","Narcissism__2","Narcissism__3","Narcissism__4","Narcissism__5","Narcissism__6","Moral_ID__1","Moral_ID__2","Moral_ID__3","Moral_ID__4","Moral_ID__5","Moral_ID__6","Moral_ID__7","Moral_ID__8","Moral_ID__9","Moral_ID__10","risk_perception__1","risk_perception__2","political_ideology","moral_circle","health_cond","CRT1","CRT2","CRT3","sex","sex_other","age","marit_status","children","employ_status","employ_status_other","Ladder","urban","tested_positive","know_tested_positive","AttCheck_nobots","AttCheck2"
"2020-05-05 10:46:19","662","USA","EN","5","6","5","5","5","6","7","7","6","9","1","2","1","8","1","80","20","0","8","9","8","8","8","10","10","9","9","9","9","7","6","4","6","3","5","9","9","8","9","8","8","10","9","8","9","9","9","10","7","3","3","4","10","8","7","10","7","7","7","5","5","5","5","5","10","5","5","8","7","20","30","8","1","10","50","300","4","2","","56","3","0","5","","1","2","1","1","213","5"
"2020-05-05 10:46:47","724","USA","EN","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","50","30","20","5","7","5","4","4","10","9","2","2","0","0","2","9","9","9","1","1","5","5","8","7","5","5","9","7","8","7","7","8","9","7","10","4","1","9","4","5","1","5","3","1","9","8","5","1","3","3","1","4","3","9","50","60","3","10","9","50","300","4","2","","66","3","0","1","","3","1","1","1","213","0"
"2020-05-05 10:46:54","724","USA","EN","10","6","10","10","10","8","8","10","10","6","10","9","10","9","9","50","50","0","10","10","10","10","8","10","10","10","10","10","10","3","9","8","8","0","2","9","9","10","9","10","10","7","10","9","9","9","9","9","7","10","8","0","9","1","9","1","10","3","7","10","10","8","0","8","4","0","8","10","10","60","70","10","1","9","5010","100","2","2","","37","3","0","1","","1","1","1","1","213","8"
"2020-05-05 10:47:44","777","USA","EN","9","7","9","7","9","8","8","9","7","8","9","7","8","8","8","34","34","32","8","7","8","9","9","7","8","8","7","9","8","8","7","9","8","9","8","7","8","6","7","9","7","8","7","9","7","6","9","8","7","9","8","9","8","7","9","7","8","9","8","7","8","7","9","7","7","8","7","8","8","70","90","7","7","8","143","232","32","1","","33","3","2","1","","4","1","1","1","213","8"
"2020-05-05 10:47:56","819","USA","EN","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","0","100","0","7","7","5","5","5","10","10","0","0","0","0","0","10","10","10","0","0","0","8","10","10","10","1","3","5","7","5","4","8","9","5","10","7","0","3","1","10","0","10","6","0","10","10","10","0","9","9","0","10","10","10","10","10","5","10","9","50","1","4","2","","71","1","0","5","","6","2","1","1","213","0"
"2020-05-05 10:48:22","242","USA","EN","6","5","4","5","5","5","2","5","5","5","5","5","5","5","5","100","0","0","5","6","5","5","5","6","5","5","5","5","5","5","5","6","4","5","5","5","5","5","5","5","6","5","5","5","6","5","5","5","4","5","5","5","5","5","5","4","5","6","6","4","5","5","5","","5","6","5","5","5","50","50","5","7","6","","","","2","","20","1","0","2","","6","1","1","1","214","5"
"2020-05-05 10:48:46","798","USA","EN","10","1","9","10","10","10","10","10","10","10","10","10","10","10","10","0","60","40","2","0","2","2","2","3","1","0","0","0","0","7","7","7","7","2","6","9","8","8","8","2","8","8","0","0","0","0","1","4","7","3","9","8","0","1","1","1","0","1","1","6","6","1","0","3","2","2","2","3","7","30","30","0","12","8","25","3","7","1","","58","1","0","1","","8","1","1","1","213","0"
"2020-05-05 10:49:55","918","USA","EN","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","50","40","10","4","4","9","8","8","10","10","5","0","0","0","2","10","10","10","0","10","9","10","10","10","10","2","8","9","9","9","7","6","8","10","10","9","0","9","2","6","0","8","0","0","10","10","3","0","10","9","1","8","8","10","80","80","5","16","10","50","300","4","2","","81","1","1","5","","6","1","1","1","213","4"
"2020-05-05 10:50:20","308","USA","EN","8","8","9","9","8","10","10","10","9","3","8","8","3","7","8","50","20","30","9","8","8","8","9","8","3","2","0","0","3","2","2","3","8","1","2","8","8","8","10","9","8","8","10","8","8","7","7","8","9","8","10","9","8","8","8","8","7","8","9","8","9","10","10","8","8","8","8","3","7","80","90","9","7","8","50","300","16","2","","24","2","0","4","","3","1","1","1","213","7"
"2020-05-05 10:50:36","898","USA","EN","10","3","8","10","10","9","9","9","8","4","6","7","8","4","9","50","20","30","6","7","6","9","9","5","8","8","8","2","2","6","9","9","10","0","1","7","8","8","10","8","4","3","10","10","6","3","10","8","7","10","7","9","9","7","8","9","4","4","3","8","8","8","9","10","10","4","7","1","3","60","90","8","4","6","50 cents","15 minutes","4 hours","2","","37","3","1","1","","7","1","1","2","213","0"
