sex;age;children;education;household_size;marital_RO;physical_contact1;physical_contact2;physical_contact3;physical_contact4;physical_contact5;physical_hygiene1;physical_hygiene2;physical_hygiene3;physical_hygiene4;physical_hygiene5;policy_support1;policy_support2;policy_support3;policy_support4;policy_support5;generosity1;generosity2;generosity3;psych_wellbeing1;psych_wellbeing2;collective_narcis1;collective_narcis2;collective_narcis3;national_identity1;national_identity2;conspiracy_theories1;conspiracy_theories2;conspiracy_theories3;conspiracy_theories4;open_mindness1;open_mindness2;open_mindness3;open_mindness4;open_mindness5;open_mindness6;morality_as_cooperat1;morality_as_cooperat2;morality_as_cooperat3;morality_as_cooperat4;morality_as_cooperat5;morality_as_cooperat6;morality_as_cooperat7;trait_optimism1;trait_optimism2;social_belonging1;social_belonging2;social_belonging3;social_belonging4;trait_self_control1;trait_self_control2;trait_self_control3;trait_self_control4;self_esteem;narcissism1;narcissism2;narcissism3;narcissism4;narcissism5;narcissism6;moral_identity1;moral_identity2;moral_identity3;moral_identity4;moral_identity5;moral_identity6;moral_identity7;moral_identity8;moral_identity9;moral_identity10;risk_perception1;risk_perception2;political_ideology;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;moral_circle1;health;employment;employment_other;ladder_answer;urban;tested_positive;know_tested_positive;marital
2;20;0;5;2;3;100;0;100;100;100;100;100;100;100;83;100;74;96;50;50;30;70;70;9;9;8;7;9;7;8;9;10;8;9;8;7;7;8;8;8;7;8;9;9;9;4;3;8;9;9;8;2;5;6;10;10;6;9;8;9;8;9;2;7;10;5;8;8;8;8;7;8;5;8;7;57;6;100;150;48;8;15;150;1;10;1; ;1;2;2;1;3
1;43;1;7;3;3;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;150;20;0;5;5;5;5;5;10;10;10;10;10;10;5;10;10;10;5;5;10;5;5;10;10;5;5;10;10;10;10;5;10;5;8;5;7;10;5;5;7;8;7;0;10;10;10;0;10;5;0;10;10;10;0;100;5;100;5;24;4;15;15;16;9;1; ;4;1;1;2;3
2;22;0;7;2;2;100;0;76;41;100;100;100;100;84;100;87;85;51;87;100;100;50;20;4;3;6;5;5;10;7;2;0;0;3;0;10;10;9;0;0;6;7;8;5;7;2;0;6;7;6;5;7;5;5;7;10;3;4;4;7;4;0;6;0;8;10;8;0;3;3;0;6;2;9;86;74;3;100;120;1;4;30;10;10;8;6;Somaj tehnic;5;1;1;1;2
2;24;0;5;2;2;94;100;46;83;61;0;25;67;8;47;0;45;18;48;70;70;60;40;5;7;3;4;4;7;5;10;6;7;5;0;10;10;10;0;0;6;6;8;8;5;8;0;9;4;2;5;7;7;6;6;10;5;5;2;0;4;2;2;5;8;3;3;1;4;0;5;1;0;9;1;55;0;100;100;24;4;15;20;1;10;3; ;5;1;1;2;2
2;51;0;5;1;5;93;8;91;95;99;98;98;91;78;90;96;88;92;93;91;150;20;0;2;3;9;8;6;9;9;6;6;6;6;7;8;8;8;2;6;8;6;9;9;8;8;8;7;8;6;7;7;8;7;8;8;7;7;7;6;6;7;6;3;9;8;4;4;4;6;4;3;6;9;4;87;5;100;100;24;16;30;20;1;8;1; ;4;1;1;1;1
1;48;0;7;1;5;100;0;100;100;100;100;100;100;100;100;49;100;0;73;0;0;100;70;0;5;6;5;6;10;10;10;10;10;10;6;10;10;4;0;0;10;6;10;10;6;5;5;10;10;5;5;5;10;0;10;6;5;10;6;0;5;5;5;0;6;6;0;0;4;5;10;0;5;0;46;55;5;100;5;47;4;30;15;15;5;1; ;5;1;1;1;1
2;63;0;7;3;1;70;6;58;59;66;70;74;66;54;92;54;69;18;57;13;130;20;20;3;6;5;5;5;6;5;7;7;7;7;7;7;7;5;2;5;7;4;7;7;6;7;4;7;7;6;6;5;5;6;7;5;2;7;5;5;6;5;5;4;7;6;6;4;7;7;2;5;6;9;53;55;5;100;100;1;8;15;0;1;6;1; ;5;1;2;2;1
2;65;0;5;2;3;96;3;98;95;97;100;96;100;100;100;100;100;100;100;100;0;100;70;8;9;10;10;10;10;10;5;6;5;5;0;10;10;10;0;0;10;10;10;10;10;6;0;10;10;10;10;10;10;10;10;0;0;10;5;7;0;10;7;0;10;10;10;0;10;10;0;4;0;10;2;43;5;105;20;47;4;16;20;2;9;5; ;5;1;1;1;3
2;51;0;7;2;3;94;54;100;93;100;100;88;100;100;52;96;100;100;83;97;50;60;60;8;5;5;5;10;10;10;5;5;5;5;1;0;3;5;1;0;10;10;10;10;10;3;10;5;5;1;1;3;5;5;6;7;1;1;5;5;4;3;3;2;10;10;8;5;6;6;5;1;6;7;23;51;5;100;5;24;8;1;20;1;5;2; ;4;1;1;1;3
2;43;1;7;3;3;40;20;37;54;50;74;68;85;77;92;77;77;78;69;85;0;170;0;6;3;7;7;8;9;7;7;6;8;9;6;4;6;6;6;7;7;7;7;6;7;7;7;7;8;6;6;6;8;6;6;7;4;5;6;7;7;7;5;3;7;7;6;7;7;7;6;7;7;7;2;18;5;100;100;24;4;15;1;2;6;1; ;5;1;1;1;3
1;46;2;7;4;3;100;0;100;100;95;100;100;99;100;100;100;100;98;100;98;0;170;0;1;5;1;5;9;10;7;3;0;0;1;1;10;10;10;0;0;10;10;10;10;10;0;0;10;5;10;7;10;10;10;10;0;0;8;0;0;0;0;0;0;10;10;5;0;6;0;0;0;9;10;0;100;10;100;100;24;4;30;18;16;7;1; ;5;1;1;1;3
1;57;0;7;4;3;100;0;100;100;100;94;99;95;65;1;75;75;15;90;90;153;17;0;2;3;5;5;5;7;5;1;0;0;0;2;8;9;7;1;1;5;5;9;8;8;7;1;6;6;6;7;8;7;8;8;3;3;6;3;2;2;2;6;1;9;6;7;1;3;8;2;7;7;9;30;20;7;105;5;24;4;15;15;12;4;1; ;8;1;1;1;3
1;50;1;5;4;3;93;1;98;94;98;100;100;100;97;0;100;99;100;100;100;0;85;85;8;6;7;9;6;7;7;9;9;10;9;4;10;9;10;8;6;9;9;10;10;10;9;2;8;10;9;9;9;10;8;8;4;2;6;7;7;7;8;4;3;7;8;9;6;6;7;3;6;6;9;42;68;7;10;100;24;8;15;20;1;6;5; ;2;2;1;1;3
2;28;0;7;3;1;64;64;12;89;88;100;100;92;0;100;100;100;100;100;100;150;20;0;10;4;5;0;0;5;0;5;5;5;5;2;10;10;0;0;0;5;5;10;10;0;5;5;5;10;0;0;1;1;2;6;7;8;2;0;0;9;0;0;5;10;8;5;0;2;5;0;5;7;10;0;20;10;105;5;47;4;29;15;3;4;1; ;6;1;2;1;1
2;21;0;5;5;1;97;6;100;100;80;93;47;81;46;82;96;51;77;59;65;100;50;20;9;8;6;5;7;8;6;9;5;7;6;8;6;8;4;8;5;8;6;6;7;4;5;4;7;7;5;8;4;5;7;4;8;5;6;8;6;8;5;3;8;7;6;3;8;4;5;2;7;5;4;71;49;5;101;50;24;2;30;25;12;7;4; ;5;1;1;1;1
2;30;0;4;2;1;100;0;0;100;0;100;100;100;51;100;100;100;100;100;100;0;90;80;10;8;5;5;6;5;4;0;0;0;0;0;10;10;4;0;0;8;8;8;8;8;8;9;8;6;7;4;2;10;5;7;5;7;5;0;0;0;0;0;0;10;10;5;0;10;5;0;0;10;10;0;48;5;101;100;58;6;15;30;16;7;6;Casnicã;0;1;1;1;1
2;24;1;5;5;5;100;0;100;0;100;97;100;100;100;67;0;75;57;100;100;70;100;0;0;2;1;3;2;10;10;6;6;7;6;2;10;10;10;0;0;9;9;10;10;10;5;10;10;5;10;5;6;10;6;9;5;0;2;6;4;5;3;5;2;5;6;4;0;6;5;6;6;6;6;33;93;5;100;100;24;4;15;20;1;10;2; ;3;2;1;1;1
2;41;0;7;1;1;100;95;100;95;100;50;50;100;60;0;100;100;100;100;100;150;10;10;0;2;0;0;0;10;10;0;0;0;0;0;10;10;10;0;0;10;3;9;3;10;6;10;2;5;3;3;3;3;5;5;5;0;3;6;0;3;0;0;3;10;10;5;0;6;5;0;0;3;5;50;50;10;105;5;47;4;29;15;4;8;3; ;7;1;1;1;1
2;48;0;7;3;5;2;3;70;96;99;99;99;99;100;100;50;27;16;21;11;20;150;0;3;6;4;7;6;10;9;5;8;8;6;1;10;9;6;2;6;10;8;10;9;7;7;8;6;6;8;6;6;10;6;7;8;1;5;7;5;3;3;7;1;6;5;3;3;9;5;7;5;4;6;36;50;5;105;100;47;4;15;15;16;6;1; ;5;2;2;2;1
1;34;0;7;2;3;98;13;95;92;92;89;93;86;91;95;89;88;89;84;87;70;50;50;8;7;4;4;7;4;3;6;7;7;8;4;8;8;8;1;4;2;7;4;9;6;3;7;8;8;3;2;2;0;8;9;6;9;6;1;2;2;9;1;7;2;2;6;9;4;6;7;2;2;8;12;1;5;100;150;24;8;15;30;1;5;1; ;5;1;1;1;3
2;39;0;5;3;1;100;25;100;100;100;19;25;32;6;67;77;66;40;47;49;160;10;0;3;5;0;3;5;10;10;10;4;10;3;3;9;7;5;0;0;8;6;10;8;9;4;2;4;7;3;3;5;10;4;7;5;1;4;9;0;3;3;4;4;5;3;0;2;4;4;4;1;1;5;0;63;5;100;100;24;8;15;10;16;10;1; ;1;1;1;1;1
1;54;0;7;3;3;100;0;98;100;100;100;100;100;100;89;100;100;100;100;100;120;50;0;8;5;0;2;5;10;8;0;0;0;0;0;10;10;10;0;1;5;7;7;8;10;5;9;9;8;8;7;7;10;8;10;1;5;7;6;6;7;6;6;0;10;6;5;0;6;6;0;5;6;9;50;15;4;105;5;47;4;29;15;12;8;5; ;6;2;1;1;3
1;40;0;7;3;1;100;0;99;96;100;100;100;100;59;100;59;89;4;96;87;50;60;60;6;7;9;9;9;10;9;5;4;5;5;1;9;9;9;1;1;10;8;9;9;9;1;0;6;8;5;4;4;9;1;0;9;7;9;9;5;6;8;7;1;9;5;5;0;5;5;0;5;5;9;8;93;5;100;100;24;4;1;20;8;10;4; ;5;1;1;1;1
1;40;2;7;4;3;70;14;32;60;73;88;84;81;71;60;62;72;54;61;55;50;100;20;3;4;4;6;7;10;10;9;7;8;3;2;9;9;8;0;1;10;10;9;9;3;3;1;7;8;6;7;8;8;4;8;3;3;6;3;4;3;4;4;2;8;8;6;0;8;6;0;8;8;7;25;75;7;105;100;24;4;15;15;2;6;1; ;6;1;1;1;3
1;31;0;7;1;1;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;110;50;10;10;8;9;9;9;10;10;7;7;8;5;1;10;10;10;0;0;8;6;5;7;9;8;10;8;8;9;8;8;8;10;8;1;0;6;0;0;0;6;0;0;7;6;6;0;6;6;0;5;6;5;22;59;5;10;5;24;4;30;10;1;8;1; ;3;1;2;1;1
1;62;0;6;1;5;100;0;100;100;100;100;90;100;75;75;100;100;100;100;100;100;50;20;8;8;5;5;6;5;6;7;2;5;4;0;10;10;9;1;0;8;9;10;9;8;8;10;7;8;7;7;7;8;9;9;3;7;7;3;2;4;5;5;3;10;9;6;0;7;8;0;5;5;10;33;50;7;100;5;47;4;30;20;5;8;5; ;6;1;2;1;1
1;55;0;7;2;1;97;0;100;88;100;100;100;100;50;79;100;100;100;100;100;70;50;50;2;5;0;5;5;10;10;0;0;0;0;5;10;10;10;0;5;8;5;10;9;5;9;10;3;3;2;2;3;2;7;4;9;10;1;2;1;7;1;1;3;10;7;1;0;2;2;0;2;0;10;90;95;0;105;5;24;4;31;15;16;3;1; ;5;1;1;1;1
2;21;0;7;1;2;88;69;71;100;100;92;100;100;85;93;100;78;80;69;95;80;30;60;4;5;7;5;6;7;7;4;6;5;5;6;6;6;5;7;5;5;7;8;8;7;5;6;6;5;6;6;0;7;6;7;6;6;6;4;7;8;8;7;7;7;7;7;9;5;6;4;1;0;9;44;66;2;10;5;0;4;31;20;1;5;1; ;5;1;1;1;2
1;21;0;5;5;1;100;0;91;100;96;46;54;54;14;50;80;90;90;90;70;100;40;30;7;6;5;5;6;8;6;3;3;3;2;3;8;8;7;0;2;3;5;9;7;5;6;7;5;7;5;5;6;4;4;5;5;6;7;4;5;5;5;6;3;6;7;7;2;7;7;3;5;6;5;52;55;6;90;5;47;4;30;30;3;7;4; ;6;1;1;2;1
1;37;0;2;3;1;100;100;0;93;68;100;100;100;100;76;12;75;66;38;54;10;90;70;9;5;6;6;9;6;5;7;7;7;7;7;8;6;9;9;7;7;6;7;7;3;6;6;6;7;6;5;6;6;6;6;5;7;5;6;6;6;7;7;3;5;5;6;8;9;9;4;5;6;5;54;46;0;10;50;48;4;15;60;5;10;5; ;5;2;1;1;1
2;52;0;7;3;5;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;50;90;30;5;8;0;5;8;10;10;3;0;0;0;0;10;10;10;0;0;10;10;10;10;10;10;10;10;10;7;7;8;10;8;10;5;2;10;5;0;2;0;0;0;10;10;10;0;10;7;0;0;5;10;50;50;5;10;100;24;8;30;20;6;4;1; ;2;1;1;2;1
2;30;0;7;3;1;100;20;100;60;100;100;100;100;100;100;100;100;40;52;100;20;100;50;5;4;5;7;3;6;5;5;1;5;8;5;8;9;5;0;3;7;8;10;10;7;10;8;0;2;5;4;5;9;7;7;6;2;9;3;7;3;5;4;3;8;10;3;0;5;5;0;5;5;5;50;43;5;11;100;24;4;1;20;1;5;1; ;3;1;1;2;1
1;32;0;7;1;1;100;0;26;100;100;100;79;72;87;100;50;58;58;63;60;0;170;0;5;4;0;0;0;0;4;2;2;2;2;0;0;1;1;1;1;5;5;5;4;4;4;4;6;7;2;7;8;3;3;3;7;6;6;3;4;5;5;6;6;6;7;7;2;7;4;6;4;6;6;100;68;5;105;100;47;4;29;15;1;7;1; ;6;1;1;1;1
2;20;1;5;3;3;92;62;68;63;100;24;10;82;75;96;92;98;99;99;99;100;35;35;4;6;0;5;7;10;7;10;10;10;10;2;8;7;7;0;0;10;10;10;10;10;5;3;6;7;7;6;6;6;10;7;10;2;1;0;2;0;0;0;0;6;6;2;0;6;0;2;6;6;7;3;79;3;100;100;1;4;1;20;16;3;4; ;3;1;1;1;3
2;47;1;7;2;1;92;22;93;75;100;98;100;100;100;85;96;98;89;100;100;70;70;30;7;4;5;3;5;9;10;9;7;9;10;0;10;10;10;0;0;2;1;10;10;6;5;10;8;9;7;8;10;10;5;8;5;2;9;2;5;1;8;7;1;10;10;9;0;9;2;2;5;7;9;16;50;5;100;5;24;4;15;20;1;8;6;liber profesionist;6;1;1;2;1
2;28;0;7;2;2;100;0;100;96;100;100;100;100;97;100;100;100;80;100;100;150;20;0;5;4;9;10;7;10;7;5;7;7;8;0;10;10;10;0;0;10;7;10;10;7;10;10;5;7;5;5;10;8;2;9;10;9;7;8;5;5;6;7;7;9;8;6;1;5;7;0;0;0;10;73;85;5;100;5;47;4;30;0;16;10;1; ;5;1;1;1;2
1;52;1;7;3;3;100;0;100;100;100;99;98;100;80;100;100;100;100;100;100;70;100;0;5;5;5;5;5;10;10;8;5;7;7;2;9;8;8;0;0;5;8;8;8;8;5;5;7;7;8;8;8;8;3;6;7;5;5;6;5;2;5;5;4;8;8;5;0;6;6;0;6;7;8;50;50;7;100;5;47;4;29;15;16;7;1; ;5;1;1;1;3
1;56;0;5;4;3;50;65;60;11;93;94;61;86;62;95;51;82;20;87;78;100;40;30;5;5;5;7;8;10;5;10;10;10;10;5;9;10;8;1;3;9;10;10;10;9;9;10;5;5;7;8;9;10;5;7;7;0;8;6;7;5;5;7;2;10;7;8;1;9;8;1;8;8;10;12;18;5;100;100;24;4;15;20;16;6;3; ;5;1;1;1;3
1;56;0;7;4;3;100;0;100;100;100;38;50;96;43;50;86;100;50;100;100;70;90;10;5;5;0;0;0;2;2;0;2;3;3;10;10;10;10;0;0;10;5;10;8;10;6;9;5;9;7;9;9;5;10;9;2;0;5;1;1;1;7;5;0;2;5;0;0;0;0;5;0;0;0;50;50;5;100;100;24;8;30;20;1;10;3; ;4;1;1;1;3
2;34;0;7;2;3;100;0;100;86;100;100;4;100;100;91;100;91;38;61;100;70;70;30;7;6;0;8;10;10;9;0;0;0;0;9;10;10;5;0;8;10;10;10;10;10;3;0;5;5;6;8;8;10;10;8;5;8;7;7;5;3;7;7;0;9;9;4;0;7;9;7;9;8;10;33;65;5;100;100;0;4;30;24;1;9;2; ;5;1;1;1;3
1;51;1;5;6;3;98;0;94;95;100;98;100;100;96;94;100;100;97;100;96;0;120;50;9;8;0;9;8;10;10;0;1;0;0;0;10;10;10;0;0;10;10;10;9;10;10;10;10;10;10;10;9;8;10;9;9;0;9;5;5;2;10;8;0;10;8;8;0;6;5;7;10;1;7;0;27;5;100;5;24;4;16;20;10;10;1; ;2;1;1;1;3
1;20;0;5;3;1;90;20;90;100;100;100;100;100;57;100;86;100;75;100;100;140;20;10;4;8;0;0;0;10;2;1;0;1;0;1;10;9;10;0;0;8;7;10;8;10;5;10;6;6;7;9;10;10;10;8;4;8;7;5;2;0;6;6;0;8;5;3;0;5;5;6;5;3;5;40;60;6;105;5;47;4;30;15;5;9;4; ;7;1;1;1;1
1;45;0;7;1;1;100;0;88;72;100;100;96;90;26;87;99;100;10;93;95;0;120;50;2;7;0;0;6;8;2;0;1;1;4;3;9;10;8;1;3;8;7;10;9;4;6;1;9;10;7;8;8;8;6;10;9;3;9;9;8;6;8;6;1;9;9;6;1;7;9;0;9;10;9;75;100;9;100;5;47;4;15;15;9;9;1; ;7;1;1;2;1
1;48;1;5;5;3;91;10;100;100;90;100;100;100;50;80;100;50;50;100;100;0;170;0;5;6;5;2;5;10;10;5;5;6;5;0;10;10;10;0;0;8;7;10;7;2;9;5;7;9;7;6;8;10;9;10;0;0;9;5;3;2;8;7;0;7;6;3;2;7;6;4;2;8;9;1;7;8;100;5;47;4;29;15;8;9;1; ;5;2;1;1;3
2;43;2;5;5;3;97;9;95;95;100;99;100;100;86;100;92;100;100;100;100;100;50;20;10;9;9;9;5;10;10;3;2;1;0;0;10;9;10;0;0;10;9;10;10;5;5;5;9;10;9;5;7;9;7;8;5;6;6;5;5;0;7;2;0;10;10;8;0;8;9;0;8;8;9;15;36;5;105;5;47;4;29;15;10;8;1; ;5;2;1;1;3
1;49;0;7;4;3;100;0;100;100;100;100;100;100;90;100;100;100;100;100;100;100;50;20;9;8;9;8;9;10;10;2;2;2;2;4;10;9;10;0;0;10;9;10;10;8;6;4;9;10;8;10;10;10;10;10;6;0;10;0;5;5;8;8;3;10;10;8;0;8;5;0;5;5;10;50;100;0;100;5;47;4;29;15;5;8;1; ;3;1;1;1;3
2;34;0;7;2;3;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;170;0;7;6;7;5;5;10;10;0;0;0;0;0;10;10;10;0;0;8;8;10;10;10;7;10;10;10;10;10;10;10;7;8;7;3;10;5;5;2;5;5;4;10;10;8;0;10;10;0;10;10;10;30;65;10;105;5;47;4;31;10;16;8;1; ;6;1;2;1;3
2;25;1;7;3;3;100;0;72;65;67;73;66;65;64;52;69;65;86;77;94;70;50;50;4;5;2;3;5;10;10;7;6;6;6;4;8;5;5;1;5;10;4;4;5;5;5;5;10;10;8;5;5;5;5;7;5;5;9;1;1;2;2;3;1;5;5;5;0;8;6;2;7;7;6;61;58;6;100;100;24;4;30;15;1;7;6;Maternitate;5;1;1;1;3
2;38;1;5;5;5;9;2;35;88;75;92;60;77;57;82;11;36;33;69;58;30;70;70;1;3;4;3;4;5;1;9;10;10;10;5;9;9;9;0;0;10;4;10;10;5;5;5;5;6;5;5;4;8;10;7;7;3;4;3;2;2;2;3;0;3;6;2;1;2;1;1;1;1;1;48;15;5;100;100;24;4;15;20;16;3;1; ;5;1;1;1;1
2;20;2;7;3;1;99;35;98;95;99;98;99;97;97;2;98;97;99;100;100;20;90;60;10;4;10;10;10;10;9;10;10;10;10;2;10;10;10;9;2;9;9;10;9;7;9;2;9;9;9;9;9;8;9;9;9;10;6;10;9;9;9;9;9;9;9;9;2;9;9;1;8;9;9;74;95;9;70;100;24;6;30;10;14;8;1; ;5;1;2;2;1
1;37;1;5;3;3;100;100;100;100;100;90;100;100;92;100;100;100;100;100;85;50;60;60;6;5;5;7;8;10;10;10;0;4;5;5;6;6;6;6;0;6;8;6;10;6;7;4;9;8;7;2;7;7;6;7;2;0;10;6;1;2;6;10;0;5;5;4;5;7;7;2;3;4;3;21;76;10;100;100;20;8;30;20;1;6;1; ;2;1;1;1;3
2;43;3;7;8;3;100;0;100;100;100;100;100;100;100;100;100;100;77;100;100;100;70;0;6;9;10;10;10;10;10;10;10;10;10;8;10;10;9;0;0;10;10;10;10;9;10;10;8;6;10;10;10;10;10;10;1;0;10;9;10;10;10;10;1;10;10;10;0;10;9;0;10;10;10;0;10;3;110;5;24;4;16;15;16;9;3; ;3;1;2;1;3
2;67;0;6;3;3;79;8;87;81;93;15;11;100;13;95;38;25;10;100;58;70;70;30;3;3;5;7;4;10;8;0;0;0;0;4;10;10;10;0;0;10;10;10;10;9;10;10;8;8;9;9;10;10;8;9;7;7;9;6;4;0;8;6;4;10;9;9;0;7;7;2;1;7;8;52;43;8;105;5;47;4;29;15;16;9;5; ;1;1;1;1;3
1;61;0;7;2;3;90;80;65;90;99;100;100;95;15;50;100;100;33;100;80;110;50;10;7;6;5;5;7;7;5;9;2;8;5;2;10;9;9;1;2;9;7;10;9;8;9;7;8;7;7;8;9;8;7;7;8;4;7;8;1;5;3;5;1;9;7;6;1;6;5;1;6;7;8;50;55;6;105;5;47;4;29;15;5;6;1; ;6;1;1;1;3
1;38;1;7;3;3;49;46;73;51;92;78;87;97;51;0;0;0;0;100;50;170;0;0;5;8;0;0;0;0;0;0;0;0;0;4;8;8;8;1;3;6;8;10;10;9;4;7;8;10;4;7;8;5;2;4;8;7;7;8;6;9;8;2;0;10;7;6;0;2;0;0;0;5;10;83;100;7;105;5;47;4;29;15;1;8;1; ;5;1;1;1;3
2;30;0;7;3;1;100;0;100;76;100;100;100;100;100;100;100;100;4;90;48;100;70;0;5;5;7;9;10;5;5;8;9;9;9;3;9;1;1;0;1;8;9;10;9;4;5;10;4;4;4;3;4;5;5;6;7;4;5;5;3;1;2;1;1;10;10;5;0;6;5;4;4;4;10;70;82;5;100;5;24;4;15;15;14;5;1; ;5;1;1;1;1
1;56;0;6;3;3;54;0;50;99;100;100;100;100;100;99;92;100;53;100;91;50;110;10;2;3;10;9;9;10;10;9;10;10;10;2;10;10;10;1;4;10;5;10;10;8;5;9;9;9;8;9;9;10;7;8;7;2;5;5;2;1;6;5;0;10;8;8;0;8;8;9;8;7;10;0;23;5;10;5;24;4;15;20;16;8;1; ;5;1;1;1;3
2;22;0;7;2;2;100;21;100;90;100;100;100;100;100;76;100;100;78;100;100;150;10;10;5;7;0;2;1;0;0;0;0;3;0;4;10;7;8;1;0;5;5;6;4;5;5;9;5;7;0;1;9;7;6;4;7;8;8;8;3;5;4;3;4;6;9;7;0;10;8;0;8;10;10;84;86;5;100;5;24;8;30;34;16;9;4; ;4;1;1;1;2
1;45;1;7;4;3;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;10;80;80;10;10;9;3;3;10;9;1;1;1;1;9;9;9;9;2;2;10;10;10;9;9;9;1;9;10;9;9;8;9;8;7;8;4;9;6;6;3;7;4;2;9;9;6;1;8;8;1;7;10;6;5;75;10;100;5;24;8;30;20;16;9;1; ;6;2;1;2;3
1;29;0;7;3;2;50;0;85;97;100;100;90;100;100;100;50;0;0;0;0;120;50;0;7;6;10;10;10;10;10;3;7;3;0;2;10;10;7;0;2;8;6;10;10;6;5;8;10;10;5;3;8;10;8;10;3;1;9;2;3;7;8;8;1;10;6;6;3;6;5;0;9;9;10;1;5;10;100;5;24;4;1;20;6;10;1; ;5;1;1;1;2
2;23;0;5;2;2;92;100;100;100;100;100;100;100;52;82;94;93;68;100;77;170;0;0;8;7;7;8;6;6;6;9;0;0;0;5;9;9;9;0;0;2;3;9;7;7;2;3;6;7;3;4;4;8;9;9;7;8;3;0;0;0;0;7;0;8;6;2;0;2;1;8;2;1;8;30;50;8;105;5;47;4;29;15;16;7;1; ;3;1;1;1;2
2;60;0;7;2;3;100;0;100;100;100;100;98;100;20;70;63;100;100;100;100;120;25;25;9;7;10;10;8;10;10;8;8;8;7;8;10;10;7;0;0;6;9;10;10;10;6;0;6;7;7;5;6;10;7;9;9;0;8;8;7;6;8;8;0;10;7;7;0;9;9;0;7;8;9;58;78;6;100;5;24;4;1;0;6;8;1; ;6;1;1;1;3
2;38;0;3;3;1;100;0;100;100;100;100;100;100;100;46;0;0;13;0;0;120;30;20;8;7;10;10;10;10;10;5;5;6;6;5;1;0;0;0;0;9;7;10;10;10;10;10;5;5;5;6;5;10;5;5;5;5;5;8;6;10;7;7;3;6;8;10;7;8;10;4;4;5;8;13;71;3;10;5;3;4;10;30;1;7;5; ;6;1;1;1;1
2;60;0;7;3;3;100;0;100;100;100;100;100;100;100;100;100;100;80;100;100;50;60;60;5;5;10;10;5;10;10;5;5;5;5;0;10;10;10;0;0;10;5;10;10;10;0;0;10;10;10;5;5;10;0;10;0;0;0;0;0;0;0;0;0;10;5;0;0;5;5;6;5;5;10;50;50;8;100;5;47;8;15;20;9;9;1; ;7;1;1;1;3
1;64;0;7;2;3;100;0;100;100;100;50;100;100;50;50;100;100;0;100;100;170;0;0;5;3;10;10;10;10;10;10;10;10;10;0;10;10;10;0;5;10;10;10;10;10;5;0;10;10;5;5;10;10;10;10;5;5;5;5;5;0;10;5;0;10;10;0;0;10;0;0;0;5;10;0;50;5;105;100;23;8;30;20;16;5;5; ;5;1;1;1;3
1;29;1;7;4;3;100;70;100;85;100;100;83;100;88;74;100;100;72;100;100;110;30;30;7;5;5;5;5;10;10;8;5;5;5;0;10;10;10;0;0;8;5;8;7;8;8;8;5;7;7;7;6;9;6;6;7;5;5;5;2;1;5;3;0;5;8;7;1;8;7;2;5;7;5;80;100;5;105;5;24;4;29;15;1;8;1; ;5;1;1;1;3
2;65;0;7;2;3;83;3;89;95;97;96;98;97;92;92;92;95;96;96;95;0;130;40;9;8;10;10;10;10;10;10;8;8;7;4;10;10;9;0;9;10;10;10;10;10;4;10;10;10;10;10;10;10;10;10;6;10;10;1;1;0;0;1;0;8;8;6;0;5;10;10;0;0;8;0;5;10;100;5;24;4;15;20;16;10;6;administrator firma;7;1;1;1;3
1;56;0;5;2;3;100;0;100;100;100;100;0;100;100;0;100;100;100;100;100;40;100;30;5;3;3;8;10;10;10;5;5;5;5;0;0;0;0;0;0;8;10;10;1;10;10;10;10;10;8;8;8;10;10;10;10;1;10;0;0;0;0;1;0;10;10;0;0;10;0;10;5;5;10;0;0;5;105;100;47;4;30;0;16;3;5; ;1;2;1;1;3
1;29;1;7;3;3;70;0;86;86;100;100;100;100;100;100;81;100;68;89;100;50;100;20;6;8;3;4;7;7;7;10;10;10;10;3;10;10;8;0;0;10;7;10;10;10;2;1;10;5;8;7;6;9;9;10;5;0;8;7;5;2;8;8;4;8;10;7;2;10;8;1;7;9;10;51;50;0;100;5;24;4;1;20;1;9;1; ;5;1;1;1;3
1;28;0;7;3;1;100;0;100;50;100;0;0;100;0;0;0;0;0;0;0;70;50;50;5;5;0;0;0;10;0;5;5;5;5;0;10;10;10;0;0;5;10;10;10;10;5;10;5;5;5;5;5;5;5;5;5;2;5;4;5;0;5;5;3;10;10;0;0;5;5;0;5;5;10;100;100;7;105;5;47;4;30;15;16;5;1; ;8;1;1;1;1
1;37;0;7;2;3;98;0;93;30;26;60;56;88;56;55;80;80;80;79;80;120;50;0;10;7;0;0;0;0;0;7;0;0;0;6;9;8;8;0;6;6;6;9;9;7;4;9;6;5;7;8;8;7;6;6;6;7;8;5;4;8;6;5;7;5;5;4;0;5;5;4;5;4;5;20;35;4;105;5;47;4;29;15;15;7;1; ;5;1;1;1;3
