sex;age;children;education;household_size;marital_RO;physical_contact1;physical_contact2;physical_contact3;physical_contact4;physical_contact5;physical_hygiene1;physical_hygiene2;physical_hygiene3;physical_hygiene4;physical_hygiene5;policy_support1;policy_support2;policy_support3;policy_support4;policy_support5;generosity1;generosity2;generosity3;psych_wellbeing1;psych_wellbeing2;collective_narcis1;collective_narcis2;collective_narcis3;national_identity1;national_identity2;conspiracy_theories1;conspiracy_theories2;conspiracy_theories3;conspiracy_theories4;open_mindness1;open_mindness2;open_mindness3;open_mindness4;open_mindness5;open_mindness6;morality_as_cooperat1;morality_as_cooperat2;morality_as_cooperat3;morality_as_cooperat4;morality_as_cooperat5;morality_as_cooperat6;morality_as_cooperat7;trait_optimism1;trait_optimism2;social_belonging1;social_belonging2;social_belonging3;social_belonging4;trait_self_control1;trait_self_control2;trait_self_control3;trait_self_control4;self_esteem;narcissism1;narcissism2;narcissism3;narcissism4;narcissism5;narcissism6;moral_identity1;moral_identity2;moral_identity3;moral_identity4;moral_identity5;moral_identity6;moral_identity7;moral_identity8;moral_identity9;moral_identity10;risk_perception1;risk_perception2;political_ideology;CRT1;CRT2;CRT3;CRT4;CRT5;CRT6;moral_circle1;health;employment;employment_other;ladder_answer;urban;tested_positive;know_tested_positive;marital
1;19;1;7;4;1;92;10;89;100;99;100;100;97;100;100;100;100;100;100;100;70;50;50;5;5;5;5;5;10;10;2;4;3;2;4;3;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;15;75;5;105;5;96;4;15;10;1;7;4; ;8;1;2;1;1
1;22;0;6;2;1;100;0;100;100;100;50;53;100;50;100;100;100;100;100;100;170;0;0;9;5;5;5;9;6;6;0;0;0;0;5;10;10;9;0;5;10;5;10;5;10;5;5;8;10;6;5;6;6;10;8;4;7;9;0;5;5;5;5;5;10;10;10;0;8;10;0;10;9;10;33;87;5;100;5;47;4;15;15;10;10;4; ;5;1;1;1;1
2;63;0;7;1;1;71;8;91;91;99;81;71;67;50;50;50;96;3;16;5;0;170;0;5;5;2;3;3;5;5;2;5;5;5;5;7;2;8;10;5;8;5;5;5;5;5;5;5;5;2;7;7;7;8;7;7;3;7;5;5;5;5;5;5;6;6;5;5;8;7;7;6;5;5;50;50;0;100;5;24;4;16;20;2;6;5; ;6;1;1;2;1
1;31;0;7;2;2;41;51;73;92;91;71;52;83;49;26;44;68;29;77;25;150;10;10;6;5;2;2;3;5;5;4;6;1;3;5;8;8;5;2;5;9;6;8;8;7;4;2;6;6;6;5;6;8;7;7;8;7;7;6;3;3;5;7;3;6;6;3;2;7;7;5;6;5;3;0;50;5;10;5;47;4;29;15;3;7;1; ;7;1;1;1;2
2;62;0;7;2;3;100;0;97;98;100;100;100;100;100;100;91;94;25;100;100;30;90;50;6;4;10;9;10;10;10;5;6;7;8;6;10;6;9;10;7;9;8;8;8;8;8;10;6;6;8;8;8;9;8;9;3;7;8;8;8;7;9;9;5;7;8;1;7;6;9;7;7;7;8;0;27;4;100;100;24;4;15;0;1;9;1; ;5;1;2;1;3
1;39;2;7;4;3;100;0;100;81;100;100;100;100;97;100;100;100;100;100;100;100;70;0;10;8;0;0;0;10;5;0;0;10;5;0;10;10;10;0;0;5;5;10;8;8;10;10;10;10;9;9;9;10;9;10;0;0;9;6;0;5;7;5;1;10;10;5;0;6;7;0;10;10;5;0;96;2;105;5;47;4;29;15;1;9;1; ;7;1;1;1;3
1;34;0;7;2;3;100;0;17;32;100;100;100;100;100;100;100;96;100;100;100;100;50;20;10;7;10;10;3;10;10;0;0;0;0;1;10;7;10;0;1;10;7;10;9;8;6;10;8;8;6;6;7;10;3;8;8;4;8;3;4;2;2;2;0;10;10;10;0;10;7;0;7;7;10;78;83;10;100;5;23;4;31;15;5;9;1; ;8;1;2;1;3
1;33;2;7;4;3;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;170;0;0;5;5;5;5;5;7;1;10;0;9;10;5;10;10;0;7;4;4;2;6;7;8;2;2;10;10;4;7;6;8;1;10;1;0;7;8;0;0;2;5;6;4;2;6;2;6;3;7;5;4;3;0;66;7;100;1;24;4;30;20;1;7;1; ;5;1;1;1;3
1;22;0;7;3;1;100;0;100;29;5;100;100;100;100;100;100;86;32;60;36;100;35;35;7;9;3;9;3;10;3;3;3;6;2;4;2;9;4;2;4;10;4;6;5;3;10;5;10;8;7;7;10;10;5;6;6;10;10;5;6;4;5;5;6;0;5;6;2;8;5;5;6;6;5;0;61;5;105;5;24;8;30;20;1;9;4; ;5;1;1;1;1
2;29;3;6;5;3;100;1;100;100;100;100;100;100;100;100;100;100;100;100;100;70;100;0;8;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;10;8;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;100;100;10;100;100;24;8;15;20;1;7;6;CASNIC;10;1;1;1;3
2;41;0;7;2;3;100;15;99;100;100;100;100;100;100;100;2;100;11;100;33;20;50;100;9;5;10;5;6;6;6;10;10;10;6;7;5;6;5;6;5;5;0;6;5;6;6;5;5;6;6;6;6;6;6;5;5;5;5;5;5;6;5;6;5;6;4;5;5;5;5;5;5;5;5;45;45;6;90;90;6;6;9;8;6;4;1; ;3;2;1;1;3
1;37;2;7;4;3;100;0;100;100;100;100;100;100;82;86;50;86;74;82;91;150;0;20;5;5;8;7;7;8;7;0;0;0;0;1;9;8;8;0;1;9;9;8;9;10;9;0;9;9;9;8;8;9;8;7;6;6;8;6;4;7;2;3;0;6;6;5;7;7;5;4;4;4;4;60;70;8;105;5;47;4;15;3;3;6;1; ;5;2;1;2;3
2;18;1;3;3;1;100;10;100;98;90;100;50;100;100;100;70;70;71;70;100;70;50;50;7;5;0;0;0;10;0;5;5;5;5;0;10;10;10;0;0;8;6;10;8;10;8;10;8;0;9;10;9;9;6;6;5;3;9;0;0;0;0;2;0;10;10;0;0;9;5;0;5;3;10;10;80;5;109;5;24;4;1;0;10;7;6;eleva;8;1;1;1;1
1;31;1;7;4;2;89;18;76;70;18;50;50;69;1;50;0;25;0;50;66;0;170;0;7;6;5;7;6;10;9;8;10;8;1;10;10;10;10;0;4;8;8;9;8;9;8;10;7;6;8;7;8;8;4;7;6;7;8;5;7;7;8;6;1;6;6;8;0;7;5;2;5;5;9;0;1;10;5;100;24;4;31;15;16;7;1; ;8;1;1;1;2
2;63;0;7;1;6;98;0;100;100;99;100;100;100;100;99;100;100;100;100;100;70;50;50;5;5;8;7;9;10;10;7;6;7;7;0;10;10;10;0;0;9;10;10;10;10;5;10;8;5;10;10;10;10;8;8;6;1;8;1;2;0;5;5;0;10;10;10;0;10;10;0;5;5;10;50;50;3;100;5;24;4;15;20;16;9;5; ;4;1;1;1;1
2;26;0;5;3;1;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;70;50;50;3;5;5;10;5;10;7;0;0;0;0;0;10;10;10;0;0;10;10;10;10;10;10;5;10;10;5;10;8;10;3;7;9;2;7;4;0;0;1;3;0;5;3;2;2;2;3;10;3;5;3;50;77;5;105;8;24;8;14;30;1;8;1; ;5;1;1;1;1
1;39;2;7;4;2;39;0;82;79;91;100;100;100;90;100;100;100;60;88;27;0;170;0;7;5;5;5;5;10;10;0;0;0;0;1;10;10;10;0;0;9;9;10;9;10;0;10;7;7;8;8;8;9;2;8;8;4;7;1;1;0;0;0;0;10;7;6;0;7;7;0;8;8;10;31;100;7;100;5;47;4;30;15;16;6;1; ;8;1;1;1;2
2;46;2;7;4;3;100;0;100;100;100;50;50;100;75;100;50;100;50;100;50;170;0;0;7;7;5;5;5;5;0;10;5;9;10;1;9;9;9;1;1;4;6;9;6;5;5;6;5;5;1;1;5;5;8;9;5;1;6;7;8;5;7;7;1;10;10;7;0;10;10;0;5;7;10;0;50;5;100;5;1;4;31;15;6;5;1; ;5;1;1;1;3
1;32;1;3;6;1;76;35;84;73;85;99;75;85;93;77;77;85;87;83;81;80;30;60;9;7;8;9;6;8;8;1;9;9;3;2;8;3;8;3;7;2;7;3;8;7;7;1;8;8;6;8;9;7;7;8;8;8;8;8;3;7;9;9;8;6;8;8;9;9;8;8;8;9;8;72;79;7;10;20;24;2;1;20;7;8;3; ;4;1;1;1;1
1;20;1;5;4;1;97;0;91;79;81;99;88;84;79;80;5;87;59;74;79;100;35;35;2;3;1;1;7;9;10;0;0;6;7;2;9;7;8;0;2;7;6;7;8;8;3;9;8;9;2;7;8;6;3;6;4;7;9;4;3;2;7;2;2;9;8;2;0;7;7;2;0;8;8;0;0;5;100;100;24;4;30;20;1;8;4; ;3;1;2;1;1
2;36;0;5;2;1;99;1;97;97;97;98;97;97;99;99;97;97;98;95;97;130;20;20;9;9;8;8;10;10;10;5;5;5;5;1;9;8;7;5;0;10;10;10;10;10;8;7;10;10;10;10;10;10;8;10;0;0;10;5;8;5;10;10;0;10;10;9;0;9;8;0;9;8;10;1;50;1;100;150;24;4;15;20;1;10;5; ;5;2;1;1;1
2;32;1;7;3;3;100;0;91;100;100;100;100;100;80;64;100;100;100;94;100;50;70;50;8;8;10;8;5;10;9;10;7;10;9;4;10;9;10;0;0;8;6;9;9;10;5;8;7;7;5;8;7;8;8;7;5;3;7;5;4;5;3;1;0;8;8;8;8;7;6;7;1;2;7;11;79;6;100;5;24;4;15;10;14;9;3; ;5;1;1;1;3
2;53;0;7;2;3;99;98;100;99;100;100;99;98;99;99;99;99;98;97;99;50;60;60;6;9;7;7;9;7;8;7;8;8;7;7;6;6;6;6;8;6;8;6;8;8;8;9;7;7;7;7;5;6;8;8;8;8;9;6;8;9;8;9;8;7;6;7;8;8;9;7;7;8;8;1;4;1;100;5;24;16;15;20;1;8;1; ;5;1;1;1;3
2;50;0;5;3;3;82;0;51;88;78;78;52;93;11;92;7;100;4;13;3;150;10;10;5;3;7;2;4;10;3;10;7;0;3;8;9;9;8;0;2;5;5;7;5;5;1;0;7;8;7;6;7;8;6;5;8;1;9;1;1;1;4;3;1;4;5;3;2;4;3;3;0;0;1;51;69;5;100;5;24;4;15;20;12;9;1; ;4;1;1;1;3
2;31;1;7;3;3;98;40;20;97;99;100;100;100;100;71;88;81;77;79;86;70;50;50;6;6;9;8;9;6;5;8;9;9;10;10;9;5;9;1;1;5;4;10;7;7;7;7;6;6;6;5;5;9;7;6;6;1;6;6;6;4;5;6;6;7;7;7;7;6;6;7;6;7;6;0;46;5;10;5;0;8;5;5;1;9;1; ;5;1;1;1;3
2;41;2;7;4;3;79;22;79;67;74;62;71;77;48;62;51;51;76;50;50;100;50;20;5;5;5;5;4;5;4;2;2;2;2;2;8;9;9;1;1;9;9;10;10;7;9;9;9;10;5;5;4;8;3;5;9;5;5;5;1;1;1;1;0;9;8;5;1;6;6;1;3;5;9;52;53;5;5;1;47;8;29;15;14;7;1; ;5;1;1;1;3
1;62;0;5;4;3;93;0;98;100;100;100;100;100;100;0;100;100;100;100;100;70;60;40;8;5;9;9;8;3;2;9;9;9;9;4;9;9;9;5;3;10;9;10;10;9;5;8;9;9;9;8;9;10;8;8;7;0;10;5;5;5;6;6;7;5;6;5;5;5;5;6;5;5;5;0;9;5;110;1;12;4;15;20;1;8;5; ;4;1;1;1;3
2;52;1;7;4;3;96;0;94;92;95;100;100;100;99;100;76;100;100;100;98;50;100;20;3;3;9;8;4;10;10;4;2;3;6;4;3;9;9;1;2;10;9;10;10;10;10;10;10;10;10;10;10;10;8;9;3;0;9;3;3;3;3;6;1;9;7;7;2;3;8;7;3;8;7;8;21;0;100;5;12;4;15;10;6;6;3; ;5;1;1;1;3
1;47;1;6;4;3;100;0;100;100;100;44;51;100;100;100;100;100;0;100;100;70;100;0;5;8;0;4;0;0;0;10;10;10;0;0;10;10;10;0;0;0;4;10;10;0;0;0;6;10;0;0;0;10;7;10;0;0;1;10;0;10;5;10;0;0;2;0;0;10;2;10;2;0;0;0;0;10;100;100;24;4;15;30;1;10;1; ;5;1;1;1;3
1;40;1;7;3;3;71;78;100;76;79;50;50;100;40;100;100;100;0;82;100;0;170;0;10;10;10;10;10;10;10;0;5;5;6;5;9;10;10;0;0;10;10;10;10;10;10;0;10;10;10;10;10;10;10;10;1;0;10;0;0;0;10;3;0;10;10;10;0;10;10;0;10;8;10;0;51;10;10;100;24;4;30;15;1;10;1; ;5;1;1;1;3
2;57;0;6;2;3;82;0;85;90;100;100;100;100;91;99;100;95;80;99;82;70;70;30;8;8;8;5;5;10;10;5;3;3;3;2;10;10;10;0;1;10;10;10;9;10;7;10;8;10;8;8;8;10;7;8;3;1;5;2;2;3;5;5;0;10;9;5;2;8;8;2;5;5;10;52;51;3;105;5;47;4;29;15;16;8;1; ;3;1;1;1;3
1;51;0;5;2;3;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;50;100;20;10;9;5;6;6;10;10;0;0;0;0;3;10;10;8;1;0;7;7;2;8;4;7;6;9;8;8;9;8;8;9;9;8;1;9;2;1;1;2;2;1;4;5;4;4;6;4;6;7;8;4;1;7;5;100;5;24;4;15;20;3;10;1; ;5;1;1;1;3
2;58;0;7;2;4;97;0;98;99;1;98;95;98;98;98;96;98;98;98;98;100;50;20;8;7;10;8;8;10;10;10;0;0;0;2;10;10;10;0;0;10;10;10;10;10;8;5;10;8;10;10;9;9;7;9;10;5;8;5;5;2;6;7;0;10;10;1;0;0;0;0;0;10;10;98;98;10;100;5;24;4;15;15;1;8;1; ;3;1;1;1;1
1;36;0;7;2;2;85;57;100;78;73;36;71;75;52;100;88;87;36;0;34;160;5;5;7;7;8;6;0;8;10;4;7;6;0;4;10;7;9;3;7;8;8;8;8;7;10;9;5;7;8;5;6;7;7;8;9;8;6;7;4;5;4;3;0;7;5;4;3;6;7;1;1;8;7;72;67;6;10;5;1;4;29;15;14;8;1; ;6;1;1;1;2
1;45;0;4;4;3;85;17;96;83;100;78;75;92;27;24;91;87;35;73;70;85;65;20;7;5;7;5;4;5;5;5;5;5;5;3;8;7;8;4;3;9;7;9;9;9;3;1;5;9;5;7;6;8;6;6;7;5;5;5;5;6;5;4;6;9;7;6;2;6;6;0;6;6;10;50;50;6;105;5;47;4;15;15;14;6;1; ;3;2;1;1;3
1;44;1;7;3;4;100;0;100;100;100;50;47;55;0;17;1;41;3;9;0;170;0;0;0;0;5;1;0;10;0;10;10;10;9;5;10;10;0;3;8;10;8;10;10;9;0;5;10;9;2;1;5;1;8;8;1;0;10;1;0;4;2;0;7;10;6;6;2;9;2;6;0;6;8;0;12;5;100;100;24;6;15;1;1;8;1; ;5;1;1;2;1
1;59;1;7;3;3;100;0;100;100;100;100;100;100;84;98;99;89;84;91;85;50;100;20;7;7;8;3;10;10;10;9;3;2;7;1;10;10;9;1;1;10;9;10;10;10;1;1;10;10;10;3;10;9;8;9;2;2;10;2;10;2;9;9;1;10;10;7;0;10;9;1;10;9;10;20;21;7;100;50;24;4;15;10;16;9;1; ;4;1;1;1;3
2;59;0;7;2;2;100;0;98;94;99;67;66;100;95;100;100;100;77;100;100;100;70;0;9;7;7;2;1;9;7;0;0;0;0;3;10;10;10;0;2;9;9;10;8;9;1;10;9;9;10;9;9;9;8;9;1;1;10;4;5;5;9;9;0;8;10;7;0;9;8;0;5;6;6;50;50;10;105;5;47;4;14;20;16;6;1; ;6;1;1;1;2
