RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,
05/15/2020 01:26:38 PM,1060,Taiwan ,ZH,8,6,6,8,8,7,7,6,6,8,4,4,4,7,9,50,25,25,5,5,2,2,4,7,7,7,6,6,6,2,8,8,8,0,0,2,2,4,4,4,2,0,4,3,6,5,5,5,3,3,7,5,5,3,3,1,1,1,7,4,4,4,1,5,5,5,1,5,5,24,24,5,10,8,1,50,300,4,1,,39,1,0,1,,6,,2,1,213,,
05/15/2020 01:30:16 PM,842,Taiwan ,ZH,7,3,8,4,7,8,6,8,8,7,8,8,7,7,8,80,10,10,7,6,7,2,7,6,5,6,6,6,4,6,7,7,5,6,6,6,7,4,7,4,6,7,7,6,6,7,3,7,8,2,8,7,7,7,7,4,7,8,8,8,6,6,7,5,6,7,4,6,7,77,64,7,5,7,3,50,20,15,1,,62,3,0,2,,4,,1,1,213,,
05/15/2020 01:31:33 PM,1865,Taiwan ,ZH,5,0,5,8,10,5,8,10,0,10,5,5,5,8,10,100,0,0,7,7,5,5,5,10,10,5,5,0,0,0,10,10,10,0,5,5,5,10,10,5,5,5,5,5,8,7,7,8,5,5,8,6,6,0,0,5,5,5,0,6,6,5,1,10,9,2,5,5,5,30,30,5,15,5,1,25,3,7,2,,28,1,0,1,,6,,1,1,213,,
05/15/2020 01:32:46 PM,987,Taiwan ,ZH,10,0,10,10,10,10,10,10,10,10,1,2,1,10,10,0,90,10,7,6,5,5,5,10,10,10,1,1,1,1,10,10,10,7,1,5,5,10,10,7,10,10,6,5,7,6,7,5,5,5,5,2,1,1,1,5,1,5,5,7,7,1,2,1,5,5,5,5,5,11,11,5,5,7,3,25,3,4,1,,40,3,2,1,,6,,1,1,213,,
05/15/2020 01:32:53 PM,1042,Taiwan ,ZH,9,0,8,9,10,8,8,10,3,5,5,8,6,9,10,100,0,0,5,4,5,8,5,10,5,9,3,3,4,9,8,8,8,3,4,7,5,10,10,7,7,7,2,2,5,3,3,10,5,7,7,8,3,4,5,7,5,7,7,8,8,5,4,7,7,7,7,8,7,70,50,7,9,3,1,50,3,4,2,,43,1,0,6,House keeper,6,,1,1,213,,
05/15/2020 01:37:02 PM,1379,Taiwan ,ZH,5,3,7,6,6,9,9,9,7,6,4,9,5,9,7,100,0,0,4,5,5,5,5,8,6,3,2,3,2,5,10,9,9,2,2,7,5,6,6,5,7,6,4,5,5,5,5,6,4,3,8,5,4,4,5,5,4,5,5,9,6,5,4,6,6,5,5,4,8,9,49,5,16,3,3,25,3,4,2,,32,3,0,2,,6,,1,1,213,,
05/15/2020 01:42:42 PM,1526,Taiwan ,ZH,7,3,6,10,10,10,9,10,4,10,4,6,5,10,7,90,10,0,3,2,0,10,7,7,7,3,2,1,0,7,5,9,7,7,5,8,4,6,4,5,6,5,2,3,7,7,6,8,7,2,7,5,2,7,7,6,7,6,5,8,8,3,2,7,6,3,2,2,6,40,60,7,5,4,3,125,300,6,1,,47,3,3,1,,6,,1,1,213,,
05/15/2020 01:44:21 PM,940,Taiwan ,ZH,10,0,10,10,10,9,9,9,8,9,8,8,4,10,8,90,10,0,2,4,5,5,5,9,9,9,5,1,2,3,9,9,9,1,2,2,5,8,8,5,5,5,7,7,8,7,7,7,5,5,3,7,6,3,5,3,3,5,2,9,8,5,2,5,8,2,5,5,5,10,30,5,5,7,3,25,3,7,1,,60,3,2,5,,6,,1,1,213,,
05/15/2020 01:45:16 PM,1212,Taiwan ,ZH,7,3,10,9,9,8,8,9,9,9,5,9,5,9,10,50,50,0,1,2,2,6,7,10,10,9,8,8,8,2,9,8,9,1,1,6,7,7,7,7,5,8,3,3,7,7,7,7,2,2,8,7,5,2,8,7,8,7,8,7,8,7,8,8,7,7,8,6,6,62,59,5,1,6,1,50,300,16,1,,36,1,0,1,,6,,1,1,213,,
05/15/2020 01:46:04 PM,1180,Taiwan ,ZH,10,0,10,10,10,10,10,10,5,10,10,10,5,10,10,100,0,0,8,7,0,5,0,10,10,7,0,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,8,5,5,7,7,8,8,7,5,6,1,5,0,0,5,5,0,10,8,0,0,5,5,0,5,5,5,49,24,0,3,10,3,25,3,7,1,,40,3,0,1,,6,,1,1,213,,
