sex,sex_other,age,marit_status,children,employ_status,employ_status_other
2,,61,1,0,6,House keeper
,,,,,,
2,,58,3,2,6,House wife
,,,,,,
1,,64,3,2,5,
,,,,,,
1,,64,3,0,2,
,,,,,,
1,,50,1,0,1,
,,,,,,
2,,54,3,1,1,
,,,,,,
1,,58,3,2,1,
,,,,,,
1,,50,3,0,1,
,,,,,,
2,,62,3,2,1,
,,,,,,
1,,62,3,2,5,
,,,,,,
1,,67,3,2,5,
,,,,,,
2,,64,3,2,5,
,,,,,,
1,,69,3,2,5,
,,,,,,
1,,63,3,2,5,
,,,,,,
1,,61,1,2,6,unable to work due to poor physical condition
,,,,,,
2,,50,3,2,1,
,,,,,,
2,,64,3,1,5,
,,,,,,
1,,65,3,4,1,
,,,,,,
2,,50,3,1,1,
,,,,,,
2,,69,3,3,5,
,,,,,,
2,,54,3,2,2,
,,,,,,
2,,51,3,3,1,
,,,,,,
2,,50,1,0,5,
,,,,,,
2,,62,3,2,5,
,,,,,,
1,,50,2,1,1,
,,,,,,
1,,63,3,1,1,
,,,,,,
1,,66,3,5,5,
,,,,,,
1,,64,3,2,5,
,,,,,,
1,,52,1,0,5,
,,,,,,
1,,30,1,0,1,
,,,,,,
2,,64,3,4,1,
,,,,,,
2,,69,3,3,5,
,,,,,,
2,,55,1,0,1,
,,,,,,
1,,39,1,0,2,
,,,,,,
1,,61,3,2,6,Self-employed (catering industry)
,,,,,,
2,,65,3,4,5,
,,,,,,
1,,31,2,0,1,
,,,,,,
1,,51,1,1,1,
,,,,,,
2,,69,3,4,5,
,,,,,,
2,,44,3,1,1,
,,,,,,
1,,57,1,0,1,
,,,,,,
2,,50,1,0,1,
,,,,,,
2,,55,3,2,2,
,,,,,,
1,,36,2,0,1,
,,,,,,
2,,52,1,1,2,
,,,,,,
1,,54,3,2,5,
,,,,,,
1,,54,3,2,1,
,,,,,,
1,,67,3,2,5,
,,,,,,
2,,60,3,0,5,
,,,,,,
2,,61,3,2,2,
,,,,,,
2,,54,3,2,1,
,,,,,,
2,,50,1,0,1,
,,,,,,
2,,55,3,2,1,
,,,,,,
2,,63,1,3,2,
,,,,,,
2,,51,3,3,1,
,,,,,,
2,,53,3,1,6,House keeper
,,,,,,
1,,59,3,1,1,
,,,,,,
2,,61,3,2,1,
,,,,,,
1,,65,3,2,5,
,,,,,,
2,,60,3,2,5,
,,,,,,
2,,50,3,3,5,
,,,,,,
2,,63,3,3,5,
,,,,,,
1,,56,2,0,1,
,,,,,,
2,,55,2,0,1,
,,,,,,
2,,59,3,2,5,
,,,,,,
1,,54,3,2,1,
,,,,,,
2,,69,3,3,5,
,,,,,,
1,,65,1,2,5,
,,,,,,
2,,53,3,3,1,
,,,,,,
2,,62,3,4,5,
,,,,,,
1,,65,3,2,5,
,,,,,,
2,,66,3,2,5,
,,,,,,
2,,60,3,1,5,
,,,,,,
1,,53,2,0,2,
,,,,,,
1,,60,3,0,1,
,,,,,,
2,,63,3,3,5,
,,,,,,
2,,63,3,2,3,
,,,,,,
2,,64,3,2,5,
,,,,,,
2,,62,3,2,1,
,,,,,,
1,,62,3,4,1,
,,,,,,
2,,63,3,2,2,
,,,,,,
2,,61,1,0,3,
,,,,,,
1,,61,1,0,2,
,,,,,,
2,,61,1,1,3,
,,,,,,
1,,66,3,3,5,
,,,,,,
2,,62,3,0,1,
,,,,,,
2,,60,3,4,5,
,,,,,,
2,,68,3,4,6,House keeper
,,,,,,
2,,61,3,2,5,
,,,,,,
2,,60,3,2,5,
,,,,,,
1,,65,3,4,5,
,,,,,,
1,,68,3,2,5,
,,,,,,
2,,66,3,3,5,
,,,,,,
2,,61,3,1,5,
,,,,,,
2,,60,3,1,6,House keeper
,,,,,,
2,,69,1,2,1,
,,,,,,
1,,50,3,2,1,
,,,,,,
1,,55,3,2,1,
,,,,,,
2,,63,1,2,5,
,,,,,,
2,,68,3,2,5,
,,,,,,
2,,53,3,2,1,
,,,,,,
2,,50,3,3,1,
,,,,,,
2,,54,3,2,5,
,,,,,,
2,,54,3,1,1,
,,,,,,
1,,60,3,1,1,
,,,,,,
1,,64,3,2,5,
,,,,,,
1,,51,3,3,5,
,,,,,,
2,,68,3,3,5,
,,,,,,
1,,60,3,2,5,
,,,,,,
1,,69,3,2,5,
,,,,,,
1,,66,1,0,1,
,,,,,,
2,,65,1,0,1,
,,,,,,
,,,,,,
414,,69,,,,
418,,20,,,,
,,13.24963171,,,,
