sex,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
2,44,3,1,1,,5,1,1,1,213,0
1,61,3,1,5,,5,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
1,52,3,2,1,,5,1,1,1,213,0
1,31,3,1,1,,6,1,1,1,213,0
2,55,3,1,1,,2,1,1,1,213,0
1,65,3,1,5,,5,1,1,1,213,0
1,45,3,1,1,,5,1,1,1,213,0
1,26,1,0,1,,1,1,1,1,213,0
1,29,1,0,1,,5,1,1,1,213,0
1,66,3,1,5,,2,1,1,1,213,0
2,30,3,1,1,,6,1,1,1,213,0
1,44,3,1,1,,5,1,1,1,213,0
2,33,1,0,1,,5,1,1,1,213,0
2,28,3,1,1,,6,1,1,1,213,0
1,40,3,1,1,,4,1,1,1,213,0
2,55,3,1,1,,5,2,1,1,213,0
2,51,3,1,1,,6,1,1,1,213,0
1,21,1,0,4,,4,1,1,1,213,0
2,30,3,1,1,,5,1,1,1,213,0
2,65,3,0,5,,3,1,1,1,213,0
2,30,1,0,1,,5,1,1,1,213,0
2,62,3,1,1,,4,1,1,1,213,0
1,44,3,1,1,,6,1,1,1,213,0
2,52,3,1,1,,2,1,1,1,213,0
2,27,3,1,1,,5,1,1,1,213,0
1,60,3,2,5,,4,2,1,1,213,0
2,29,3,1,1,,4,1,1,1,213,0
2,25,2,0,1,,5,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
2,65,3,1,5,,3,1,1,1,213,0
1,49,3,1,1,,5,1,1,1,213,0
1,62,3,1,1,,2,1,1,1,213,0
2,47,3,0,1,,5,1,1,1,213,0
1,64,3,1,5,,2,1,1,1,213,0
1,33,3,2,1,,4,1,1,1,213,0
2,39,3,2,1,,5,1,1,1,213,0
2,34,3,1,1,,5,1,1,1,213,0
1,29,3,1,1,,5,1,1,1,213,0
2,20,2,0,4,,5,1,1,1,213,0
2,42,3,1,1,,3,1,1,1,213,0
1,57,3,1,1,,5,1,1,1,213,0
1,50,3,1,1,,6,1,1,1,213,0
2,52,3,1,1,,5,1,1,1,213,0
2,65,3,1,5,,4,1,1,1,213,0
2,34,3,1,1,,4,1,1,1,213,0
1,28,1,0,1,,2,1,1,1,213,0
2,49,3,1,6,???,4,1,1,1,213,0
1,33,3,1,1,,4,1,1,1,213,0
1,29,3,1,1,,6,1,1,1,213,0
2,55,3,1,1,,3,1,1,1,213,0
2,34,1,0,1,,6,1,1,1,213,0
1,63,3,1,5,,4,1,1,1,213,0
1,46,3,1,3,,0,1,1,1,213,0
2,62,3,1,5,,1,1,1,1,213,0
1,36,3,1,1,,6,1,1,1,213,0
1,18,1,0,4,,0,2,1,1,213,0
1,48,3,1,1,,4,1,1,1,213,0
2,25,1,0,1,,5,1,1,1,213,0
2,41,3,1,1,,6,1,1,1,213,0
1,29,2,0,3,,5,1,1,1,213,0
