,RecordDate,Duration_sec,Language,Country,physical_contact_1,physical_contact_2,physical_contact_3,physical_contact_4,physical_contact_5,physical_hygiene_1,physical_hygiene_2,physical_hygiene_3,physical_hygiene_4,physical_hygiene_5,policy_support_1,policy_support_2,policy_support_3,policy_support_4,policy_support_5,generosity_1,generosity_2,generosity_3,psych_wellbeing1,psych_wellbeing2,collective_narcis1,collective_narcis2,collective_narcis3,national_identity_1,national_identity_2,Conspiracy_theories_1,Conspiracy_theories_2,Conspiracy_theories_3,Conspiracy_theories_4,open_mindness_1,open_mindness_2,open_mindness_3,open_mindness_4,open_mindness_5,open_mindness_6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging_1,social_belonging_2,social_belonging_3,social_belonging_4,trait_self_control_1,trait_self_control_2,trait_self_control_3,trait_self_control_4,Self.esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,MORAL_ID_1,MORAL_ID_2,MORAL_ID_3,MORAL_ID_4,MORAL_ID_5,MORAL_ID_6,MORAL_ID_7,MORAL_ID_8,MORAL_ID_9,MORAL_ID_10,risk_perception_1,risk_perception_2,political_ideology_1,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marital,children,employment_status,employment_status_other,Ladder,urban,tested_positive,know_tested_positive,education_status,education_status_other,region,latest_vote,latest_vote_other,AttCheck_nobots
299,4/29/2020 17:02,1335,MK,North Macedonia,10,0,10,10,10,9,9,9,3,9,8,8,4,9,89,0,50,50,7,7,0,0,0,2,0,0,0,0,0,0,10,10,10,10,10,5,6,7,6,3,4,4,86,87,2,3,5,7,3,8,8,7,7,0,2,2,0,10,0,0,9,8,1,0,7,9,0,0,6,10,20,40,3,14,6,25,3,7,1,,42,3,2,6,фриленс на маки,4,1,1,1,6,,7,4,,213
300,4/28/2020 22:49,71203,MK,North Macedonia,5,7,10,7,10,5,5,10,10,10,5,5,0,10,100,70,30,0,5,7,0,50,50,7,10,0,0,0,0,0,10,10,10,0,0,10,5,10,8,9,7,10,80,80,7,10,10,10,5,9,7,5,9,0,2,10,10,10,7,0,10,10,5,0,5,5,0,5,5,10,0,20,NA,5,9,NA,NA,NA,2,,30,3,0,1,,6,1,1,1,6,,8,13,,213
301,4/29/2020 18:33,1418,MK,North Macedonia,10,0,10,10,10,10,10,10,1,0,10,10,10,10,100,80,20,0,5,5,0,0,0,0,0,10,10,30,10,0,10,10,10,0,0,0,0,0,0,0,0,0,100,100,10,5,5,10,9,10,3,0,8,0,2,0,0,0,0,0,10,10,0,0,2,0,10,0,0,10,10,50,5,16,8,25,1,4,2,,28,3,0,6,Хонорарец,6,1,1,1,6,,10,5,,213
302,4/29/2020 19:21,897,MK,North Macedonia,3,0,0,9,9,5,6,10,8,5,9,9,1,10,90,50,50,0,6,7,0,0,0,1,1,50,50,50,50,5,10,10,10,0,10,7,7,5,9,8,9,10,90,90,10,10,10,10,5,7,7,10,8,5,1,1,1,1,1,1,5,7,0,5,1,5,0,1,5,5,50,50,2,9,5,25,3,NA,1,,43,3,2,1,,4,1,1,2,6,,7,4,,213
303,4/29/2020 19:19,2556,MK,North Macedonia,7,3,7,9,10,10,10,10,8,10,3,5,1,8,50,40,20,40,5,5,0,50,50,8,6,40,40,70,50,3,8,8,8,0,0,6,6,9,9,7,7,8,55,63,5,7,8,9,6,7,6,7,6,0,3,3,1,3,3,2,7,7,7,2,6,7,1,5,5,3,50,50,3,15,8,NA,NA,NA,2,,40,3,2,1,,6,1,1,1,6,,7,4,,213
304,4/29/2020 20:26,1165,MK,North Macedonia,9,3,9,9,9,8,9,9,7,9,9,9,5,9,92,10,70,20,3,3,30,40,50,6,6,60,60,30,40,1,8,8,7,5,4,8,6,6,5,5,5,2,39,29,5,5,3,6,8,8,7,6,5,5,7,2,2,8,4,6,8,8,3,2,3,5,3,6,3,8,30,60,5,6,7,NA,NA,NA,2,,22,1,0,4,,6,1,1,1,5,,4,13,,213
305,4/29/2020 20:40,1286,MK,North Macedonia,8,0,7,9,10,8,9,10,8,10,9,10,7,10,100,70,20,10,5,4,0,80,60,7,6,50,50,0,50,3,9,7,9,0,0,5,6,9,6,8,8,8,29,NA,2,4,4,10,7,7,5,5,3,0,5,5,6,4,5,4,8,8,5,1,8,7,1,5,7,5,40,50,3,14,6,25,NA,7,2,,32,2,0,1,,6,1,1,1,7,,7,11,Не излегов на гласање,213
306,4/29/2020 20:59,960,MK,North Macedonia,10,2,10,10,10,6,7,10,6,5,8,10,0,10,100,100,0,0,9,3,0,0,0,0,0,10,10,20,30,5,10,10,7,0,1,9,0,10,8,10,6,10,92,40,8,8,7,9,6,6,6,6,7,0,4,4,2,4,3,0,9,10,8,0,7,8,0,9,7,8,10,10,0,16,9,25,3,7,1,,53,3,2,3,,7,1,1,1,8,,7,13,,213
307,4/29/2020 21:05,1421,MK,North Macedonia,9,1,5,10,10,10,10,10,10,10,10,10,7,10,100,50,25,25,7,5,50,50,50,4,9,50,10,40,20,4,10,10,10,0,2,10,10,10,8,10,10,10,50,66,5,7,5,8,8,8,0,5,5,5,6,6,4,4,7,5,10,9,6,0,8,8,0,6,10,10,10,50,0,13,5,50,900,8,2,,61,1,2,1,,7,1,1,1,5,,9,13,,213
308,4/29/2020 20:31,3871,MK,North Macedonia,3,7,9,10,10,10,10,10,10,10,10,10,6,10,100,80,20,0,7,6,20,20,20,2,1,0,0,0,0,2,10,10,8,0,1,10,NA,8,7,5,7,2,89,80,9,9,9,9,6,9,6,2,7,8,2,4,1,2,4,3,10,10,6,0,8,6,0,1,2,10,20,40,NA,10,9,25,NA,7,2,,30,2,0,1,,4,1,1,2,7,,7,13,,213
