caseid,q1_1,q1_2,q1_3,q1_4,q1_5,q2_1,q2_2,q2_3,q2_4,q2_5,q3_1,q3_2,q3_3,q3_4,q3_5,q4_1_1,q4_2_1,q4_3_1,q5_1,q6_1,q7_1,q7_2,q7_3,q8_1,q8_2,q9_1,q9_2,q9_3,q9_4,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q12_1,q12_2,q13_1,q13_2,q13_3,q13_4,q14_1,q14_2,q14_3,q14_4,q15_1,q16_1,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q18_10,q19_1,q19_2,q20_1,q21,q22_1,q23,q24,q25,civilstatus,children,jobsituation,jobsituation_other,q26,q27,q28,q29,q30,gender,age,profile_age1,profile_age2,profile_age3,region,household_income,profile_education,tot_time,endtime
1299689692,100,50,50,100,100,10,10,10,5,10,5,10,5,5,10,40,40,20,5,7,2,5,5,10,10,1,1,1,2,10,10,10,10,5,4,5,5,10,5,5,5,5,10,10,1,5,5,1,5,10,1,1,10,5,5,5,1,5,5,5,10,10,5,5,5,5,5,10,10,10,80,70,5,16,5,50,300,4,1,0,5,"",3,2,1,99,213,2,68,3,11,5,4,2,4,888.252,2020-04-27 11:28:08
1299465444,100,0,100,100,100,10,10,10,0,10,10,10,10,10,10,100,0,0,5,5,10,10,10,10,10,5,0,0,0,5,5,5,5,0,0,0,5,10,5,5,5,10,8,5,2,7,8,10,5,8,7,7,6,0,2,5,2,5,2,5,10,7,2,0,5,5,1,0,0,8,30,20,5,12,5,25,3,7,2,1,5,"",5,2,1,1,213,2,72,4,11,6,5,12,7,1660.884,2020-04-27 11:34:47
1298524226,28,0,1,28,28,10,10,10,5,5,5,5,5,5,5,80,20,0,8,8,5,5,5,10,7,5,0,0,0,0,6,10,7,0,0,7,5,7,8,5,7,10,8,5,5,7,10,10,5,7,5,10,0,0,0,0,0,0,0,0,10,8,6,0,5,5,0,5,5,8,0,0,3,1,6,25,3,8,2,0,3,"",3,1,1,1,213,2,22,1,1,1,3,1,1,1476.29,2020-04-27 11:35:41
1299695534,9,0,10,9,10,8,7,9,5,10,10,10,9,10,10,50,25,25,6,6,0,0,0,9,5,0,0,0,0,3,10,10,10,0,1,5,7,4,5,8,6,7,7,8,6,7,8,10,4,7,6,5,4,0,2,0,0,5,3,1,10,10,0,0,4,7,0,0,0,10,50,50,4,14,4,50,300,7,2,1,2,"",5,1,1,1,213,1,36,2,4,2,1,13,6,1074.77,2020-04-27 11:36:00
1299117886,70,0,100,100,100,10,10,10,5,10,10,10,5,10,10,50,25,25,8,8,1,5,1,10,5,1,0,0,1,0,10,10,10,1,1,10,10,10,10,10,1,1,10,10,8,8,8,10,4,5,9,6,5,0,5,1,9,1,1,1,10,10,5,1,10,10,1,10,10,10,50,100,5,16,10,50,300,4,3,2,2,"",6,2,1,1,213,1,42,2,5,3,4,13,4,694.009,2020-04-27 11:37:27
1299509146,100,50,90,100,100,10,9,10,5,9,10,10,5,10,10,90,10,0,6,7,5,5,3,10,9,1,0,0,0,4,9,10,9,0,5,9,8,9,5,6,5,7,7,8,7,7,8,9,7,5,7,5,6,0,4,1,5,5,1,5,10,10,7,0,5,4,0,0,0,6,70,50,6,10,8,50,3,4,1,0,1,"",8,2,1,1,213,1,36,2,4,2,2,12,6,843.117,2020-04-27 11:39:27
1299716232,70,40,50,70,100,9,8,5,1,6,5,5,5,5,5,100,0,0,7,5,5,5,5,8,6,5,5,5,5,6,7,7,7,2,6,6,5,7,8,5,8,10,6,7,6,4,5,8,9,4,1,5,8,0,5,5,5,5,6,7,5,5,5,5,5,5,5,5,5,5,40,50,10,6,8,50,300,4,3,1,2,"",3,2,1,1,213,2,32,1,3,2,4,2,7,659.184,2020-04-27 11:43:22
1299713190,80,100,90,100,100,5,5,8,0,10,10,9,10,9,10,40,50,10,10,9,1,1,1,10,4,2,2,0,0,7,10,10,10,1,2,5,5,5,5,5,5,5,8,9,10,10,10,10,7,9,4,5,6,0,0,0,3,8,2,0,10,9,3,0,3,0,1,0,0,4,50,50,5,4,5,5,300,16,2,0,1,"",5,2,1,1,213,1,30,1,3,2,3,12,5,862.353,2020-04-27 11:44:38
1297715202,100,70,100,100,100,10,10,5,1,10,5,10,9,9,10,100,0,0,7,5,1,10,6,10,10,1,1,1,1,5,10,10,10,1,1,6,7,7,5,7,7,7,7,8,5,5,5,10,8,8,1,5,5,5,1,1,1,1,1,1,9,9,5,1,8,8,8,8,8,8,20,50,1,9,7,50,3,4,3,1,5,"",1,2,1,99,213,1,69,3,11,5,4,12,4,971.493,2020-04-27 11:45:19
1299509214,100,0,100,100,100,1,7,7,0,10,10,8,8,10,10,100,0,0,9,9,0,5,0,10,8,0,0,0,0,1,9,9,9,0,0,8,8,8,3,8,8,8,9,9,10,10,10,10,9,10,6,0,9,10,0,0,0,0,0,0,10,10,5,0,5,5,1,2,9,9,80,80,2,4,8,25,300,4,3,2,1,"",7,2,1,1,213,1,58,3,9,4,4,10,6,923.722,2020-04-27 11:45:28
