Duration_sec,RecordedDate,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self_control__1,trait_self_control__2,trait_self_control__3,trait_self_control__4,Self_esteem,AttCheck2,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,CRT1,CRT2,CRT3,Country
472,   5/5/2020 6:39,PL,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,6,10,10,10,10,10,10,10,10,10,10,0,30,7,5,10,2,,32,3,2,1,,1,1,2,1,213,50,90,4,Poland
1278,   5/5/2020 6:41,PL,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,100,0,0,9,8,10,10,10,10,10,7,8,8,8,5,10,10,10,0,5,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10,0,0,10,0,5,5,5,10,5,5,10,10,0,0,8,8,0,8,8,8,50,50,10,14,8,1,,61,3,2,5,,3,1,1,1,213,25,1,4,Poland
1389,   5/5/2020 6:42,PL,4,7,7,2,7,9,9,10,8,8,7,7,7,7,7,50,50,0,4,6,4,4,4,5,5,0,0,0,0,2,9,9,9,0,9,5,5,5,5,5,5,5,3,6,6,6,4,4,3,3,9,9,0,0,6,2,4,2,1,2,6,8,2,2,2,6,6,2,3,6,60,80,7,14,6,2,,54,3,2,3,,6,4,1,1,213,50,300,4,Poland
1186,   5/5/2020 6:46,PL,9,1,4,10,8,8,8,10,7,4,7,3,1,9,3,80,20,0,7,7,8,7,0,8,9,2,5,6,7,2,10,8,10,0,2,7,8,10,7,7,3,10,7,7,8,8,7,10,6,9,4,3,7,0,8,2,2,8,6,7,9,7,5,1,6,7,2,0,7,9,10,20,7,5,8,1,,25,2,1,1,,4,1,1,1,213,25,3,7,Poland
1424,   5/5/2020 6:46,PL,3,0,9,9,9,9,9,9,5,7,8,8,2,9,5,0,100,0,7,7,5,5,5,7,7,0,0,0,0,5,5,5,5,5,5,7,7,7,7,4,3,2,7,7,5,5,5,5,5,7,4,1,1,0,5,5,1,5,5,5,7,7,7,2,6,4,8,8,7,7,10,20,5,1,7,1,,46,3,2,1,,4,4,1,1,213,50,300,4,Poland
1521,   5/5/2020 6:49,PL,6,3,8,8,5,3,3,3,0,3,0,0,0,0,0,50,50,0,7,5,2,3,3,9,9,7,8,9,9,3,8,8,8,0,1,9,9,9,7,7,7,8,9,8,8,8,8,9,7,7,2,2,1,9,3,0,2,3,3,0,10,10,10,0,7,7,4,7,7,9,0,0,5,16,9,2,,48,3,2,6,Leave for taking care of a child,6,1,1,1,213,50,3,4,Poland
1464,   5/5/2020 6:50,PL,9,8,10,10,10,10,10,10,10,10,8,10,4,10,10,10,60,30,5,5,5,6,5,6,5,0,0,0,0,3,7,9,7,2,0,10,10,10,10,10,10,10,6,6,8,7,7,7,0,7,8,6,8,7,10,9,6,10,9,4,8,8,6,6,7,7,2,4,7,8,40,80,0,16,8,2,,18,2,0,4,,6,1,1,1,213,25,300,4,Poland
1948,   5/5/2020 6:52,PL,8,2,8,9,9,9,9,8,5,2,5,5,0,10,10,100,0,0,0,1,5,5,6,10,10,5,2,5,4,4,10,8,8,0,2,9,7,10,9,7,9,9,0,1,5,5,5,10,2,5,7,5,5,0,6,4,1,2,2,5,10,10,1,1,5,5,4,0,5,5,50,50,5,15,2,1,,63,1,1,3,,8,1,1,1,213,50,3,4,Poland
824,   5/5/2020 6:58,PL,2,7,10,9,10,10,9,9,10,9,7,8,2,3,8,50,30,20,8,8,7,8,8,9,8,8,9,9,8,8,7,8,8,8,9,9,9,8,8,8,8,8,9,9,8,9,8,9,9,9,3,2,9,8,9,7,7,8,8,7,8,9,8,2,9,8,8,8,7,8,80,80,4,9,8,2,,46,3,2,1,,3,1,1,1,213,50,900,4,Poland
1843,   5/5/2020 6:58,PL,6,4,6,6,7,6,4,6,4,4,4,6,4,7,6,90,5,5,6,6,4,4,4,7,6,4,4,4,4,4,6,6,6,4,4,6,6,6,6,4,4,4,7,6,6,6,6,6,6,6,5,5,5,0,4,5,5,5,5,6,6,6,4,5,5,5,6,4,4,5,60,70,4,1,4,1,,69,1,0,5,,6,1,1,1,213,50,3,2,Poland
1172,   5/5/2020 6:58,PL,10,0,10,10,10,6,6,10,10,10,10,10,6,10,10,0,50,50,6,4,6,10,10,10,10,4,4,4,4,10,10,6,6,8,0,10,10,10,10,10,4,6,8,8,10,6,6,6,4,8,6,0,8,6,4,0,0,6,6,0,10,10,4,0,6,10,10,4,4,6,40,60,5,9,6,2,,56,1,1,5,,6,1,1,1,213,50,300,16,Poland
