RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
22-May-2020 16:56:00;4093;NIGERIA;EN-GB;10;0;10;10;10;10;10;10;10;5;10;10;10;10;10;80;10;10;8;5;5;8;10;10;10;5;5;5;5;2;10;10;10;5;0;10;10;10;10;10;9;10;10;10;10;8;10;5;5;10;5;0;10;2;5;0;10;3;7;10;10;0;0;5;2;0;5;7;10;0;20;5;6;10;50;300;16;1;NA;40;3;3;1;NA;8;1;1;1;213;0
22-May-2020 17:00:00;1870;NIGERIA;EN-GB;10;7;8;5;10;9;9;9;5;9;2;10;5;2;8;50;20;30;10;10;5;7;5;9;9;8;9;10;5;5;9;9;9;1;0;5;8;8;9;9;9;8;10;10;5;8;9;9;8;9;1;1;10;5;8;0;9;7;1;10;10;10;0;10;10;0;10;10;10;0;50;5;2;10;25;300;4;1;NA;33;2;0;1;NA;4;1;1;1;213;0
22-May-2020 17:14:00;3059;NIGERIA;EN-GB;10;2;NA;10;10;10;10;10;5;10;0;1;0;0;1;10;60;30;10;10;10;9;4;10;7;10;1;1;0;1;10;8;9;9;3;10;9;8;10;9;9;10;10;10;10;10;8;10;5;10;3;0;10;10;10;2;10;9;3;10;10;9;0;10;8;1;10;10;10;20;80;9;9;10;50;900;4;1;NA;30;1;0;6;NA;6;1;1;1;213;4
22-May-2020 17:17:00;3645;NIGERIA;EN-GB;10;0;8;8;10;4;4;9;8;4;10;10;9;10;10;60;30;10;8;6;5;5;3;10;10;2;3;3;3;5;10;10;10;0;5;9;5;10;8;8;8;0;10;10;9;9;9;9;5;6;4;9;8;4;3;1;5;2;1;9;9;3;1;7;5;1;1;1;10;0;20;6;6;9;50;300;4;1;NA;35;3;1;1;NA;6;1;1;1;213;0
22-May-2020 17:18:00;2012;NIGERIA;EN-GB;10;2;10;8;10;10;10;10;10;8;9;10;10;10;10;20;30;50;3;1;2;10;9;10;10;9;9;6;8;8;10;10;7;2;9;9;9;9;7;2;3;2;3;10;8;7;10;8;1;3;10;0;10;8;10;10;10;8;3;8;3;9;2;7;9;2;6;4;8;60;80;8;16;8;50;300;4;1;NA;24;1;1;2;NA;5;1;1;2;213;0
22-May-2020 17:29:00;2089;NIGERIA;EN-GB;10;1;9;10;10;8;8;9;6;8;8;9;9;10;10;70;20;10;8;2;5;5;10;10;10;9;9;9;10;5;10;10;10;0;0;10;10;10;10;10;2;1;10;10;9;10;10;10;9;8;10;9;9;9;10;1;10;9;1;10;10;5;0;5;0;10;0;8;0;0;80;5;16;8;50;3;4;2;NA;28;1;0;6;Artisan;6;1;1;1;213;7
22-May-2020 17:30:00;1448;NIGERIA;EN-GB;10;5;10;10;4;7;8;8;8;10;8;10;2;7;2;60;25;15;4;7;9;6;9;10;10;0;0;0;0;4;10;4;9;3;8;7;9;9;10;3;6;3;9;10;10;10;8;10;8;10;3;0;6;4;9;5;8;8;3;10;10;5;1;9;7;1;6;10;10;20;10;6;9;7;50;300;4;1;NA;24;1;0;3;NA;1;2;1;1;213;6
22-May-2020 17:34:00;1711;NIGERIA;EN-GB;4;8;7;5;5;5;5;4;7;5;6;10;10;10;10;60;20;20;5;5;8;3;10;10;8;7;9;7;10;5;10;8;5;5;5;10;8;10;9;8;8;9;6;10;10;8;9;7;7;7;9;0;9;8;10;8;9;9;9;10;8;9;10;6;4;0;10;9;10;10;40;3;16;0;50;900;16;1;NA;24;1;0;4;NA;6;1;1;1;213;5
22-May-2020 17:36:00;2068;NIGERIA;EN-GB;10;0;10;10;9;10;10;10;10;10;10;10;10;10;10;50;25;25;8;6;10;10;8;10;8;8;10;8;9;10;10;10;10;3;7;7;9;2;7;7;8;0;10;10;10;9;10;10;8;10;4;0;10;4;7;3;10;9;6;10;9;10;0;9;9;0;10;10;10;10;20;9;10;9;50;300;16;1;NA;30;1;0;2;NA;3;1;1;1;213;8
22-May-2020 17:38:00;1660;NIGERIA;EN-GB;10;1;7;10;7;10;10;10;8;7;9;10;9;9;9;60;20;20;7;5;5;7;6;10;9;6;5;4;3;3;9;10;6;1;2;7;8;10;6;7;10;7;10;8;10;9;9;10;6;10;6;4;8;7;8;3;9;10;0;10;10;8;1;9;10;0;9;9;10;20;40;6;16;9;25;3;4;1;NA;23;1;0;4;NA;6;1;1;1;213;0
