RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2,"live_in_kurdistan(1=no,2=yes)"
26/04/20 13:52,3084,KURDISTAN,KU,9,1,9,8,8,7,7,6,5,6,6,9,8,8,9,70,0,30,6,5,5,5,5,6,6,2,2,3,2,3,7,7,7,1,2,8,8,9,7,5,6,6,1,2,4,5,6,7,5,5,5,1,7,5,6,3,7,6,5,8,8,5,1,6,6,1,6,7,7,10,30,5,1,7,50,300,,1,,46,3,2,1,,6,1,1,1,213,0,1
26/04/20 13:57,1687,KURDISTAN,KU,2,7,10,3,4,5,5,7,7,10,10,5,0,10,10,0,50,50,10,10,5,10,5,0,0,5,10,6,6,0,10,10,10,0,0,5,5,5,10,0,5,10,10,10,10,10,10,10,10,10,0,0,10,0,10,0,10,10,0,10,10,0,0,10,10,0,0,5,10,0,10,4,16,10,25,300,4,1,,30,1,0,1,,2,1,1,1,213,0,1
26/04/20 14:02,1323,KURDISTAN,KU,8,1,8,8,10,9,10,10,8,8,10,10,6,10,9,40,50,10,,5,5,7,9,9,10,2,1,1,1,9,8,9,9,0,2,8,9,9,7,6,4,2,4,4,6,3,4,4,6,3,8,7,8,6,8,10,9,7,8,8,8,5,1,,6,1,6,6,6,70,80,7,9,6,50,300,4,1,,42,3,5,1,,5,1,1,1,213,0,1
26/04/20 14:14,1940,KURDISTAN,KU,7,2,8,0,0,6,3,6,2,7,6,8,6,7,9,60,30,10,7,7,2,2,4,7,6,8,3,2,2,2,10,10,10,2,1,8,6,8,7,6,6,6,7,7,9,3,4,9,8,8,3,3,9,2,2,2,3,3,1,10,10,2,1,3,4,9,2,8,7,0,10,6,16,9,50,300,16,2,,39,1,,1,,6,1,1,1,213,0,1
26/04/20 14:16,784,KURDISTAN,KU,10,6,10,7,10,9,9,10,1,10,2,10,2,9,10,30,40,30,7,9,9,10,10,10,10,0,6,0,0,7,8,9,8,2,8,5,5,5,5,5,5,5,9,5,8,8,9,10,4,9,6,1,9,1,8,3,9,6,3,5,5,5,5,5,5,5,5,5,8,10,40,5,16,9,50,27000,4,1,,35,3,0,1,,3,1,1,1,213,9,1
26/04/20 14:16,1286,KURDISTAN,KU,10,6,0,5,5,10,6,10,5,10,10,10,10,10,10,30,50,20,1,8,10,10,10,10,10,5,0,0,0,10,9,10,10,0,3,5,5,5,5,5,5,5,10,9,3,5,7,6,5,8,8,8,10,5,8,6,10,10,9,9,7,7,0,10,8,3,8,9,10,10,50,5,,7,50,1800,16,2,,21,1,0,4,,6,1,1,1,213,9,1
26/04/20 14:18,1964,KURDISTAN,KU,10,4,10,9,10,8,2,1,0,0,6,10,9,9,10,5,60,35,4,5,10,9,10,10,10,5,3,7,6,3,10,10,10,0,2,9,8,10,8,5,6,10,8,9,3,7,8,7,7,9,9,2,10,8,9,3,9,8,1,10,10,9,0,8,9,0,6,9,10,0,10,5,2,10,50,300,,2,,20,1,0,4,,6,1,1,1,213,0,1
26/04/20 14:19,2529,KURDISTAN,KU,10,2,10,10,10,10,10,10,7,10,10,10,10,10,10,30,30,40,10,10,10,10,10,10,10,1,1,1,10,2,10,10,10,2,2,10,10,10,10,10,10,10,10,9,10,9,10,10,7,10,10,3,10,4,10,10,10,10,4,10,10,10,1,10,10,3,10,10,10,0,50,5,10,10,50,300,8,2,,50,3,4,5,,6,1,1,1,213,0,1
26/04/20 14:28,1496,KURDISTAN,KU,10,10,10,10,10,10,10,10,5,5,10,10,10,10,10,50,40,10,0,0,10,10,10,5,5,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10,0,10,0,0,10,10,10,10,10,0,0,10,10,0,0,10,10,0,10,10,10,0,10,10,0,0,10,10,20,10,10,1,10,,100,,1,,23,1,0,4,,6,2,1,1,213,5,1
26/04/20 14:56,1844,KURDISTAN,KU,10,8,10,10,9,7,5,10,7,10,9,10,6,9,8,0,80,20,9,9,6,8,10,10,10,5,0,1,2,2,9,9,8,9,2,7,6,9,9,8,10,10,8,3,3,1,5,6,8,7,9,9,9,1,8,0,9,8,2,9,9,7,10,9,8,0,0,1,9,10,10,5,11,10,25300,300,7,2,,32,1,0,4,,4,1,1,1,213,7,1
