"cntr","religious","Age","Gender","Education","SES","Country","Source","Trust"
1,1,36,2,3,0.5,"US","t_scientists",0.666666666666667
1,1,36,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,NA,27,1,3,0.5,"US","t_scientists",1
1,NA,27,1,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,65,1,3,1,"US","t_scientists",1
1,1,65,1,3,1,"US","t_tradHealers",1
1,1,70,2,2,1,"US","t_scientists",0.666666666666667
1,1,70,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,67,1,2,NA,"US","t_scientists",0.666666666666667
1,1,67,1,2,NA,"US","t_tradHealers",0.666666666666667
1,1,23,1,2,0,"US","t_scientists",0.333333333333333
1,1,23,1,2,0,"US","t_tradHealers",NA
1,1,37,1,3,1,"US","t_scientists",1
1,1,37,1,3,1,"US","t_tradHealers",0
1,1,51,2,2,0.5,"US","t_scientists",0.666666666666667
1,1,51,2,2,0.5,"US","t_tradHealers",0.333333333333333
1,1,71,1,3,1,"US","t_scientists",1
1,1,71,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,83,2,2,1,"US","t_scientists",NA
1,1,83,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,65,1,2,1,"US","t_scientists",1
1,1,65,1,2,1,"US","t_tradHealers",NA
1,1,40,1,2,0.5,"US","t_scientists",1
1,1,40,1,2,0.5,"US","t_tradHealers",NA
1,1,26,1,3,1,"US","t_scientists",0.666666666666667
1,1,26,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,67,2,3,1,"US","t_scientists",1
1,1,67,2,3,1,"US","t_tradHealers",1
1,1,68,2,2,1,"US","t_scientists",0.666666666666667
1,1,68,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,65,1,2,1,"US","t_scientists",0.666666666666667
1,1,65,1,2,1,"US","t_tradHealers",NA
1,1,36,1,3,1,"US","t_scientists",1
1,1,36,1,3,1,"US","t_tradHealers",0
1,1,52,1,3,0.5,"US","t_scientists",0.666666666666667
1,1,52,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,1,50,1,2,1,"US","t_scientists",0.666666666666667
1,1,50,1,2,1,"US","t_tradHealers",0
1,1,47,2,3,1,"US","t_scientists",1
1,1,47,2,3,1,"US","t_tradHealers",0.333333333333333
1,0,58,1,2,1,"US","t_scientists",0.666666666666667
1,0,58,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,60,2,2,1,"US","t_scientists",1
1,1,60,2,2,1,"US","t_tradHealers",1
1,0,21,2,2,0.5,"US","t_scientists",0.666666666666667
1,0,21,2,2,0.5,"US","t_tradHealers",1
1,NA,41,1,2,0.5,"US","t_scientists",0.666666666666667
1,NA,41,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,42,2,3,1,"US","t_scientists",0.666666666666667
1,1,42,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,58,2,3,0.5,"US","t_scientists",1
1,1,58,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,33,1,2,0.5,"US","t_scientists",1
1,1,33,1,2,0.5,"US","t_tradHealers",NA
1,NA,25,2,2,0,"US","t_scientists",0.666666666666667
1,NA,25,2,2,0,"US","t_tradHealers",0.666666666666667
1,1,64,2,3,1,"US","t_scientists",0.666666666666667
1,1,64,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,21,1,2,1,"US","t_scientists",0.666666666666667
1,1,21,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,56,1,3,1,"US","t_scientists",0.666666666666667
1,1,56,1,3,1,"US","t_tradHealers",NA
1,1,65,1,3,1,"US","t_scientists",0.666666666666667
1,1,65,1,3,1,"US","t_tradHealers",NA
1,1,72,1,3,1,"US","t_scientists",0.333333333333333
1,1,72,1,3,1,"US","t_tradHealers",1
1,0,57,1,2,0,"US","t_scientists",0.666666666666667
1,0,57,1,2,0,"US","t_tradHealers",0.666666666666667
1,1,68,2,3,1,"US","t_scientists",0.666666666666667
1,1,68,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,26,1,3,0.5,"US","t_scientists",0.666666666666667
1,1,26,1,3,0.5,"US","t_tradHealers",0
1,NA,75,2,3,1,"US","t_scientists",1
1,NA,75,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,52,2,3,0.5,"US","t_scientists",0.666666666666667
1,1,52,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,66,2,2,1,"US","t_scientists",1
1,1,66,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,45,1,3,1,"US","t_scientists",0.333333333333333
1,1,45,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,67,2,2,0,"US","t_scientists",0.333333333333333
1,1,67,2,2,0,"US","t_tradHealers",1
1,0,66,1,1,1,"US","t_scientists",0.333333333333333
1,0,66,1,1,1,"US","t_tradHealers",1
1,1,90,1,3,1,"US","t_scientists",1
1,1,90,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,47,2,3,1,"US","t_scientists",0.666666666666667
1,1,47,2,3,1,"US","t_tradHealers",1
1,0,50,1,2,0.5,"US","t_scientists",1
1,0,50,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,52,2,3,0.5,"US","t_scientists",1
1,1,52,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,60,1,2,1,"US","t_scientists",0.666666666666667
1,1,60,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,27,1,3,1,"US","t_scientists",0.666666666666667
