CONSENT FORM_0;CONSENT FORM_2;CONSENT FORM_3;QCONSENT FORM_4;physical_contact_0;physical_contact_1;physical_contact_2;physical_contact_3;physical_contact_4;physical_hygiene_0;physical_hygiene_1;physical_hygiene_2;physical_hygiene_3;physical_hygiene_4;policy_support_0;policy_support_1;policy_support_2;policy_support_3;policy_support_4;Generosity_1;Generosity_2;Generosity_3;psych_wellbeing0;psych_wellbeing1;collective_narcis_0;collective_narcis_1;collective_narcis_2;national_identity_0;national_identity_1;conspiracy_theories_0;conspiracy_theories_1;conspiracy_theories_2;conspiracy_theories_3;Open_mind_0;Open_mind_1;Open_mind_2;Open_mind_3;Open_mind_4;Open_mind_5;Morality_cooper_0;Morality_cooper_1;Morality_cooper_2;Morality_cooper_3;Morality_cooper_4;Morality_cooper_5;Morality_cooper_6;trait_optimism_0;trait_optimism_1;social_belonging_0;social_belonging_1;social_belonging_2;social_belonging_3;trait_self-control_0;trait_self-control_1;trait_self-control_2;trait_self-control_3;self-esteem;Attention check_0;narcissism_0;narcissism_1;narcissism_2;narcissism_3;narcissism_4;narcissism_5;moral_identity_0;moral_identity_1;moral_identity_2;moral_identity_3;moral_identity_4;moral_identity_5;moral_identity_6;moral_identity_7;moral_identity_8;moral_identity_9;risk_perception_1;risk_perception_2;political_ideology;moral_circle;health;CRT1;CRT2 ;CRT3;sex;sex_other;age;marital;children;employment;employment_other;ladder;urban ;tested_positive;know_tested_positive;no_bots
0;0;0;0;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;40;40;20;2;3;8;8;8;10;10;8;1;1;2;5;10;10;10;0;0;6;6;9;8;5;5;5;7;5;8;8;7;9;8;8;4;2;4;0;1;1;6;5;5;1;9;8;5;0;8;7;2;5;5;9;10;50;5;11;5;50;3;4;2;-2;49;2;0;2;-2;7;1;1;1;213
0;0;0;0;10;0;10;10;10;5;8;10;6;10;10;10;7;10;10;75;25;0;6;4;5;7;5;10;10;5;0;0;1;8;10;10;10;0;1;5;5;9;6;3;2;8;10;10;6;6;5;6;10;8;7;7;5;0;5;5;5;5;5;0;10;6;5;0;2;5;3;5;5;9;0;25;5;10;10;25;3;7;2;-2;50;3;1;3;-2;7;1;1;1;213
0;0;0;0;9;0;9;10;10;7;7;10;7;10;10;10;10;10;10;85;10;5;4;4;6;6;6;10;9;3;0;0;0;3;10;10;10;0;0;7;7;7;7;7;10;10;5;5;3;6;5;5;7;8;5;3;5;0;3;2;2;2;2;2;10;9;7;0;8;8;8;5;2;8;20;25;3;10;7;50;300;7;2;-2;50;3;1;3;-2;5;1;1;1;213
0;0;0;0;5;1;6;9;9;9;9;9;8;9;8;8;7;8;9;70;15;15;4;3;5;3;2;9;8;5;5;6;5;5;8;7;7;1;1;6;5;7;6;7;8;7;6;6;2;3;2;6;8;7;3;7;3;0;5;3;2;3;3;0;6;7;5;5;6;4;6;7;5;6;40;50;5;1;6;50;3;4;2;-2;50;1;2;2;-2;8;1;1;1;213
0;0;0;0;0;10;10;0;0;0;10;10;0;10;10;0;0;10;10;100;0;0;5;5;10;10;10;10;10;0;0;0;0;5;10;10;10;0;0;10;10;10;10;10;10;10;10;10;5;0;8;10;5;10;5;0;0;5;0;0;5;0;0;10;10;10;10;0;0;10;0;0;0;10;0;20;0;3;5;25;3;7;1;-2;50;3;2;1;-2;9;1;1;1;213
0;0;0;0;10;5;9;10;10;10;10;10;9;10;8;5;0;8;8;40;30;30;5;5;2;5;2;10;5;2;2;5;10;5;2;10;10;2;9;5;5;10;10;5;6;10;6;6;8;8;8;8;5;8;5;3;5;0;5;5;2;5;5;2;5;5;2;5;5;5;5;5;5;5;70;70;5;16;7;50;300;7;2;-2;50;3;1;2;-2;5;1;1;2;213
0;0;0;0;8;0;8;9;10;5;5;10;4;10;8;10;7;10;10;30;50;20;7;5;9;9;9;10;8;5;5;6;4;8;10;10;10;1;2;8;7;10;8;9;5;7;8;8;7;7;7;10;5;5;8;7;7;0;4;3;7;5;4;5;8;8;0;0;4;5;1;1;0;8;10;30;0;14;8;50;3;4;2;-2;50;3;3;1;-2;7;1;1;1;213
0;0;0;0;10;0;10;10;10;10;10;10;0;0;10;10;0;10;5;100;0;0;1;3;0;0;0;10;10;10;5;0;0;0;10;10;10;0;0;5;0;10;10;10;5;10;5;5;5;5;5;9;7;10;2;1;8;0;0;5;10;7;0;4;10;10;0;0;5;5;0;0;0;10;50;50;5;11;6;50;3;7;1;-2;50;3;5;3;-2;5;1;1;1;213
0;0;0;0;10;0;10;8;5;2;1;5;0;10;10;10;10;10;10;50;40;10;5;6;3;5;10;10;10;2;1;3;8;2;10;10;10;1;0;9;2;10;7;9;6;10;7;9;7;8;10;10;4;8;7;3;5;0;1;0;5;1;3;5;10;8;5;2;5;3;7;5;9;10;0;20;2;5;8;25;3;4;1;-2;50;1;0;2;-2;4;1;1;1;213
0;0;0;0;10;0;10;8;10;10;10;10;10;10;10;5;0;10;8;60;20;20;5;5;0;5;0;10;6;8;0;2;7;8;10;10;10;0;0;10;10;10;8;7;2;0;8;10;10;10;10;10;3;10;8;7;10;0;6;8;3;2;9;0;10;10;5;0;10;10;0;8;6;10;50;50;5;14;5;25;3;7;1;-2;50;1;2;3;-2;4;1;1;2;213
