RecordDate,Duration_sec,Country,Language,physical_contact__1,physical_contact__2,physical_contact__3,physical_contact__4,physical_contact__5,physical_hygiene__1,physical_hygiene__2,physical_hygiene__3,physical_hygiene__4,physical_hygiene__5,policy_support__1,policy_support__2,policy_support__3,policy_support__4,policy_support__5,generosity__1,generosity__2,generosity__3,psych_wellbeing1,psych_wellbeing2,collective_narcis__1,collective_narcis__2,collective_narcis__3,national_identity__1,national_identity__2,Conspiracy_theories__1,Conspiracy_theories__2,Conspiracy_theories__3,Conspiracy_theories__4,open_mindedness__1,open_mindedness__2,open_mindedness__3,open_mindedness__4,open_mindedness__5,open_mindedness__6,morality_as_cooperat_1,morality_as_cooperat_2,morality_as_cooperat_3,morality_as_cooperat_4,morality_as_cooperat_5,morality_as_cooperat_6,morality_as_cooperat_7,trait_optimism_1,trait_optimism_2,social_belonging__1,social_belonging__2,social_belonging__3,social_belonging__4,trait_self.control__1,trait_self.control__2,trait_self.control__3,trait_self.control__4,Self.esteem,Narcissism__1,Narcissism__2,Narcissism__3,Narcissism__4,Narcissism__5,Narcissism__6,Moral_ID__1,Moral_ID__2,Moral_ID__3,Moral_ID__4,Moral_ID__5,Moral_ID__6,Moral_ID__7,Moral_ID__8,Moral_ID__9,Moral_ID__10,risk_perception__1,risk_perception__2,political_ideology,moral_circle,health_cond,CRT1,CRT2,CRT3,sex,sex_other,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
27-May-20,1636,UKRAINE,EN,6,2,9,7,10,7,6,10,4,9,10,10,7,10,10,75,20,5,6,5,1,0,2,10,10,0,0,0,0,0,10,8,10,0,0,6,5,10,6,0,4,10,6,6,3,4,5,4,8,9,5,5,6,2,5,3,5,1,3,8,7,1,0,3,7,2,2,3,7,10,1,5,1,8,50,300,7,1,NA,19,1,0,4,NA,4,1,1,1,213,0
27-May-20,65535,UKRAINE,EN,5,2,5,8,9,8,8,9,6,5,10,9,3,9,9,70,20,10,5,5,6,6,5,7,3,10,4,3,2,7,9,9,9,1,2,7,6,8,8,8,9,8,5,6,6,7,7,7,5,8,3,1,4,3,8,9,5,3,7,8,5,4,0,2,1,6,1,0,8,5,5,7,7,6,50,3,4,1,NA,40,3,1,2,NA,7,1,1,1,213,0
27-May-20,1075,UKRAINE,EN,5,5,5,5,10,10,10,10,10,10,10,10,5,10,10,50,25,25,7,7,10,10,8,10,10,5,5,8,7,5,10,10,10,5,0,9,9,9,9,5,5,5,10,10,8,8,10,10,8,10,3,2,0,0,10,0,10,10,0,10,10,10,0,10,10,0,10,10,10,0,0,5,2,8,50,300,4,1,NA,34,1,0,1,NA,5,1,1,1,213,0
27-May-20,1656,UKRAINE,EN,1,8,1,10,10,10,10,10,10,5,5,10,0,10,8,0,60,40,7,6,5,8,2,9,8,6,2,0,0,0,10,7,10,0,2,5,5,8,8,9,8,10,7,5,3,1,5,5,5,8,3,7,7,0,2,10,5,2,0,10,5,1,0,1,0,3,0,0,8,99,90,5,11,7,25,3,7,1,NA,30,3,0,3,NA,6,1,1,1,213,0
27-May-20,1931,UKRAINE,EN,3,9,4,5,5,7,7,10,2,8,5,6,0,6,3,70,25,5,7,7,5,6,7,9,9,5,5,8,9,7,8,8,8,3,3,3,3,8,7,3,7,7,6,8,7,7,8,8,6,7,3,4,7,5,4,4,6,5,0,9,6,5,2,5,2,2,4,3,7,10,30,5,9,7,25,3,7,2,NA,26,3,1,6,Maternity leave,6,1,1,1,213,0
27-May-20,2885,UKRAINE,EN,0,10,10,10,10,5,5,5,5,10,5,10,8,10,6,50,28,22,5,5,5,5,5,10,9,5,5,5,5,4,10,10,10,0,0,0,0,10,10,5,10,10,5,5,10,10,6,10,0,5,10,5,8,0,5,0,10,5,0,10,6,5,0,5,10,0,8,0,10,20,20,5,10,4,25,300,4,2,NA,22,1,0,1,NA,6,1,1,1,213,0
27-May-20,3513,UKRAINE,EN,10,10,8,0,10,8,8,8,8,0,7,7,2,10,10,30,40,30,4,5,5,0,0,5,0,8,2,5,2,2,10,10,10,0,5,10,6,10,10,7,10,10,5,10,9,8,5,9,4,6,4,2,5,2,5,9,5,5,5,10,5,0,0,5,5,0,0,0,9,5,10,5,13,5,50,3,7,2,NA,48,3,1,2,NA,6,1,1,1,213,0
27-May-20,2209,UKRAINE,EN,10,1,10,10,10,3,3,10,10,8,0,0,0,5,0,100,0,0,2,3,9,9,9,10,10,9,9,9,10,10,10,10,10,0,0,10,5,10,2,2,10,10,2,3,0,0,0,0,10,10,2,4,1,9,7,10,10,2,5,8,8,2,4,2,0,8,1,1,5,0,100,8,16,5,50,300,4,1,NA,33,3,2,2,NA,6,1,1,1,213,0
27-May-20,2042,UKRAINE,EN,5,2,9,10,10,10,10,10,10,10,10,10,10,10,10,60,39,1,4,3,10,10,10,10,10,10,10,10,7,3,10,10,9,1,0,8,7,10,9,9,10,10,10,10,7,4,6,9,7,6,6,9,5,5,8,3,9,5,7,10,8,1,0,7,0,2,0,0,9,50,50,7,16,6,25,3,4,1,NA,30,3,1,1,NA,6,1,2,2,213,0
27-May-20,1224,UKRAINE,EN,0,10,0,3,5,2,2,9,2,8,3,3,0,5,0,98,1,1,7,7,5,5,5,10,10,9,10,10,10,7,9,9,8,3,3,8,8,9,9,9,9,9,7,8,5,4,5,3,5,5,8,5,5,6,5,9,4,3,5,9,7,5,1,1,1,1,1,1,9,50,50,6,5,7,50,3,7,1,NA,42,3,1,1,NA,5,1,1,1,213,0
27-May-20,1507,UKRAINE,EN,2,2,2,5,4,8,8,8,2,5,7,3,3,5,2,98,1,1,1,1,2,2,2,9,5,8,8,8,8,5,5,5,5,2,5,5,3,3,3,2,3,3,3,9,5,5,5,5,2,5,9,9,5,5,5,5,5,3,3,5,5,5,5,5,5,5,3,3,5,5,50,5,2,3,50,3,4,1,NA,47,NA,0,2,NA,9,1,1,1,213,0
27-May-20,1715,UKRAINE,EN,10,2,10,10,10,10,10,10,5,10,10,10,10,10,10,50,25,25,5,5,10,5,10,10,10,5,0,0,5,0,10,10,10,0,0,10,5,10,10,10,5,0,10,10,5,7,10,10,7,7,5,0,0,0,10,0,10,10,0,10,10,5,0,10,10,0,10,10,10,1,50,5,5,5,50,300,4,2,NA,30,3,1,1,NA,6,1,1,1,213,0
27-May-20,2922,UKRAINE,EN,10,5,10,9,9,9,9,9,8,7,10,10,10,10,10,75,20,5,6,6,5,5,5,10,10,9,7,8,8,3,9,9,9,0,0,8,5,9,9,9,9,9,9,7,7,8,9,9,7,8,4,5,8,4,5,5,8,8,2,9,9,8,1,1,7,7,7,2,5,1,1,5,5,6,50,300,4,1,NA,36,1,0,1,NA,5,1,1,1,213,0
27-May-20,5547,UKRAINE,EN,3,5,2,6,3,4,6,6,5,5,4,5,4,5,4,94,3,3,8,7,4,5,4,5,6,5,4,5,5,6,6,4,6,4,7,4,5,5,5,4,4,6,4,6,3,5,4,5,4,4,3,3,5,4,5,4,5,4,5,3,4,4,4,4,5,5,4,5,4,50,50,3,2,8,50,300,4,1,NA,35,3,1,2,NA,7,1,1,1,213,0
27-May-20,2118,UKRAINE,EN,8,10,10,9,10,5,8,10,10,10,0,5,0,8,0,0,0,100,5,0,0,0,0,10,7,5,5,7,7,3,10,10,10,0,0,5,5,10,5,5,10,10,8,8,8,5,7,5,7,7,5,5,5,0,5,5,5,0,0,9,9,0,0,5,5,8,5,5,9,50,50,2,16,7,25,3,7,1,NA,52,3,3,5,NA,8,1,1,1,213,0
27-May-20,2439,UKRAINE,EN,10,0,10,10,10,8,10,10,8,10,10,10,10,10,10,70,15,15,3,5,8,7,9,10,10,3,10,10,4,5,10,10,8,0,3,7,8,10,10,10,10,9,5,6,0,5,5,7,3,5,9,7,4,4,0,3,5,1,0,10,8,5,0,5,3,10,2,2,10,30,30,5,9,3,25,3,2,2,NA,26,3,1,3,NA,8,1,1,1,213,0
