RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;k1w_tested_positive;AttCheck_1bots;AttCheck2
1/05/20 15:15;Not available;Argentina;SPA;3;8;3;10;10;8;8;9;5;4;7;6;4;7;7;100,00;0,00;0,00;4;7;6;7;5;7;4;0;0;0;0;7;9;7;8;2;6;8;8;9;8;8;3;4;8;8;8;8;9;8;8;9;5;6;6;8;8;6;4;8;3;9;7;3;1;7;1;1;5;5;8;20;80;9;6;8;0,50;20;5;2;;47;3;3;1;Not available;7;1;1;2;213;0
1/05/20 15:21;Not available;Argentina;SPA;10;0;10;10;10;10;10;10;8;6;10;10;10;10;10;46,67;6,67;40,00;5;7;5;6;5;8;8;0;0;6;0;6;10;1;10;0;0;5;7;5;5;5;5;5;8;8;7;7;7;9;7;9;7;8;5;0;0;0;0;0;0;4;10;0;1;6;0;0;0;7;0;80;80;4;9;8;0,10;100;24;2;;32;2;0;1;Not available;7;1;1;1;213;10
1/05/20 15:22;Not available;Chile;SPA;10;1;10;10;10;10;8;10;3;4;9;10;10;10;10;50,00;50,00;0,00;8;8;5;5;5;7;6;0;0;0;0;2;7;9;8;2;3;10;7;10;9;0;0;10;9;9;7;6;7;8;9;9;2;2;8;7;6;7;9;7;7;10;7;5;1;2;2;2;4;1;6;90;90;8;3;9;0,05;5;47;1;;34;3;2;1;Not available;8;1;1;1;213;0
1/05/20 15:32;Not available;Argentina;SPA;10;0;5;10;10;10;10;10;10;10;10;10;10;10;10;0,00;100,00;100,00;6;6;0;2;6;10;10;0;0;0;0;0;10;10;10;0;0;10;10;6;6;6;6;2;4;5;6;6;6;10;2;6;10;0;4;0;0;0;0;0;0;10;8;2;0;0;6;2;2;2;4;30;50;2;8;6;1,05;5;47;1;;64;3;2;1;Not available;8;1;1;1;213;0
1/05/20 15:39;Not available;Argentina;SPA;10;2;10;9;10;10;10;10;9;10;10;10;7;10;9;5,19;47,41;47,41;0;1;1;6;2;7;1;0;0;0;0;2;9;7;9;4;2;4;8;9;5;8;1;2;4;4;4;7;6;9;7;8;4;7;3;8;2;2;2;2;7;8;8;3;1;8;8;1;5;8;9;30;30;3;7;8;0,05;5;47;2;;22;2;0;4;Not available;7;1;1;1;213;0
1/05/20 15:56;Not available;Colombia;SPA;8;4;10;6;5;9;9;7;4;9;10;10;10;10;10;20,39;50,99;30,59;1;4;7;8;8;10;6;1;0;1;1;4;6;3;6;1;1;7;5;6;6;7;6;5;2;6;3;3;4;6;3;1;9;8;0;7;0;6;1;0;6;7;5;4;2;2;3;1;3;2;10;20;30;4;3;1;0,10;5;12;2;;19;1;0;4;Not available;5;2;1;1;213;0
1/05/20 15:57;Not available;Argentina;SPA;10;0;10;10;10;9;9;10;10;10;10;10;10;10;10;0,00;0,00;0,00;8;10;3;8;8;10;10;5;5;5;5;2;10;0;10;0;0;2;10;10;10;10;0;0;9;9;10;10;10;9;8;10;3;1;5;0;0;0;1;0;7;10;10;5;0;8;9;0;3;0;9;100;80;3;16;6;10,00;5;47;1;;48;3;4;1;Not available;6;1;1;1;213;0
1/05/20 16:02;Not available;Argentina;SPA;10;0;4;10;10;10;10;10;5;10;10;10;10;10;10;50,00;50,00;0,00;10;10;10;10;10;10;10;5;5;5;5;5;10;10;10;5;5;10;10;10;10;5;5;10;10;10;10;8;9;10;10;10;10;5;8;5;5;0;6;7;5;10;10;5;0;10;0;10;10;10;10;50;50;5;7;7;10,00;5;24;1;;48;3;3;2;Not available;7;1;1;1;213;5
1/05/20 16:13;Not available;Argentina;SPA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;42,86;42,86;14,29;9;8;7;5;7;9;8;0;0;0;0;5;10;10;10;0;8;10;10;8;8;6;2;0;10;10;9;8;8;9;7;10;7;7;8;7;5;0;10;8;0;10;9;0;0;8;8;7;5;7;8;60;50;5;14;8;0,50;5;47;1;;45;2;0;6;Not available;0;1;1;1;213;0
1/05/20 16:16;Not available;Mexico;SPA;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;0,00;0,00;0,00;9;7;10;10;10;10;10;5;5;5;5;5;10;10;10;0;5;10;10;5;5;5;5;5;10;10;10;10;10;10;10;10;0;0;10;0;10;5;10;5;5;10;10;5;0;10;10;0;5;10;10;50;100;5;9;10;10,00;100;47;1;;42;3;2;2;Not available;7;1;1;2;213;0
