RecordDate;Duration_sec;ISO-3;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;SUM_GEN;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2
14/05/2020 15:47;2925;ARE;EN;10;5;10;10;9;10;10;10;8;8;10;5;5;10;10;40;40;20;;6;6;10;10;10;8;10;10;10;10;10;5;10;10;10;2;1;10;10;10;9;9;5;1;10;10;10;10;10;10;7;8;1;1;10;5;6;8;8;5;5;5;10;10;10;5;10;0;10;10;10;0;100;5;10;10;50;3 minutes;4 hours;1;;27;1;1;3;;6;1;1;1;213;1
14/05/2020 20:47;1799;ARE;EN;9;1;10;10;10;10;10;10;10;10;10;10;10;10;10;40;50;10;;8;10;10;7;10;10;10;5;5;5;5;0;10;10;10;0;0;1;10;10;10;0;10;0;10;10;10;10;10;10;3;7;7;0;10;10;1;10;3;2;5;10;10;8;0;0;0;0;0;10;5;0;10;5;16;6;50;3;4;1;;29;2;1;1;;4;1;1;1;213;10
14/05/2020 23:01;33916;ARE;EN;10;0;5;10;10;10;10;10;1;3;10;10;10;10;10;40;30;30;;6;9;9;10;10;10;10;5;1;0;2;10;10;10;10;1;0;10;8;7;5;5;9;0;10;10;9;10;10;10;10;10;0;0;10;5;10;0;10;10;4;10;10;5;0;1;4;0;10;10;10;10;90;5;5;10;50;3 minutes;2 hours;2;;27;1;0;2;;6;2;1;2;213;0
14/05/2020 23:27;1350;ARE;EN;5;8;5;7;9;7;8;8;10;8;1;8;9;10;9;65;30;5;;7;8;6;7;5;10;10;5;6;6;6;2;9;9;10;6;1;8;9;10;8;5;7;1;10;9;10;10;9;10;7;8;7;1;9;3;4;1;6;7;1;8;8;4;7;4;4;2;4;4;5;0;20;6;1;8;49.5 cents;3 minutes;4.5 hours;1;;27;1;1;1;;7;1;1;1;213;0
14/05/2020 23:33;1518;ARE;EN;8;2;5;8;9;9;9;9;5;9;9;9;9;9;9;50;30;20;;9;8;10;9;10;10;9;9;9;5;5;9;10;10;10;9;9;7;7;4;7;7;7;7;8;9;8;8;10;10;8;9;5;4;8;8;9;2;8;4;4;10;10;9;0;9;7;1;9;9;10;50;50;6;7;7;50;3;16;2;;28;1;1;1;;7;2;1;2;213;0
15/05/2020 00:58;1280;ARE;EN;10;1;10;10;10;9;10;10;6;3;10;10;8;10;10;0;90;10;;7;7;1;0;0;0;1;4;4;0;3;0;10;10;10;0;0;0;1;7;8;9;1;9;9;7;8;8;9;9;7;9;2;0;9;2;2;1;0;5;0;9;9;0;0;7;9;0;5;2;5;90;90;5;10;9;50;300;4;2;;26;3;0;6;;5;1;2;2;213;6
15/05/2020 05:05;3986;ARE;EN;10;0;1;8;10;8;8;8;8;8;8;10;8;7;10;80;10;10;;8;5;5;5;5;10;8;9;5;6;5;2;9;9;9;0;0;1;0;0;0;0;9;0;10;10;7;7;7;9;9;9;1;0;8;2;8;5;1;0;10;10;10;8;0;10;9;0;8;8;10;0;0;6;16;10;15 cents;300 minutes;;2;;27;1;0;1;;6;1;1;1;213;0
15/05/2020 05:34;6489;ARE;EN;9;1;10;7;10;10;10;8;8;10;10;10;10;10;10;60;30;10;;7;7;9;8;7;9;9;1;1;1;1;6;10;10;10;0;1;10;9;9;9;8;8;10;9;8;7;8;8;7;9;8;6;2;8;6;8;1;9;7;2;10;10;9;1;8;9;1;5;10;10;40;60;7;1;8;50;300 minutes;Four hours;2;;28;1;0;1;;11;1;1;2;213;0
15/05/2020 06:39;1948;ARE;EN;9;4;9;10;10;9;10;10;9;10;10;10;10;10;10;30;50;20;;5;5;10;10;10;1;2;5;0;0;0;0;10;10;10;0;0;10;10;10;10;5;0;0;10;9;3;6;6;5;9;10;6;0;10;5;7;0;5;2;0;10;10;10;0;10;10;0;10;10;10;50;80;5;16;10;25;300 minutes;;1;;31;1;0;6;Artist;4;1;1;2;213;0
15/05/2020 07:48;3403;ARE;EN;5;2;7;6;10;9;9;9;6;9;8;10;10;10;10;70;20;10;;4;5;5;5;5;3;4;5;1;5;5;4;10;10;10;0;0;10;7;10;10;10;10;10;8;7;5;7;7;10;5;9;7;2;5;7;5;3;6;5;1;8;8;7;0;10;8;0;3;8;10;60;70;5;14;7;;300 minutes;;1;;30;1;0;6;Self employed;4;2;1;1;213;5
