"","RecordedDate","Duration_sec","Country","Language","physical_contact_1","physical_contact_2","physical_contact_3","physical_contact_4","physical_contact_5","physical_hygiene_1","physical_hygiene_2","physical_hygiene_3","physical_hygiene_4","physical_hygiene_5","policy_support_1","policy_support_2","policy_support_3","policy_support_4","policy_support_5","generosity_1","generosity_2","generosity_3","psych_wellbeing1","psych_wellbeing2","collective_narcis_1","collective_narcis_2","collective_narcis_3","national_identity_1","national_identity_2","Conspiracy_theories_1","Conspiracy_theories_2","Conspiracy_theories_3","Conspiracy_theories_4","open_mindedness_1","open_mindedness_2","open_mindedness_3","open_mindedness_4","open_mindness_5","open_mindness_6","morality_as_cooperat_1","morality_as_cooperat_2","morality_as_cooperat_3","morality_as_cooperat_4","morality_as_cooperat_5","morality_as_cooperat_6","morality_as_cooperat_7","trait_optimism_1","trait_optimism_2","social_belonging_1","social_belonging_2","social_belonging_3","social_belonging_4","trait_self_control_1","trait_self_control_2","trait_self_control_3","trait_self_control_4","self_esteem","narcissism_1","narcissism_2","narcissism_3","narcissism_4","narcissism_5","narcissism_6","Moral_ID_1","Moral_ID_2","Moral_ID_3","Moral_ID_4","Moral_ID_5","Moral_ID_6","Moral_ID_7","Moral_ID_8","Moral_ID_9","Moral_ID_10","risk_perception_1","risk_perception_2","political_ideology","moral_circle","health_cond","CRT1","CRT2","CRT3","sex","sex_other","age","marital_status","children","employ_status","employ_status_other","Ladder","urban","tested_positive","know_tested_positive","AttCheck_nobots","AttCheck2"
"12","02/05/2020 02:54",2979,"MOROCCO","FRENCH",5,6,10,10,10,8,7,8,8,6,9,10,10,10,10,90,8,2,0,0,10,7,9,7,6,6,4,8,7,6,8,8,8,0,5,NA,5,10,3,4,NA,0,3,6,7,6,5,4,4,4,4,4,4,7,10,5,8,10,7,8,8,0,10,5,5,10,10,0,10,70,80,4,1,2,"50","300","4",1,"",30,1,0,2,"",6,1,2,2,"213",0
"13","02/05/2020 07:02",2721,"MOROCCO","FRENCH",10,0,10,10,10,10,10,5,10,5,10,10,10,10,10,0,80,20,8,10,5,5,5,10,10,5,0,0,0,0,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,10,0,5,0,5,0,10,10,10,0,0,5,5,0,5,5,10,100,100,5,14,10,"25","300","4",2,"",27,1,0,1,"",6,1,1,1,"213",10
"14","02/05/2020 14:56",2227,"MOROCCO","FRENCH",10,0,9,9,10,8,8,8,8,8,8,8,8,8,8,40,30,30,4,4,7,6,7,10,7,6,5,5,6,2,8,8,8,2,2,8,8,10,9,6,4,1,8,4,5,6,8,9,5,8,7,8,8,3,5,7,5,7,5,7,8,4,8,5,5,8,5,8,8,60,40,5,4,5,"50","300","7",1,"",28,2,0,2,"",5,1,1,1,"213",0
"15","02/05/2020 15:32",1842,"MOROCCO","FRENCH",5,3,5,7,5,8,8,9,3,8,10,9,8,10,10,75,25,0,2,2,8,8,9,9,10,3,3,3,5,5,9,5,5,2,5,8,6,5,8,5,5,3,5,5,5,4,8,3,5,8,9,3,3,8,5,2,6,5,5,9,8,7,0,5,8,1,7,7,10,20,50,5,3,5,"50","300","4",2,"",54,3,2,1,"",2,1,1,1,"213",5
"16","02/05/2020 15:44",2914,"MOROCCO","FRENCH",9,0,9,10,10,8,1,10,10,5,10,10,10,10,10,50,40,10,8,7,8,7,9,10,10,7,5,5,5,2,10,10,10,2,1,10,8,9,8,5,7,10,8,9,7,7,8,10,8,9,6,2,9,0,3,5,9,8,0,10,10,5,0,8,7,0,5,3,10,10,20,5,16,7,"25","3","7",2,"",56,1,0,1,"",4,1,1,1,"213",0
"17","02/05/2020 16:10",1702,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,100,0,7,5,8,8,8,10,3,0,0,0,0,0,10,10,10,10,10,5,5,9,5,5,5,10,7,7,7,7,2,10,8,8,4,1,6,0,1,0,1,6,0,5,5,2,7,5,4,5,2,5,3,50,50,5,7,9,"25","3","4",2,"",34,3,0,3,"",8,1,1,1,"213",0
"18","02/05/2020 16:30",2294,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,10,5,8,5,10,10,20,60,20,6,6,5,5,3,10,10,5,5,4,5,8,9,8,9,0,9,3,8,8,10,0,0,0,7,6,9,9,8,8,10,10,5,0,3,0,5,0,1,2,0,9,9,3,0,8,6,8,7,8,8,10,50,5,14,8,"50","900","4",2,"",64,1,0,5,"",4,1,1,1,"213",8
"19","02/05/2020 16:33",44630,"MOROCCO","FRENCH",9,0,10,9,9,9,7,10,7,4,10,10,10,10,10,80,10,10,5,5,7,5,8,7,8,7,5,5,1,5,10,9,8,1,5,7,4,9,7,4,2,0,4,7,7,6,7,5,6,7,2,2,5,3,1,0,7,4,0,5,6,4,0,5,3,4,5,0,1,30,30,5,2,5,"50","300","4",1,"",27,1,0,3,"",5,1,1,1,"213",0
"20","02/05/2020 16:33",2282,"MOROCCO","FRENCH",10,0,10,10,10,10,10,10,10,10,6,9,10,10,10,10,85,5,7,7,8,8,6,10,10,0,0,0,0,2,10,10,10,0,0,9,9,9,9,9,10,10,7,7,7,8,10,10,9,8,4,8,8,6,10,0,10,7,0,8,8,9,2,9,9,2,9,9,9,0,80,5,14,7,"50","300","",1,"",30,2,0,1,"",5,1,1,1,"213",6
"21","02/05/2020 16:37",1749,"MOROCCO","FRENCH",9,2,8,8,8,7,5,8,8,9,8,8,8,8,8,25,40,35,5,8,8,7,5,9,9,5,5,6,6,7,9,8,9,5,6,5,6,8,6,5,5,2,8,8,6,7,7,7,8,8,9,2,9,5,5,5,6,5,2,5,5,3,5,4,5,9,6,5,4,10,70,5,15,9,"25","3","4",1,"",42,3,1,1,"",6,1,1,1,"213",6
