id,Country,Edu,SES,Minority,age,sex,mobile
3987,cn,7,5,2,26,2,1
3988,cn,6,6,2,27,1,0
3989,cn,6,4,2,54,1,1
3990,cn,6,6,2,33,1,1
3991,cn,,,,18,2,1
3992,cn,6,5,2,41,1,0
3993,cn,7,6,2,36,2,0
3994,cn,7,5,2,36,2,0
3995,cn,6,5,2,32,1,0
3996,cn,,,,41,2,1
3997,cn,6,5,2,38,1,0
3998,cn,6,5,2,23,2,1
3999,cn,6,6,2,35,2,1
4000,cn,5,5,2,52,2,0
4001,cn,,,,60,2,0
4002,cn,6,8,2,21,2,1
4004,cn,6,6,2,21,1,1
4005,cn,6,7,2,28,2,0
4006,cn,6,3,2,35,2,1
4007,cn,6,3,2,30,1,1
4008,cn,6,5,2,21,2,1
4009,cn,6,8,2,37,2,0
4010,cn,6,5,2,36,2,1
4011,cn,6,6,2,30,1,0
4012,cn,6,8,2,26,1,1
4013,cn,6,1,2,39,2,1
4014,cn,,,,56,2,0
4015,cn,6,8,2,29,2,0
4016,cn,,,,26,1,1
4017,cn,5,3,2,35,2,1
4018,cn,6,7,2,38,1,0
4019,cn,6,7,2,40,1,0
4020,cn,6,4,2,54,2,0
4021,cn,6,7,2,25,1,1
4022,cn,,,,34,1,1
4023,cn,6,6,2,29,2,1
4024,cn,,,,55,1,0
4025,cn,5,5,2,28,2,1
4026,cn,6,6,2,41,2,0
4027,cn,6,8,2,53,1,0
4028,cn,6,7,1,40,1,0
4029,cn,6,5,2,25,2,1
4030,cn,5,7,2,20,2,1
4031,cn,6,5,2,41,1,1
4032,cn,7,8,2,50,1,0
4033,cn,6,6,2,36,2,1
4034,cn,6,3,2,35,2,1
4035,cn,,,,25,1,1
4036,cn,4,5,2,18,1,0
4037,cn,6,6,2,35,2,1
4038,cn,5,5,2,27,1,1
4039,cn,6,8,2,29,2,1
4040,cn,6,6,2,32,2,1
4041,cn,6,6,2,32,2,1
4042,cn,5,6,2,38,1,1
4043,cn,3,3,2,29,2,1
4044,cn,7,5,2,29,1,0
4045,cn,6,3,2,35,2,1
4046,cn,6,5,2,30,1,1
4047,cn,6,5,1,36,2,1
4048,cn,7,8,2,31,1,1
4049,cn,6,3,2,36,2,1
4050,cn,6,7,2,31,1,1
4051,cn,5,7,2,30,1,1
4052,cn,6,6,2,32,2,1
4053,cn,5,6,2,31,1,0
